0.7535117993595638		SimpleArgument(the Latvian army,List([43, 59)))	Relation(founded in,List([61, 68), [69, 71)))	TemporalArgument(1923,List([72, 76)))	FK ASK Riga was a Latvian football club of the Latvian army, founded in 1923.
0.9047340863084236		SimpleArgument(FK ASK Riga,List([0, 11)))	Relation(was,List([12, 15)))	SimpleArgument(a Latvian football club of the Latvian army,List([16, 59)))	FK ASK Riga was a Latvian football club of the Latvian army, founded in 1923.
0.3018651855507195		SimpleArgument(it,List([23, 25)))	Relation(was one of the leading clubs in Latvia,List([26, 29), [30, 64)))	TemporalArgument(1930s,List([17, 22)))	In the 1920s and 1930s it was one of the leading clubs in Latvia.
0.547338059826203		SimpleArgument(it,List([23, 25)))	Relation(was one of the leading clubs in Latvia In,List([0, 2), [26, 57), [58, 64)))	SpatialArgument(the 1920s,List([3, 12)))	In the 1920s and 1930s it was one of the leading clubs in Latvia.
0.5680679595514976		SimpleArgument(it,List([23, 25)))	Relation(was,List([26, 29)))	SimpleArgument(one of the leading clubs in Latvia,List([30, 64)))	In the 1920s and 1930s it was one of the leading clubs in Latvia.
0.7559082184995922		SimpleArgument(AVN,List([115, 118)))	Relation(was renamed to ASK,List([119, 130), [131, 137)))	TemporalArgument(later,List([109, 114)))	In 1940s it was disbanded, a new football club of the Soviet army was created in Riga under the name FK AVN, later AVN was renamed to ASK.
0.876543225140763		SimpleArgument(AVN,List([115, 118)))	Relation(was renamed to,List([119, 130), [131, 133)))	SimpleArgument(ASK,List([134, 137)))	In 1940s it was disbanded, a new football club of the Soviet army was created in Riga under the name FK AVN, later AVN was renamed to ASK.
0.9606447909032462		SimpleArgument(a new football club of the Soviet army,List([27, 65)))	Relation(was created In,List([0, 69), [70, 77)))	TemporalArgument(1940s,List([3, 8)))	In 1940s it was disbanded, a new football club of the Soviet army was created in Riga under the name FK AVN, later AVN was renamed to ASK.
0.9524086359800606		SimpleArgument(a new football club of the Soviet army,List([27, 65)))	Relation(was created in,List([66, 77), [78, 80)))	SpatialArgument(Riga,List([81, 85)))	In 1940s it was disbanded, a new football club of the Soviet army was created in Riga under the name FK AVN, later AVN was renamed to ASK.
0.22506131975927415		SimpleArgument(it,List([0, 2)))	Relation(became defunct in,List([3, 9), [10, 17), [18, 20)))	TemporalArgument(1970,List([21, 25)))	It became defunct in 1970.
0.22506131975927415		SimpleArgument(it,List([0, 2)))	Relation(became,List([3, 9)))	SimpleArgument(defunct,List([10, 17)))	It became defunct in 1970.
