0.961961301429607		SimpleArgument(Nancy Pinkerton Peabody (May 7, 1940,List([0, 36)))	Relation(was,List([54, 57)))	SimpleArgument(an American actress,List([58, 77)))	Nancy Pinkerton Peabody (May 7, 1940 – March 4, 2010) was an American actress.
0.9266090726027133		SimpleArgument(a period,List([146, 154)))	Relation(would establish the character as,List([161, 176), [177, 190), [191, 193)))	SimpleArgument(the prime nemesis to the series' long-running heroine,List([194, 247)))	Pinkerton is perhaps best known as the original actress to play Dr. Dorian Lord on the ABC daytime soap opera One Life to Live from 1973 to 1977, a period which would establish the character as the prime nemesis to the series' long-running heroine, Victoria Lord (portrayed since 1971 by multiple Daytime Emmy-winner Erika Slezak).
0.8872966301155124		SimpleArgument(a period,List([146, 154)))	Relation(would establish,List([161, 176)))	SimpleArgument(the character,List([177, 190)))	Pinkerton is perhaps best known as the original actress to play Dr. Dorian Lord on the ABC daytime soap opera One Life to Live from 1973 to 1977, a period which would establish the character as the prime nemesis to the series' long-running heroine, Victoria Lord (portrayed since 1971 by multiple Daytime Emmy-winner Erika Slezak).
0.9250606141558615		SimpleArgument(the original actress,List([35, 55)))	Relation(to play Dr. Dorian Lord on,List([56, 63), [64, 79), [80, 82)))	SpatialArgument(the ABC daytime soap opera,List([83, 109)))	Pinkerton is perhaps best known as the original actress to play Dr. Dorian Lord on the ABC daytime soap opera One Life to Live from 1973 to 1977, a period which would establish the character as the prime nemesis to the series' long-running heroine, Victoria Lord (portrayed since 1971 by multiple Daytime Emmy-winner Erika Slezak).
0.9250606141558615		SimpleArgument(the original actress,List([35, 55)))	Relation(to play,List([56, 63)))	SimpleArgument(Dr. Dorian Lord,List([64, 79)))	Pinkerton is perhaps best known as the original actress to play Dr. Dorian Lord on the ABC daytime soap opera One Life to Live from 1973 to 1977, a period which would establish the character as the prime nemesis to the series' long-running heroine, Victoria Lord (portrayed since 1971 by multiple Daytime Emmy-winner Erika Slezak).
0.7971095979125887		SimpleArgument(Pinkerton,List([0, 9)))	Relation(had appeared,List([10, 13), [25, 33)))	TemporalArgument(previously,List([14, 24)))	Pinkerton had previously appeared on The Edge of Night as Beth Moon Anderson Barnes from 1963 to 1967 and as Karen MacMillan on Somerset from 1970 to 1972.
0.9000738595917936		SimpleArgument(Pinkerton,List([0, 9)))	Relation(had appeared on,List([10, 13), [25, 33), [34, 36)))	SpatialArgument(The Edge of Night as Beth Moon Anderson Barnes,List([37, 83)))	Pinkerton had previously appeared on The Edge of Night as Beth Moon Anderson Barnes from 1963 to 1967 and as Karen MacMillan on Somerset from 1970 to 1972.
0.7440220930148851		SimpleArgument(the World,List([114, 123)))	Relation(Turns to,List([124, 129), [140, 142)))	SimpleArgument(1984,List([143, 147)))	After One Life to Live, Pinkerton portrayed Viveca Strand on The Doctors from 1979 to 1981, Dorothy Connors on As the World Turns from 1983 to 1984, and Helen Kennedy on Guiding Light in 1985.
0.816575697747956		SimpleArgument(the World,List([114, 123)))	Relation(Turns from,List([124, 129), [130, 134)))	SimpleArgument(1983,List([135, 139)))	After One Life to Live, Pinkerton portrayed Viveca Strand on The Doctors from 1979 to 1981, Dorothy Connors on As the World Turns from 1983 to 1984, and Helen Kennedy on Guiding Light in 1985.
0.9439070193972718		SimpleArgument(Pinkerton,List([24, 33)))	Relation(portrayed Viveca Strand After,List([0, 5), [34, 50), [51, 57)))	TemporalArgument(One Life,List([6, 14)))	After One Life to Live, Pinkerton portrayed Viveca Strand on The Doctors from 1979 to 1981, Dorothy Connors on As the World Turns from 1983 to 1984, and Helen Kennedy on Guiding Light in 1985.
0.7251886467849957		SimpleArgument(Pinkerton,List([24, 33)))	Relation(portrayed Viveca Strand from,List([34, 43), [44, 57), [73, 77)))	TemporalArgument(1979 to 1981,List([78, 90)))	After One Life to Live, Pinkerton portrayed Viveca Strand on The Doctors from 1979 to 1981, Dorothy Connors on As the World Turns from 1983 to 1984, and Helen Kennedy on Guiding Light in 1985.
0.9197759696552441		SimpleArgument(Pinkerton,List([24, 33)))	Relation(portrayed Viveca Strand on,List([34, 43), [44, 57), [58, 60)))	SimpleArgument(The Doctors,List([61, 72)))	After One Life to Live, Pinkerton portrayed Viveca Strand on The Doctors from 1979 to 1981, Dorothy Connors on As the World Turns from 1983 to 1984, and Helen Kennedy on Guiding Light in 1985.
0.9324144673478683		SimpleArgument(Pinkerton,List([24, 33)))	Relation(portrayed,List([34, 43)))	SimpleArgument(Viveca Strand,List([44, 57)))	After One Life to Live, Pinkerton portrayed Viveca Strand on The Doctors from 1979 to 1981, Dorothy Connors on As the World Turns from 1983 to 1984, and Helen Kennedy on Guiding Light in 1985.
0.4978219019954182		SimpleArgument(Helen Kennedy,List([0, 3)))	Relation(died,List([4, 8)))	TemporalArgument(March 4,List([9, 16)))	She died March 4, 2010 in Westhampton, New York of heart failure.
