0.9738370768841617		SimpleArgument(Shinya Katabuchi (片渕 慎弥 Katabuchi Shin'ya, born 24 October 1983,List([0, 63)))	Relation(is,List([65, 67)))	SimpleArgument(a Japanese judoka,List([68, 85)))	Shinya Katabuchi (片渕 慎弥 Katabuchi Shin'ya, born 24 October 1983) is a Japanese judoka.
0.9430686073589047		SimpleArgument(Shinya Katabuchi,List([0, 16)))	Relation(born 慎弥,List([21, 23), [43, 47)))	SpatialArgument(Katabuchi Shin'ya,List([24, 41)))	Shinya Katabuchi (片渕 慎弥 Katabuchi Shin'ya, born 24 October 1983) is a Japanese judoka.
0.9445721975409912		SimpleArgument(Shinya Katabuchi,List([0, 16)))	Relation(born,List([43, 47)))	TemporalArgument(24 October 1983,List([48, 63)))	Shinya Katabuchi (片渕 慎弥 Katabuchi Shin'ya, born 24 October 1983) is a Japanese judoka.
0.45170382506656653		SimpleArgument(a Japanese judoka,List([0, 2)))	Relation(began judo at,List([3, 8), [9, 13), [14, 16)))	TemporalArgument(the age of 8,List([17, 29)))	He was born in Kishiwada, Osaka, and began judo at the age of 8.
0.45170382506656653		SimpleArgument(a Japanese judoka,List([0, 2)))	Relation(began,List([3, 8)))	SimpleArgument(judo,List([9, 13)))	He was born in Kishiwada, Osaka, and began judo at the age of 8.
0.4978219019954182		SimpleArgument(a Japanese judoka,List([0, 2)))	Relation(was born in,List([3, 11), [12, 14)))	SpatialArgument(Kishiwada,List([15, 24)))	He was born in Kishiwada, Osaka, and began judo at the age of 8.
0.4328394458044063	Context(He entered,List([0, 10)))	SimpleArgument(a Japanese judoka,List([0, 2)))	Relation(entered the Japan Racing Association after graduating from,List([3, 10), [11, 20), [21, 27)))	SimpleArgument(Kokushikan University,List([62, 83)))	He entered the Japan Racing Association after graduating from Kokushikan University.
0.4328394458044063		SimpleArgument(a Japanese judoka,List([0, 2)))	Relation(entered the Japan Racing Association after,List([3, 10), [11, 39), [40, 45)))	TemporalArgument(graduating from Kokushikan University,List([46, 83)))	He entered the Japan Racing Association after graduating from Kokushikan University.
0.4328394458044063		SimpleArgument(a Japanese judoka,List([0, 2)))	Relation(entered,List([3, 10)))	SimpleArgument(the Japan Racing Association,List([11, 39)))	He entered the Japan Racing Association after graduating from Kokushikan University.
0.5926659981335703		SimpleArgument(a Japanese judoka,List([21, 23)))	Relation(defeated world champion Teddy Riner On,List([0, 2), [24, 53), [54, 59)))	TemporalArgument(December 9, 2007,List([3, 19)))	On December 9, 2007, he defeated world champion Teddy Riner at Jigoro Kano Cup Judo World Grandprix.
0.4978219019954182		SimpleArgument(a Japanese judoka,List([21, 23)))	Relation(defeated world champion Teddy Riner at,List([24, 32), [33, 59), [60, 62)))	SpatialArgument(Jigoro Kano Cup Judo World Grandprix,List([63, 99)))	On December 9, 2007, he defeated world champion Teddy Riner at Jigoro Kano Cup Judo World Grandprix.
0.4978219019954182		SimpleArgument(a Japanese judoka,List([21, 23)))	Relation(defeated,List([24, 32)))	SimpleArgument(world champion Teddy Riner,List([33, 59)))	On December 9, 2007, he defeated world champion Teddy Riner at Jigoro Kano Cup Judo World Grandprix.
