0.946751440905654	Context(he was educated,List([79, 94)))	SimpleArgument(Patrick William Rooke,List([0, 21)))	Relation(is,List([22, 24)))	SimpleArgument(the current Bishop of Achonry.Born,List([25, 59)))	Patrick William Rooke is the current Bishop of Tuam, Killala, and Achonry.Born on 12 April 1955, he was educated at Sandford Park School and Salisbury and Wells Theological College; and ordained in 1979.
0.946751440905654	Context(he was educated,List([57, 72)))	SimpleArgument(Patrick William Rooke,List([0, 21)))	Relation(is,List([22, 24)))	SimpleArgument(the current Bishop of Killala,List([25, 54)))	Patrick William Rooke is the current Bishop of Tuam, Killala, and Achonry.Born on 12 April 1955, he was educated at Sandford Park School and Salisbury and Wells Theological College; and ordained in 1979.
0.44251022175651566		SimpleArgument(Patrick Rooke Patrick William Rooke,List([54, 56)))	Relation(was educated at,List([57, 69), [70, 72)))	SimpleArgument(Salisbury,List([73, 82)))	Patrick William Rooke is the current Bishop of Tuam, Killala, and Achonry.Born on 12 April 1955, he was educated at Sandford Park School and Salisbury and Wells Theological College; and ordained in 1979.
0.946751440905654	Context(he was educated,List([54, 69)))	SimpleArgument(Patrick William Rooke,List([0, 21)))	Relation(is,List([22, 24)))	SimpleArgument(the current Bishop of Tuam,List([25, 51)))	Patrick William Rooke is the current Bishop of Tuam, Killala, and Achonry.Born on 12 April 1955, he was educated at Sandford Park School and Salisbury and Wells Theological College; and ordained in 1979.
0.44251022175651566		SimpleArgument(Patrick Rooke Patrick William Rooke,List([54, 56)))	Relation(was educated at,List([57, 69), [70, 72)))	SpatialArgument(Sandford Park School,List([73, 93)))	Patrick William Rooke is the current Bishop of Tuam, Killala, and Achonry.Born on 12 April 1955, he was educated at Sandford Park School and Salisbury and Wells Theological College; and ordained in 1979.
0.8016573080327372		SimpleArgument(Patrick,List([0, 7)))	Relation(ordained in,List([8, 16), [17, 19)))	TemporalArgument(1979,List([20, 24)))	Patrick William Rooke is the current Bishop of Tuam, Killala, and Achonry.Born on 12 April 1955, he was educated at Sandford Park School and Salisbury and Wells Theological College; and ordained in 1979.
0.9569065201547587		SimpleArgument(Patrick William Rooke,List([0, 21)))	Relation(is,List([22, 24)))	SimpleArgument(the Wells Theological College,List([25, 54)))	Patrick William Rooke is the current Bishop of Tuam, Killala, and Achonry.Born on 12 April 1955, he was educated at Sandford Park School and Salisbury and Wells Theological College; and ordained in 1979.
0.3413422140978484	Context(He began,List([0, 8)))	SimpleArgument(Patrick Rooke Patrick William Rooke,List([0, 2)))	Relation(began his ecclesiastical career with curacies in Ballywillan held incumbencies at,List([3, 8), [9, 12), [13, 27), [28, 34)))	SpatialArgument(Ballymore,List([92, 101)))	He began his ecclesiastical career with curacies in Newtownabbey and Ballywillan, then held incumbencies at Craigs and Ballymore.
0.18436674763528482	Context(He began,List([0, 8)))	SimpleArgument(Patrick Rooke Patrick William Rooke,List([0, 2)))	Relation(began his ecclesiastical career with curacies in Ballywillan held incumbencies,List([3, 8), [9, 12), [13, 27)))	TemporalArgument(then,List([66, 70)))	He began his ecclesiastical career with curacies in Newtownabbey and Ballywillan, then held incumbencies at Craigs and Ballymore.
0.3413422140978484	Context(He began,List([0, 8)))	SimpleArgument(Patrick Rooke Patrick William Rooke,List([0, 2)))	Relation(began his ecclesiastical career with curacies in Ballywillan held incumbencies at,List([3, 8), [9, 12), [13, 27), [28, 34)))	SpatialArgument(Craigs,List([92, 98)))	He began his ecclesiastical career with curacies in Newtownabbey and Ballywillan, then held incumbencies at Craigs and Ballymore.
0.3010306049122031	Context(He began,List([0, 8)))	SimpleArgument(Patrick Rooke Patrick William Rooke,List([0, 2)))	Relation(began his ecclesiastical career with curacies in Ballywillan held,List([3, 8), [9, 12)))	SimpleArgument(incumbencies,List([76, 88)))	He began his ecclesiastical career with curacies in Newtownabbey and Ballywillan, then held incumbencies at Craigs and Ballymore.
