0.38089450366724514		SimpleArgument(Start,List([40, 45)))	Relation([is] Head [of],List([35, 39)))	SimpleArgument(Middle Kentucky,List([19, 34)))	I have worked with Middle Kentucky Head Start for 20 years.
0.3497525988439521		SimpleArgument(I,List({0}))	Relation(have worked for,List([2, 13), [46, 49)))	TemporalArgument(20 years,List([50, 58)))	I have worked with Middle Kentucky Head Start for 20 years.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(have worked with,List([2, 13), [14, 18)))	SimpleArgument(Middle Kentucky Head Start,List([19, 45)))	I have worked with Middle Kentucky Head Start for 20 years.
0.38089450366724514		SimpleArgument(Mental Health Coordinator,List([69, 94)))	Relation([is],List([69, 94)))	SimpleArgument(Education Manager,List([97, 114)))	I started as a parent volunteer, worked as part-time Bus Monitor, Sub Cook, Teacher Aide, Teacher, Disabilities/Mental Health Coordinator, Education Manager, Deputy Director and in 2005 Head Start Director.
0.896604430840561		SimpleArgument(a parent volunteer,List([13, 31)))	Relation(worked as,List([34, 40), [41, 43)))	SimpleArgument(Teacher,List([44, 51)))	I started as a parent volunteer, worked as part-time Bus Monitor, Sub Cook, Teacher Aide, Teacher, Disabilities/Mental Health Coordinator, Education Manager, Deputy Director and in 2005 Head Start Director.
0.3413422140978484	Context(I started,List([0, 9)))	SimpleArgument(I,List({0}))	Relation(started as a parent volunteer worked as,List([2, 9), [10, 12), {13}))	SimpleArgument(Teacher Aide and in 2005 Head Start Director,List([44, 88)))	I started as a parent volunteer, worked as part-time Bus Monitor, Sub Cook, Teacher Aide, Teacher, Disabilities/Mental Health Coordinator, Education Manager, Deputy Director and in 2005 Head Start Director.
0.9125462839307745		SimpleArgument(a parent volunteer,List([13, 31)))	Relation(worked as,List([34, 40), [41, 43)))	SimpleArgument(Sub Cook,List([44, 52)))	I started as a parent volunteer, worked as part-time Bus Monitor, Sub Cook, Teacher Aide, Teacher, Disabilities/Mental Health Coordinator, Education Manager, Deputy Director and in 2005 Head Start Director.
0.9436110334354216		SimpleArgument(a parent volunteer,List([13, 31)))	Relation(worked as,List([34, 40), [41, 43)))	SimpleArgument(part - time Bus Monitor and in 2005 Head Start Director,List([44, 99)))	I started as a parent volunteer, worked as part-time Bus Monitor, Sub Cook, Teacher Aide, Teacher, Disabilities/Mental Health Coordinator, Education Manager, Deputy Director and in 2005 Head Start Director.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(started as,List([2, 9), [10, 12)))	SimpleArgument(a parent volunteer,List([13, 31)))	I started as a parent volunteer, worked as part-time Bus Monitor, Sub Cook, Teacher Aide, Teacher, Disabilities/Mental Health Coordinator, Education Manager, Deputy Director and in 2005 Head Start Director.
0.8841701665203853		SimpleArgument(the children,List([60, 72)))	Relation(serve,List([76, 81)))	SimpleArgument(we,List([73, 75)))	I have a passion for Early Childhood Education and the importance of early intervention in the lives of the children we serve.
0.5691839633287576		SimpleArgument(I,List({0}))	Relation(have,List([2, 6)))	SimpleArgument(the importance of early intervention in the lives of the children,List([7, 72)))	I have a passion for Early Childhood Education and the importance of early intervention in the lives of the children we serve.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(have,List([2, 6)))	SimpleArgument(a passion for Early Childhood Education,List([7, 46)))	I have a passion for Early Childhood Education and the importance of early intervention in the lives of the children we serve.
0.6054991544878838		SimpleArgument(My goal,List([0, 7)))	Relation(is to,List([8, 10), [11, 13)))	SimpleArgument(assist children in becoming school ready while assisting their parent/guardian in becoming self sufficient individuals,List([14, 132)))	My goal is to assist children in becoming school ready while assisting their parent/guardian in becoming self sufficient individuals.
