0.9449993708870406		SimpleArgument(Adam Ant ( born,List([0, 15)))	Relation(is,List([58, 60)))	SimpleArgument(musician,List([61, 69)))	Adam Ant (born Stuart Leslie Goddard; 3 November 1954) is an English singer and musician.
0.9538634956324158		SimpleArgument(Adam Ant ( born,List([0, 15)))	Relation(is,List([58, 60)))	SimpleArgument(an English singer,List([61, 78)))	Adam Ant (born Stuart Leslie Goddard; 3 November 1954) is an English singer and musician.
0.332563478582812	Context(He gained,List([0, 9)))	SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([0, 2)))	Relation(gained popularity scoring,List([3, 9), [10, 20)))	SimpleArgument(10 UK top ten hits,List([57, 75)))	He gained popularity as the lead singer of post-punk group Adam and the Ants and later as a solo artist, scoring 10 UK top ten hits from 1980 to 1983, including three No. 1s.
0.3880890333449538		SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([0, 2)))	Relation(gained popularity,List([3, 9), [10, 20)))	TemporalArgument(as later as a solo artist,List([21, 46)))	He gained popularity as the lead singer of post-punk group Adam and the Ants and later as a solo artist, scoring 10 UK top ten hits from 1980 to 1983, including three No. 1s.
0.3880890333449538		SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([0, 2)))	Relation(gained,List([3, 9)))	SimpleArgument(popularity,List([10, 20)))	He gained popularity as the lead singer of post-punk group Adam and the Ants and later as a solo artist, scoring 10 UK top ten hits from 1980 to 1983, including three No. 1s.
0.41051436014453063		SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([0, 2)))	Relation(appearing in,List([33, 42), [43, 45)))	SpatialArgument(over two dozen television episodes,List([46, 80)))	He has also worked as an actor, appearing in over two dozen films and television episodes from 1985 to 2003.
0.41051436014453063		SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([0, 2)))	Relation(appearing in,List([33, 42), [43, 45)))	SpatialArgument(over two dozen films,List([46, 66)))	He has also worked as an actor, appearing in over two dozen films and television episodes from 1985 to 2003.
0.3497525988439521		SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([0, 2)))	Relation(has worked as,List([3, 6), [12, 18), [19, 21)))	SimpleArgument(an actor,List([22, 30)))	He has also worked as an actor, appearing in over two dozen films and television episodes from 1985 to 2003.
0.7672084379247105		SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([13, 16)))	Relation(has undertaken an intensive reactivation of his musical career,List([17, 31), [32, 79)))	SimpleArgument(performing live regularly in his hometown beyond and with a short Australian tour,List([82, 163)))	Since 2010, Ant has undertaken an intensive reactivation of his musical career, performing live regularly in his hometown of London and beyond, recording and releasing a new album and with three full-length UK national tours, two US national tours and a short Australian tour all now completed.
0.7986199891631889		SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([13, 16)))	Relation(has undertaken an intensive reactivation of his musical career,List([17, 31), [32, 79)))	SimpleArgument(performing live regularly in his hometown of London and with a short Australian tour,List([82, 166)))	Since 2010, Ant has undertaken an intensive reactivation of his musical career, performing live regularly in his hometown of London and beyond, recording and releasing a new album and with three full-length UK national tours, two US national tours and a short Australian tour all now completed.
0.7986199891631889		SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([13, 16)))	Relation(has undertaken an intensive reactivation of his musical career,List([17, 31), [32, 79)))	SimpleArgument(performing live regularly in his hometown beyond and with two US national tours,List([82, 161)))	Since 2010, Ant has undertaken an intensive reactivation of his musical career, performing live regularly in his hometown of London and beyond, recording and releasing a new album and with three full-length UK national tours, two US national tours and a short Australian tour all now completed.
0.7986199891631889		SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([13, 16)))	Relation(has undertaken an intensive reactivation of his musical career,List([17, 31), [32, 79)))	SimpleArgument(performing live regularly in his hometown of London and with two US national tours,List([82, 164)))	Since 2010, Ant has undertaken an intensive reactivation of his musical career, performing live regularly in his hometown of London and beyond, recording and releasing a new album and with three full-length UK national tours, two US national tours and a short Australian tour all now completed.
