0.9527410621066101		SimpleArgument(Uceda School,List([0, 12)))	Relation(is,List([13, 15)))	SimpleArgument(an English language school,List([16, 42)))	Uceda School is an English language school.
0.9990000128746033		SimpleArgument(We,List([0, 0)))	Relation(offer,List([0, 0)))	SimpleArgument(30 classes,List(null))	We also offer GED classes, OSHA 10 and OSHA 30 classes.
0.9990000128746033		SimpleArgument(We,List([0, 0)))	Relation(offer,List([0, 0)))	SimpleArgument(10 classes,List(null))	We also offer GED classes, OSHA 10 and OSHA 30 classes.
0.45592395356914683		SimpleArgument(We,List([0, 2)))	Relation(offer,List([8, 13)))	SimpleArgument(GED classes,List([14, 25)))	We also offer GED classes, OSHA 10 and OSHA 30 classes.
0.9382554258342916		SimpleArgument(UCEDA SCHOOL Uceda School,List([0, 12)))	Relation(provides,List([13, 21)))	SimpleArgument(Computer training,List([22, 39)))	Uceda School provides Citizenship classes and Computer training.
0.9266232318014763		SimpleArgument(UCEDA SCHOOL Uceda School,List([0, 12)))	Relation(provides,List([13, 21)))	SimpleArgument(Citizenship classes,List([22, 41)))	Uceda School provides Citizenship classes and Computer training.
0.9541798734941929		SimpleArgument(the most qualified instructors in Las Vegas,List([8, 51)))	Relation(are available,List([56, 59), [60, 69)))	TemporalArgument(Monday -Friday,List([70, 84)))	We have the most qualified instructors in Las Vegas who are available Monday -Friday.
0.8591720430378276		SimpleArgument(the most qualified instructors in Las Vegas,List([8, 51)))	Relation(are,List([56, 59)))	SimpleArgument(available,List([60, 69)))	We have the most qualified instructors in Las Vegas who are available Monday -Friday.
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(have,List([3, 7)))	SimpleArgument(the most qualified instructors in Las Vegas,List([8, 51)))	We have the most qualified instructors in Las Vegas who are available Monday -Friday.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(have graduated,List([3, 17)))	SimpleArgument(thousands of students,List([18, 39)))	Our school has been in operation since 1988 and we have graduated thousands of students.
0.3833177039030785		SimpleArgument(UCEDA SCHOOL Uceda School,List([0, 10)))	Relation(has been in operation since,List([11, 19), [20, 32), [33, 38)))	TemporalArgument(1988,List([39, 43)))	Our school has been in operation since 1988 and we have graduated thousands of students.
0.6381012045821894		SimpleArgument(UCEDA SCHOOL Uceda School,List([0, 10)))	Relation(has been in,List([11, 19), [20, 22)))	SimpleArgument(operation,List([23, 32)))	Our school has been in operation since 1988 and we have graduated thousands of students.
0.8795239151465067		SimpleArgument(the Uceda family,List([77, 93)))	Relation(founded the San Carlos school in South America,List([94, 101), [102, 140)))	TemporalArgument(1902,List([66, 70)))	HISTORY Education has been a tradition for the Uceda family since 1902, when the Uceda family founded the San Carlos school in South America.
0.9436221120476838		SimpleArgument(the Uceda family,List([77, 93)))	Relation(founded,List([94, 101)))	SimpleArgument(the San Carlos school in South America,List([102, 140)))	HISTORY Education has been a tradition for the Uceda family since 1902, when the Uceda family founded the San Carlos school in South America.
0.6961495790054901		SimpleArgument(HISTORY Education,List([0, 17)))	Relation(has been a tradition for the Uceda family since,List([18, 26), [27, 59), [60, 65)))	TemporalArgument(1902,List([66, 70)))	HISTORY Education has been a tradition for the Uceda family since 1902, when the Uceda family founded the San Carlos school in South America.
0.8866256386988218		SimpleArgument(HISTORY Education,List([0, 17)))	Relation(has been,List([18, 26)))	SimpleArgument(a tradition for the Uceda family,List([27, 59)))	HISTORY Education has been a tradition for the Uceda family since 1902, when the Uceda family founded the San Carlos school in South America.
0.9045207649554154		SimpleArgument(HISTORY Education,List([0, 16)))	Relation(to become,List([25, 34)))	SimpleArgument(a University,List([35, 47)))	This institution went on to become a University.
0.9533043082846074		SimpleArgument(Juan J. Uceda,List([18, 31)))	Relation(established the Jose Carlos Mariategui Institute During,List([0, 6), [32, 70), [71, 80)))	TemporalArgument(the 1960's,List([7, 17)))	During the 1960's Juan J. Uceda established the Jose Carlos Mariategui Institute with courses in English and training in various other fields such as accounting and nursing among others.
