0.8437742409533863		SimpleArgument(Chiropractic Massage Ideal Protein,List([0, 34)))	Relation(Established in,List([35, 46), [47, 49)))	TemporalArgument(2007,List([50, 54)))	Chiropractic Massage Ideal Protein Established in 2007.
0.15939332484157967		SimpleArgument(Osborne Chiropractic Clinic Chiropractic Massage Ideal Protein Established in 2007,List([0, 2)))	Relation(was purchased in,List([3, 16), [28, 30)))	TemporalArgument(2011,List([31, 35)))	Dr. Rick Osborne founded this business as his second chiropractic business and it was purchased by his son in 2011.
0.30899953469486874		SimpleArgument(Osborne Chiropractic Clinic Chiropractic Massage Ideal Protein Established in 2007,List([0, 2)))	Relation(was purchased by,List([3, 16), [17, 19)))	SimpleArgument(his son,List([20, 27)))	Dr. Rick Osborne founded this business as his second chiropractic business and it was purchased by his son in 2011.
0.883042269491254		SimpleArgument(Dr. Rick Osborne,List([0, 16)))	Relation(founded this business as,List([17, 24), [25, 38), [39, 41)))	SimpleArgument(his second chiropractic business,List([42, 74)))	Dr. Rick Osborne founded this business as his second chiropractic business and it was purchased by his son in 2011.
0.9329286852051247		SimpleArgument(Dr. Rick Osborne,List([0, 16)))	Relation(founded,List([17, 24)))	SimpleArgument(this business,List([25, 38)))	Dr. Rick Osborne founded this business as his second chiropractic business and it was purchased by his son in 2011.
0.9436221120476838		SimpleArgument(Dr. Rick Osborne,List([0, 16)))	Relation(has been,List([17, 25)))	SimpleArgument(a life long student of Chiropractic,List([26, 61)))	Dr. Cory Osborne has been a life long student of Chiropractic.
0.41051436014453063		SimpleArgument(Dr. Rick Osborne,List([0, 2)))	Relation(watching,List([11, 19)))	SimpleArgument(help people,List([20, 31)))	He grew up watching and hearing of his father help people with musculoskeletal problems.
0.45170382506656653		SimpleArgument(Dr. Rick Osborne,List([0, 2)))	Relation(grew up,List([3, 10)))	SimpleArgument(watching help people with musculoskeletal problems,List([11, 61)))	He grew up watching and hearing of his father help people with musculoskeletal problems.
0.8253106085824989	Context(Dr. continued,List([0, 13)))	SimpleArgument(Dr.,List([0, 3)))	Relation(continued to study,List([4, 13), [14, 22)))	SimpleArgument(posture,List([23, 30)))	Dr. Osborne attended chiropractic school and continued to study biomechanics and posture for post grad work.
0.8253106085824989		SimpleArgument(Dr.,List([0, 3)))	Relation(continued to,List([4, 13), [14, 16)))	SimpleArgument(study posture for post grad work,List([17, 49)))	Dr. Osborne attended chiropractic school and continued to study biomechanics and posture for post grad work.
0.8253106085824989	Context(Dr. continued,List([0, 13)))	SimpleArgument(Dr.,List([0, 3)))	Relation(continued to study biomechanics for,List([4, 13), [14, 22), [23, 35), [36, 39)))	SimpleArgument(post grad work,List([40, 54)))	Dr. Osborne attended chiropractic school and continued to study biomechanics and posture for post grad work.
0.8253106085824989	Context(Dr. continued,List([0, 13)))	SimpleArgument(Dr.,List([0, 3)))	Relation(continued to study,List([4, 13), [14, 22)))	SimpleArgument(biomechanics,List([23, 35)))	Dr. Osborne attended chiropractic school and continued to study biomechanics and posture for post grad work.
0.8253106085824989		SimpleArgument(Dr.,List([0, 3)))	Relation(continued to,List([4, 13), [14, 16)))	SimpleArgument(study biomechanics for post grad work,List([17, 54)))	Dr. Osborne attended chiropractic school and continued to study biomechanics and posture for post grad work.
0.9266232318014763		SimpleArgument(Dr. Rick Osborne,List([0, 11)))	Relation(attended,List([12, 20)))	SimpleArgument(chiropractic school,List([21, 40)))	Dr. Osborne attended chiropractic school and continued to study biomechanics and posture for post grad work.
0.5222094630377523		SimpleArgument(Dr. Rick Osborne,List([0, 2)))	Relation(has,List([3, 6)))	SimpleArgument(a passion for correction of poor posture through rehabilitation,List([7, 70)))	He has a passion for correction of poor posture through rehabilitation.
0.9067325661703171	Context(Dr. Osborne loves,List([18, 35)))	SimpleArgument(Dr. Rick Osborne,List([18, 29)))	Relation(loves spending time with,List([30, 35), [36, 44), [45, 49), [50, 54)))	SimpleArgument(4 children,List([55, 65)))	On his off time, Dr. Osborne loves spending time with his wife and 4 children.
0.8856516970915116		SimpleArgument(Dr. Rick Osborne,List([18, 29)))	Relation(loves spending time with 4 children On,List([0, 2), [30, 56), [57, 65)))	TemporalArgument(his off time,List([3, 15)))	On his off time, Dr. Osborne loves spending time with his wife and 4 children.
0.9067325661703171		SimpleArgument(Dr. Rick Osborne,List([18, 29)))	Relation(loves,List([30, 35)))	SimpleArgument(spending time with 4 children,List([36, 65)))	On his off time, Dr. Osborne loves spending time with his wife and 4 children.
0.8406891599730786	Context(Dr. Osborne loves,List([18, 35)))	SimpleArgument(Dr. Rick Osborne,List([18, 29)))	Relation(loves spending time with,List([30, 35), [36, 44), [45, 49), [50, 54)))	SimpleArgument(his wife,List([55, 63)))	On his off time, Dr. Osborne loves spending time with his wife and 4 children.
0.9067325661703171	Context(Dr. Osborne loves,List([18, 35)))	SimpleArgument(Dr. Rick Osborne,List([18, 29)))	Relation(loves spending,List([30, 35), [36, 44)))	SimpleArgument(time,List([45, 49)))	On his off time, Dr. Osborne loves spending time with his wife and 4 children.
0.8856516970915116		SimpleArgument(Dr. Rick Osborne,List([18, 29)))	Relation(loves spending time with his wife On,List([0, 2), [30, 58), [59, 63)))	TemporalArgument(his off time,List([3, 15)))	On his off time, Dr. Osborne loves spending time with his wife and 4 children.
0.8406891599730786		SimpleArgument(Dr. Rick Osborne,List([18, 29)))	Relation(loves,List([30, 35)))	SimpleArgument(spending time with his wife,List([36, 63)))	On his off time, Dr. Osborne loves spending time with his wife and 4 children.
