0.9498112450143501		SimpleArgument(Joël Dieudonné Martin Epalle Newaka,List([0, 35)))	Relation(is,List([60, 62)))	SimpleArgument(a Cameroonian football player,List([63, 92)))	Joël Dieudonné Martin Epalle Newaka (born 20 February 1978) is a Cameroonian football player.
0.957934389168857		SimpleArgument(Joël Dieudonné Martin Epalle Newaka,List([0, 35)))	Relation(born,List([37, 41)))	TemporalArgument(20 February 1978,List([42, 58)))	Joël Dieudonné Martin Epalle Newaka (born 20 February 1978) is a Cameroonian football player.
0.39625576749130315		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([22, 24)))	Relation(has played more noticeably throughout,List([0, 10), [25, 28), [34, 67), [68, 78)))	TemporalArgument(his career,List([11, 21)))	He mainly plays as a right midfielder, but throughout his career he has also played as a Second Striker, more noticeably during his first spell at Iraklis.
0.2599819742892717		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([22, 24)))	Relation(has played more noticeably during,List([25, 28), [34, 40), [63, 78), [79, 85)))	TemporalArgument(his first spell at Iraklis,List([86, 112)))	He mainly plays as a right midfielder, but throughout his career he has also played as a Second Striker, more noticeably during his first spell at Iraklis.
0.45170382506656653		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([0, 2)))	Relation(mainly plays as,List([3, 15), [16, 18)))	SimpleArgument(a right midfielder,List([19, 37)))	He mainly plays as a right midfielder, but throughout his career he has also played as a Second Striker, more noticeably during his first spell at Iraklis.
0.30899953469486874		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([85, 87)))	Relation(made,List([88, 92)))	SimpleArgument(his senior debut,List([93, 109)))	He was born in Matomb, Cameroon and played youth football in Cameroonian powerhouse Union Douala, the team for which he made his senior debut.
0.4978219019954182		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([0, 2)))	Relation(played youth football in,List([3, 9), [10, 24), [25, 27)))	SpatialArgument(Cameroonian powerhouse Union Douala,List([28, 63)))	He was born in Matomb, Cameroon and played youth football in Cameroonian powerhouse Union Douala, the team for which he made his senior debut.
0.45170382506656653		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([0, 2)))	Relation(played,List([3, 9)))	SimpleArgument(youth football,List([10, 24)))	He was born in Matomb, Cameroon and played youth football in Cameroonian powerhouse Union Douala, the team for which he made his senior debut.
0.4978219019954182		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([0, 2)))	Relation(was born in,List([3, 11), [12, 14)))	SpatialArgument(Matomb,List([15, 21)))	He was born in Matomb, Cameroon and played youth football in Cameroonian powerhouse Union Douala, the team for which he made his senior debut.
0.5961061943937731		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([65, 67)))	Relation(played football,List([68, 74), [75, 83)))	SpatialArgument(Greece,List([52, 58)))	After his spell in Cameroon, in 1998, he moved to Greece where he played football for several clubs including Ethnikos, Panachaiki, Aris, Panathinaikos and Iraklis in a time span of nine and a half years.
0.45170382506656653		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([65, 67)))	Relation(played,List([68, 74)))	SimpleArgument(football,List([75, 83)))	After his spell in Cameroon, in 1998, he moved to Greece where he played football for several clubs including Ethnikos, Panachaiki, Aris, Panathinaikos and Iraklis in a time span of nine and a half years.
0.29886655727758943		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([40, 42)))	Relation(moved to Greece in,List([30, 32), [43, 51), [52, 58)))	TemporalArgument(1998,List([33, 37)))	After his spell in Cameroon, in 1998, he moved to Greece where he played football for several clubs including Ethnikos, Panachaiki, Aris, Panathinaikos and Iraklis in a time span of nine and a half years.
0.44126879054002194		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([40, 42)))	Relation(moved to Greece After,List([0, 5), [43, 51), [52, 58)))	TemporalArgument(his spell in Cameroon,List([6, 27)))	After his spell in Cameroon, in 1998, he moved to Greece where he played football for several clubs including Ethnikos, Panachaiki, Aris, Panathinaikos and Iraklis in a time span of nine and a half years.
