0.8377499325031997	Context(I work helping,List([0, 63)))	SimpleArgument(the customer,List([64, 76)))	Relation(is,List([77, 79)))	SimpleArgument(our first priority,List([80, 98)))	I work at TNT Auto Center with a great group of people, helping the customer is our first priority.
0.183516546672029	Context(I work,List([0, 6)))	SimpleArgument(I,List({0}))	Relation(work helping,List([2, 6), [56, 63)))	SimpleArgument(the customer is our first priority,List([64, 98)))	I work at TNT Auto Center with a great group of people, helping the customer is our first priority.
0.292827695956731		SimpleArgument(I,List({0}))	Relation(work with,List([2, 6), [26, 30)))	SimpleArgument(a great group of people,List([31, 54)))	I work at TNT Auto Center with a great group of people, helping the customer is our first priority.
0.4328394458044063		SimpleArgument(I,List({0}))	Relation(work at,List([2, 6), [7, 9)))	SpatialArgument(TNT Auto Center,List([10, 25)))	I work at TNT Auto Center with a great group of people, helping the customer is our first priority.
0.5222094630377523		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(a service advisor with many years of experiences,List([5, 53)))	I am a service advisor with many years of experiences.
0.3048426724432105		SimpleArgument(I,List({0}))	Relation(doing receivables,List([8, 13), [14, 25)))	TemporalArgument(still,List([2, 7)))	I started in the car business in 1981, in Tucson as a night time receptionist, then filing clerk, moving my way up to cashier, service secretary, accounts receivable and then lead cashier over 5 stores and still doing receivables.
0.41051436014453063		SimpleArgument(I,List({0}))	Relation(doing,List([8, 13)))	SimpleArgument(receivables,List([14, 25)))	I started in the car business in 1981, in Tucson as a night time receptionist, then filing clerk, moving my way up to cashier, service secretary, accounts receivable and then lead cashier over 5 stores and still doing receivables.
0.3048426724432105		SimpleArgument(I,List({0}))	Relation(lead cashier,List([7, 11), [12, 19)))	TemporalArgument(then,List([2, 6)))	I started in the car business in 1981, in Tucson as a night time receptionist, then filing clerk, moving my way up to cashier, service secretary, accounts receivable and then lead cashier over 5 stores and still doing receivables.
0.41051436014453063		SimpleArgument(I,List({0}))	Relation(lead cashier over,List([7, 11), [12, 19), [20, 24)))	SimpleArgument(5 stores,List([25, 33)))	I started in the car business in 1981, in Tucson as a night time receptionist, then filing clerk, moving my way up to cashier, service secretary, accounts receivable and then lead cashier over 5 stores and still doing receivables.
0.41051436014453063		SimpleArgument(I,List({0}))	Relation(lead,List([7, 11)))	SimpleArgument(cashier,List([12, 19)))	I started in the car business in 1981, in Tucson as a night time receptionist, then filing clerk, moving my way up to cashier, service secretary, accounts receivable and then lead cashier over 5 stores and still doing receivables.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(accounts,List([2, 10)))	SimpleArgument(receivable,List([11, 21)))	I started in the car business in 1981, in Tucson as a night time receptionist, then filing clerk, moving my way up to cashier, service secretary, accounts receivable and then lead cashier over 5 stores and still doing receivables.
0.292827695956731	Context(I started then,List([0, 85)))	SimpleArgument(I,List({0}))	Relation(started then moving my way up,List([2, 9), [81, 85), [101, 107), [108, 114), [115, 117)))	SimpleArgument(to cashier , service secretary,List([118, 148)))	I started in the car business in 1981, in Tucson as a night time receptionist, then filing clerk, moving my way up to cashier, service secretary, accounts receivable and then lead cashier over 5 stores and still doing receivables.
0.183516546672029	Context(I started then,List([0, 85)))	SimpleArgument(I,List({0}))	Relation(started then moving,List([2, 9), [81, 85), [101, 107)))	SimpleArgument(my way,List([108, 114)))	I started in the car business in 1981, in Tucson as a night time receptionist, then filing clerk, moving my way up to cashier, service secretary, accounts receivable and then lead cashier over 5 stores and still doing receivables.
0.292827695956731	Context(I started then,List([0, 85)))	SimpleArgument(I,List({0}))	Relation(started then filing,List([2, 9), [81, 85), [86, 92)))	SimpleArgument(clerk,List([93, 98)))	I started in the car business in 1981, in Tucson as a night time receptionist, then filing clerk, moving my way up to cashier, service secretary, accounts receivable and then lead cashier over 5 stores and still doing receivables.
0.4258913882219478		SimpleArgument(I,List({0}))	Relation(started then in,List([2, 9), [40, 42), [81, 85)))	SpatialArgument(Tucson,List([43, 49)))	I started in the car business in 1981, in Tucson as a night time receptionist, then filing clerk, moving my way up to cashier, service secretary, accounts receivable and then lead cashier over 5 stores and still doing receivables.
0.17853087458024205		SimpleArgument(I,List({0}))	Relation(started then in,List([2, 9), [30, 32), [81, 85)))	TemporalArgument(1981,List([33, 37)))	I started in the car business in 1981, in Tucson as a night time receptionist, then filing clerk, moving my way up to cashier, service secretary, accounts receivable and then lead cashier over 5 stores and still doing receivables.
0.3813762836812193		SimpleArgument(I,List({0}))	Relation(started then in,List([2, 9), [10, 12), [81, 85)))	SpatialArgument(the car business,List([13, 29)))	I started in the car business in 1981, in Tucson as a night time receptionist, then filing clerk, moving my way up to cashier, service secretary, accounts receivable and then lead cashier over 5 stores and still doing receivables.
0.4576690213380217		SimpleArgument(I,List({0}))	Relation(left,List([2, 6)))	SimpleArgument(was being transferred to Yuma,List([41, 70)))	I left after 6.5 years due to getting married and my husband was being transferred to Yuma.
0.2507300406324104		SimpleArgument(I,List({0}))	Relation(left was being transferred to Yuma after,List([2, 6), [7, 65), [66, 70)))	TemporalArgument(6.5 years due to my husband,List([13, 40)))	I left after 6.5 years due to getting married and my husband was being transferred to Yuma.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(left after,List([2, 6), [7, 12)))	TemporalArgument(6.5 years due to getting married,List([13, 45)))	I left after 6.5 years due to getting married and my husband was being transferred to Yuma.
0.547338059826203		SimpleArgument(our,List([107, 109)))	Relation(moved to Kingman after,List([93, 98), [110, 118), [119, 126)))	TemporalArgument(7 years,List([99, 106)))	In Yuma I worked for a dealership doing cashiering, accounts payable, accounts receivable and personnel, employee insurances, after 7 years we moved to Kingman.
0.9030401971054747		SimpleArgument(a dealership,List([21, 33)))	Relation(doing,List([34, 39)))	SimpleArgument(cashiering,List([40, 50)))	In Yuma I worked for a dealership doing cashiering, accounts payable, accounts receivable and personnel, employee insurances, after 7 years we moved to Kingman.
0.4978219019954182		SimpleArgument(our,List([108, 110)))	Relation(moved to,List([111, 116), [117, 119)))	SimpleArgument(Kingman,List([120, 127)))	In Yuma I worked for a dealership doing cashiering, accounts payable, accounts receivable and personnel, employee insurances, after 7 years we moved to Kingman.
0.8729147718801314		SimpleArgument(a dealership doing cashiering ,,List([21, 52)))	Relation(receivable after,List([81, 91), [94, 99)))	TemporalArgument(7 years,List([100, 107)))	In Yuma I worked for a dealership doing cashiering, accounts payable, accounts receivable and personnel, employee insurances, after 7 years we moved to Kingman.
0.5926659981335703		SimpleArgument(I,List({8}))	Relation(worked for a dealership In,List([0, 2), [10, 22), [23, 33)))	SpatialArgument(Yuma,List([3, 7)))	In Yuma I worked for a dealership doing cashiering, accounts payable, accounts receivable and personnel, employee insurances, after 7 years we moved to Kingman.
0.45170382506656653		SimpleArgument(I,List({8}))	Relation(worked for,List([10, 16), [17, 20)))	SimpleArgument(a dealership,List([21, 33)))	In Yuma I worked for a dealership doing cashiering, accounts payable, accounts receivable and personnel, employee insurances, after 7 years we moved to Kingman.
0.1273814832686296	Context(I was,List([61, 66)))	SimpleArgument(I,List({0}))	Relation(started in,List([2, 9), [31, 33)))	TemporalArgument(1994,List([34, 38)))	"I started at Sun County Motors in 1994 as a service advisor, I was top advisor for many years, earning ""The extra mile awards"" many times."
0.4328394458044063	Context(I was,List([61, 66)))	SimpleArgument(I,List({0}))	Relation(started at,List([2, 9), [10, 12)))	SpatialArgument(Sun County Motors,List([13, 30)))	"I started at Sun County Motors in 1994 as a service advisor, I was top advisor for many years, earning ""The extra mile awards"" many times."
0.45694023613443424		SimpleArgument(I,List({61}))	Relation(was,List([63, 66)))	SimpleArgument(top advisor for many years,List([67, 93)))	"I started at Sun County Motors in 1994 as a service advisor, I was top advisor for many years, earning ""The extra mile awards"" many times."
0.27481725963644066		SimpleArgument(I,List({61}))	Relation(earning The extra mile awards,List([95, 102), [104, 125)))	TemporalArgument(many times,List([127, 137)))	"I started at Sun County Motors in 1994 as a service advisor, I was top advisor for many years, earning ""The extra mile awards"" many times."
0.36726237189477945		SimpleArgument(I,List({61}))	Relation(earning,List([95, 102)))	SimpleArgument(The extra mile awards,List([104, 125)))	"I started at Sun County Motors in 1994 as a service advisor, I was top advisor for many years, earning ""The extra mile awards"" many times."
0.6138676038426771		SimpleArgument(I,List({0}))	Relation(wrote,List([2, 7)))	SimpleArgument(a few items for the CSA magazine on customer service,List([8, 60)))	I wrote a few items for the CSA magazine on customer service.
0.8361331594439417	Context(I was,List([62, 67)))	SimpleArgument(Sun Country,List([5, 16)))	Relation(was sold to the Cliff Findlay,List([17, 25), [26, 46)))	TemporalArgument(Then,List([0, 4)))	Then Sun Country was sold to the Cliff Findlay in about 1996, I was at Cliff Findlay Auto Center until 2000.
0.7741254949563103	Context(I was,List([62, 67)))	SimpleArgument(Sun Country,List([5, 16)))	Relation(was sold to the Cliff Findlay in,List([17, 25), [26, 46), [47, 49)))	TemporalArgument(about 1996,List([50, 60)))	Then Sun Country was sold to the Cliff Findlay in about 1996, I was at Cliff Findlay Auto Center until 2000.
0.9212499880074402	Context(I was,List([62, 67)))	SimpleArgument(Sun Country,List([5, 16)))	Relation(was sold to,List([17, 25), [26, 28)))	SimpleArgument(the Cliff Findlay,List([29, 46)))	Then Sun Country was sold to the Cliff Findlay in about 1996, I was at Cliff Findlay Auto Center until 2000.
0.18272787056513734		SimpleArgument(I,List({62}))	Relation(was at Cliff Findlay Auto Center until,List([64, 67), [68, 96), [97, 102)))	TemporalArgument(2000,List([103, 107)))	Then Sun Country was sold to the Cliff Findlay in about 1996, I was at Cliff Findlay Auto Center until 2000.
