0.9481947648689547		SimpleArgument(Bryan,List([0, 5)))	Relation(is,List([6, 8)))	SimpleArgument(an Associate Broker with KW Commercial,List([9, 47)))	Bryan is an Associate Broker with KW Commercial.
0.6439034801964555		SimpleArgument(their subsidiary brokerage firm,List([137, 168)))	Relation(had over,List([175, 178), [179, 183)))	SimpleArgument(200 agents,List([184, 194)))	He was licensed in 2001, Brokered in 2004, served at an executive level, as Director of Marketing, leading the marketing efforts for a regional multi-million dollar developer and their subsidiary brokerage firm which had over 200 agents.
0.3536345617184334		SimpleArgument(He,List([0, 2)))	Relation(served at an executive level as,List([45, 51), [52, 73), [76, 78)))	SimpleArgument(Director of Marketing,List([79, 100)))	He was licensed in 2001, Brokered in 2004, served at an executive level, as Director of Marketing, leading the marketing efforts for a regional multi-million dollar developer and their subsidiary brokerage firm which had over 200 agents.
0.41051436014453063		SimpleArgument(He,List([0, 2)))	Relation(served at,List([45, 51), [52, 54)))	SimpleArgument(an executive level,List([55, 73)))	He was licensed in 2001, Brokered in 2004, served at an executive level, as Director of Marketing, leading the marketing efforts for a regional multi-million dollar developer and their subsidiary brokerage firm which had over 200 agents.
0.19710908353723788		SimpleArgument(He,List([0, 2)))	Relation(Brokered in,List([26, 34), [35, 37)))	TemporalArgument(2004,List([38, 42)))	He was licensed in 2001, Brokered in 2004, served at an executive level, as Director of Marketing, leading the marketing efforts for a regional multi-million dollar developer and their subsidiary brokerage firm which had over 200 agents.
0.22506131975927415		SimpleArgument(He,List([0, 2)))	Relation(was licensed in,List([3, 15), [16, 18)))	TemporalArgument(2001,List([19, 23)))	He was licensed in 2001, Brokered in 2004, served at an executive level, as Director of Marketing, leading the marketing efforts for a regional multi-million dollar developer and their subsidiary brokerage firm which had over 200 agents.
0.5283282283527726		SimpleArgument(he,List([26, 28)))	Relation(represents business owners , investors & amp ; asset managers regarding all aspects of commercial real estate Since,List([0, 5), [29, 128), [129, 135)))	TemporalArgument(joining KW in 2012,List([6, 24)))	Since joining KW in 2012, he represents business owners, investors &amp; asset managers regarding all aspects of commercial real estate – not limited to sales, acquisitions &amp; leases.
0.5042397497049353		SimpleArgument(he,List([26, 28)))	Relation(represents,List([29, 39)))	SimpleArgument(business owners, investors &amp; asset managers regarding all aspects of commercial real estate,List([40, 135)))	Since joining KW in 2012, he represents business owners, investors &amp; asset managers regarding all aspects of commercial real estate – not limited to sales, acquisitions &amp; leases.
0.896604430840561		SimpleArgument(commercial real estate,List([113, 135)))	Relation(not limited to,List([138, 149), [150, 152)))	SimpleArgument(sales, acquisitions &amp,List([153, 177)))	Since joining KW in 2012, he represents business owners, investors &amp; asset managers regarding all aspects of commercial real estate – not limited to sales, acquisitions &amp; leases.
0.8876082651439079		SimpleArgument(current & amp,List([78, 91)))	Relation(advises them on,List([92, 99), [100, 104), [105, 107)))	SimpleArgument(actionable items such as business planning for future expansions,List([108, 172)))	He offers his clients a tremendous amount of insight into market conditions, current &amp; proposed developments, what they can expect through the transaction process and advises them on actionable items such as business planning for future acquisitions and expansions.
0.3458137171542221	Context(current & amp advises,List([78, 99)))	SimpleArgument(He,List([0, 2)))	Relation(offers,List([3, 9)))	SimpleArgument(a tremendous amount of insight into market conditions,List([22, 75)))	He offers his clients a tremendous amount of insight into market conditions, current &amp; proposed developments, what they can expect through the transaction process and advises them on actionable items such as business planning for future acquisitions and expansions.
0.2507300406324104	Context(current & amp advises,List([78, 99)))	SimpleArgument(He,List([0, 2)))	Relation(offers a tremendous amount of insight into market conditions,List([3, 9), [22, 75)))	SimpleArgument(his clients,List([10, 21)))	He offers his clients a tremendous amount of insight into market conditions, current &amp; proposed developments, what they can expect through the transaction process and advises them on actionable items such as business planning for future acquisitions and expansions.
0.8876082651439079		SimpleArgument(current & amp,List([78, 91)))	Relation(advises them on,List([92, 99), [100, 104), [105, 107)))	SimpleArgument(actionable items such as business planning for future acquisitions,List([108, 174)))	He offers his clients a tremendous amount of insight into market conditions, current &amp; proposed developments, what they can expect through the transaction process and advises them on actionable items such as business planning for future acquisitions and expansions.
0.810847782465101		SimpleArgument(current & amp,List([78, 91)))	Relation(advises,List([92, 99)))	SimpleArgument(them,List([100, 104)))	He offers his clients a tremendous amount of insight into market conditions, current &amp; proposed developments, what they can expect through the transaction process and advises them on actionable items such as business planning for future acquisitions and expansions.
0.6155020116081594		SimpleArgument(they,List([121, 125)))	Relation(can expect through,List([126, 136), [137, 144)))	SimpleArgument(the transaction process,List([145, 168)))	He offers his clients a tremendous amount of insight into market conditions, current &amp; proposed developments, what they can expect through the transaction process and advises them on actionable items such as business planning for future acquisitions and expansions.
0.37410896068035915		SimpleArgument(He,List([0, 2)))	Relation(offers,List([3, 9)))	SimpleArgument(a tremendous amount of insight into market conditions , current & amp proposed developments , what they can expect through the transaction process,List([22, 168)))	He offers his clients a tremendous amount of insight into market conditions, current &amp; proposed developments, what they can expect through the transaction process and advises them on actionable items such as business planning for future acquisitions and expansions.
0.30297744566198154		SimpleArgument(He,List([0, 2)))	Relation(offers a tremendous amount of insight into market conditions , current & amp proposed developments , what they can expect through the transaction process,List([3, 9), [22, 168)))	SimpleArgument(his clients,List([10, 21)))	He offers his clients a tremendous amount of insight into market conditions, current &amp; proposed developments, what they can expect through the transaction process and advises them on actionable items such as business planning for future acquisitions and expansions.
