0.8306090960787457		SimpleArgument(1973 Free Estimates,List([35, 54)))	Relation(Established in,List([55, 66), [67, 69)))	TemporalArgument(1973,List([70, 74)))	'Floor Covering Specialists' Since 1973 Free Estimates Established in 1973.
0.9277724913494431		SimpleArgument(Glenn Wood,List([0, 10)))	Relation(starting business,List([27, 35), [36, 44)))	TemporalArgument(October 17, 1973,List([45, 61)))	Glenn Wood moved to Chico, starting business October 17, 1973.
0.9143456855143793		SimpleArgument(Glenn Wood,List([0, 10)))	Relation(starting,List([27, 35)))	SimpleArgument(business,List([36, 44)))	Glenn Wood moved to Chico, starting business October 17, 1973.
0.9382554258342916		SimpleArgument(Glenn Wood,List([0, 10)))	Relation(moved to,List([11, 16), [17, 19)))	SimpleArgument(Chico,List([20, 25)))	Glenn Wood moved to Chico, starting business October 17, 1973.
0.5		SimpleArgument(Bill Hill,List([17, 26)))	Relation([is] partner [of],List([9, 16)))	SimpleArgument(him,List([5, 8)))	With his partner Bill Hill, they moved from their original location Downtown to our currently location in 1989, Bill left the Business in 1993.
0.30398068276492246	Context(Bill left,List([112, 121)))	SimpleArgument(they,List([28, 32)))	Relation(moved to,List([33, 38), [77, 79)))	SimpleArgument(our currently location in 1989,List([80, 110)))	With his partner Bill Hill, they moved from their original location Downtown to our currently location in 1989, Bill left the Business in 1993.
0.394022708801387	Context(Bill left,List([112, 121)))	SimpleArgument(they,List([28, 32)))	Relation(moved to our currently location in 1989 from,List([33, 38), [39, 105), [106, 110)))	SimpleArgument(their original location Downtown,List([44, 76)))	With his partner Bill Hill, they moved from their original location Downtown to our currently location in 1989, Bill left the Business in 1993.
0.615580956299316		SimpleArgument(Bill,List([112, 116)))	Relation(left the Business in,List([117, 121), [122, 134), [135, 137)))	TemporalArgument(1993,List([138, 142)))	With his partner Bill Hill, they moved from their original location Downtown to our currently location in 1989, Bill left the Business in 1993.
0.8576784836790008		SimpleArgument(Bill,List([112, 116)))	Relation(left,List([117, 121)))	SimpleArgument(the Business,List([122, 134)))	With his partner Bill Hill, they moved from their original location Downtown to our currently location in 1989, Bill left the Business in 1993.
0.7811180658976948	Context(Glenn partially retired,List([0, 23)))	SimpleArgument(Glenn,List([0, 5)))	Relation(partially retired selling the business to,List([6, 23), [34, 41), [42, 54), [55, 57)))	SimpleArgument(Craig Main,List([58, 68)))	Glenn partially retired, in 2007, selling the business to Craig Main, who has worked with Glenn Since 1987.
0.7478385192013411	Context(Glenn partially retired,List([0, 23)))	SimpleArgument(Glenn,List([0, 5)))	Relation(partially retired selling,List([6, 23), [34, 41)))	SimpleArgument(the business,List([42, 54)))	Glenn partially retired, in 2007, selling the business to Craig Main, who has worked with Glenn Since 1987.
