0.9111779447320654		SimpleArgument(a full service,List([7, 21)))	Relation(grooming,List([22, 30)))	SimpleArgument(business,List([31, 39)))	We are a full service grooming business.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(a full service grooming business,List([7, 39)))	We are a full service grooming business.
0.8018966055903185	Context(a cage free experience allowing,List([9, 40)))	SimpleArgument(the dogs,List([41, 49)))	Relation(to socialize after,List([50, 62), [63, 68)))	TemporalArgument(their groom,List([69, 80)))	We offer a cage free experience allowing the dogs to play and socialize before and after their groom.
0.8308208352223743		SimpleArgument(a cage free experience,List([9, 31)))	Relation(allowing,List([32, 40)))	SimpleArgument(the dogs to socialize after their groom,List([41, 80)))	We offer a cage free experience allowing the dogs to play and socialize before and after their groom.
0.41763505952380825		SimpleArgument(We,List([0, 2)))	Relation(offer,List([3, 8)))	SimpleArgument(a cage free experience allowing the dogs to socialize after their groom,List([9, 80)))	We offer a cage free experience allowing the dogs to play and socialize before and after their groom.
0.7244373565482595	Context(a cage free experience allowing,List([9, 40)))	SimpleArgument(the dogs,List([41, 49)))	Relation(to socialize,List([50, 62)))	TemporalArgument(before,List([63, 69)))	We offer a cage free experience allowing the dogs to play and socialize before and after their groom.
0.9004708924659899		SimpleArgument(a cage free experience,List([9, 31)))	Relation(allowing,List([32, 40)))	SimpleArgument(the dogs to socialize before,List([41, 69)))	We offer a cage free experience allowing the dogs to play and socialize before and after their groom.
0.5691839633287576		SimpleArgument(We,List([0, 2)))	Relation(offer,List([3, 8)))	SimpleArgument(a cage free experience allowing the dogs to socialize before,List([9, 69)))	We offer a cage free experience allowing the dogs to play and socialize before and after their groom.
0.6866340513862939	Context(a cage free experience allowing,List([9, 40)))	SimpleArgument(the dogs,List([41, 49)))	Relation(to play,List([50, 57)))		We offer a cage free experience allowing the dogs to play and socialize before and after their groom.
0.9004708924659899		SimpleArgument(a cage free experience,List([9, 31)))	Relation(allowing,List([32, 40)))	SimpleArgument(the dogs to play,List([41, 57)))	We offer a cage free experience allowing the dogs to play and socialize before and after their groom.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(offer,List([3, 8)))	SimpleArgument(a cage free experience allowing the dogs to play,List([9, 57)))	We offer a cage free experience allowing the dogs to play and socialize before and after their groom.
0.8131408756488548		SimpleArgument(beds,List([0, 4)))	Relation(are available at,List([5, 8), [9, 18), [19, 21)))	SpatialArgument(all times as well as constant supervision,List([22, 63)))	Fresh water and beds are available at all times as well as constant supervision.
0.6053786123423853		SimpleArgument(beds,List([0, 4)))	Relation(are,List([5, 8)))	SimpleArgument(available,List([9, 18)))	Fresh water and beds are available at all times as well as constant supervision.
0.9030401971054747		SimpleArgument(Fresh water,List([0, 11)))	Relation(are available at,List([12, 15), [16, 25), [26, 28)))	SpatialArgument(all times as well as constant supervision,List([29, 70)))	Fresh water and beds are available at all times as well as constant supervision.
0.7665350501724939		SimpleArgument(Fresh water,List([0, 11)))	Relation(are,List([12, 15)))	SimpleArgument(available,List([16, 25)))	Fresh water and beds are available at all times as well as constant supervision.
0.5222094630377523		SimpleArgument(we,List([0, 2)))	Relation(do,List([3, 5)))	SimpleArgument(everything,List([6, 16)))	Our clients are very important to us and we do everything in our power to insure their safety and comfort.
0.48903187625367955		SimpleArgument(Our clients,List([0, 11)))	Relation(are,List([12, 15)))	SimpleArgument(very important to us,List([16, 36)))	Our clients are very important to us and we do everything in our power to insure their safety and comfort.
