0.06863405377245163		SimpleArgument(that,List([47, 51)))	Relation(is,List([52, 54)))	SimpleArgument(even possible,List([55, 68)))	great entertainment at an even better price if that is even possible.
0.16986108911692605		SimpleArgument(I,List({5}))	Relation(hosting,List([33, 40)))		When I moved to PA in July of 97' I started hosting and then aiding teen dances as DJ Dan.
0.3048426724432105		SimpleArgument(I,List({5}))	Relation(aiding teen dances as DJ Dan,List([44, 50), [51, 72)))	TemporalArgument(then,List([39, 43)))	When I moved to PA in July of 97' I started hosting and then aiding teen dances as DJ Dan.
0.45592395356914683		SimpleArgument(I,List({5}))	Relation(aiding,List([44, 50)))	SimpleArgument(teen dances as DJ Dan,List([51, 72)))	When I moved to PA in July of 97' I started hosting and then aiding teen dances as DJ Dan.
0.4978219019954182		SimpleArgument(I,List({5}))	Relation(moved to PA in,List([7, 12), [13, 18), [19, 21)))	TemporalArgument(July of 97,List([22, 32)))	When I moved to PA in July of 97' I started hosting and then aiding teen dances as DJ Dan.
0.4978219019954182		SimpleArgument(I,List({5}))	Relation(moved to,List([7, 12), [13, 15)))	SimpleArgument(PA,List([16, 18)))	When I moved to PA in July of 97' I started hosting and then aiding teen dances as DJ Dan.
0.8872966301155124		SimpleArgument(the services,List([176, 188)))	Relation(started the next 15 years of DJ work at,List([195, 202), [203, 231), [232, 234)))	SpatialArgument(a few weddings,List([235, 249)))	I upgraded two years later to booking weddings when a co worker of mine needed a DJ for her daughters wedding in exchange for credit to grow the equipment needed, I performed the services which started the next 15 years of DJ work at bars, Private parties and a few weddings.
0.5600415811619095		SimpleArgument(I,List({164}))	Relation(performed,List([166, 175)))	SimpleArgument(the services which started the next 15 years of DJ work at a few weddings,List([176, 249)))	I upgraded two years later to booking weddings when a co worker of mine needed a DJ for her daughters wedding in exchange for credit to grow the equipment needed, I performed the services which started the next 15 years of DJ work at bars, Private parties and a few weddings.
0.9382433616531214		SimpleArgument(the services,List([176, 188)))	Relation(started,List([195, 202)))	SimpleArgument(the next 15 years of DJ work at Private parties,List([203, 250)))	I upgraded two years later to booking weddings when a co worker of mine needed a DJ for her daughters wedding in exchange for credit to grow the equipment needed, I performed the services which started the next 15 years of DJ work at bars, Private parties and a few weddings.
0.5600415811619095		SimpleArgument(I,List({164}))	Relation(performed,List([166, 175)))	SimpleArgument(the services which started the next 15 years of DJ work at Private parties,List([176, 250)))	I upgraded two years later to booking weddings when a co worker of mine needed a DJ for her daughters wedding in exchange for credit to grow the equipment needed, I performed the services which started the next 15 years of DJ work at bars, Private parties and a few weddings.
0.7323734373534755		SimpleArgument(the equipment,List([141, 154)))	Relation(needed,List([155, 161)))		I upgraded two years later to booking weddings when a co worker of mine needed a DJ for her daughters wedding in exchange for credit to grow the equipment needed, I performed the services which started the next 15 years of DJ work at bars, Private parties and a few weddings.
0.6060389587495557		SimpleArgument(a co worker of mine,List([52, 71)))	Relation(needed a DJ to,List([72, 78), [79, 83), [133, 135)))	SimpleArgument(grow the equipment,List([136, 154)))	I upgraded two years later to booking weddings when a co worker of mine needed a DJ for her daughters wedding in exchange for credit to grow the equipment needed, I performed the services which started the next 15 years of DJ work at bars, Private parties and a few weddings.
0.561196248470269		SimpleArgument(a co worker of mine,List([52, 71)))	Relation(needed a DJ for,List([72, 78), [79, 83), [84, 87)))	SimpleArgument(her daughters wedding in exchange for credit,List([88, 132)))	I upgraded two years later to booking weddings when a co worker of mine needed a DJ for her daughters wedding in exchange for credit to grow the equipment needed, I performed the services which started the next 15 years of DJ work at bars, Private parties and a few weddings.
0.7392562838308419		SimpleArgument(a co worker of mine,List([52, 71)))	Relation(needed,List([72, 78)))	SimpleArgument(a DJ,List([79, 83)))	I upgraded two years later to booking weddings when a co worker of mine needed a DJ for her daughters wedding in exchange for credit to grow the equipment needed, I performed the services which started the next 15 years of DJ work at bars, Private parties and a few weddings.
0.8872966301155124		SimpleArgument(the services,List([176, 188)))	Relation(started the next 15 years of DJ work at,List([195, 202), [203, 231), [232, 234)))	SpatialArgument(bars,List([235, 239)))	I upgraded two years later to booking weddings when a co worker of mine needed a DJ for her daughters wedding in exchange for credit to grow the equipment needed, I performed the services which started the next 15 years of DJ work at bars, Private parties and a few weddings.
0.9045207649554154		SimpleArgument(the services,List([176, 188)))	Relation(started,List([195, 202)))	SimpleArgument(the next 15 years of DJ work,List([203, 231)))	I upgraded two years later to booking weddings when a co worker of mine needed a DJ for her daughters wedding in exchange for credit to grow the equipment needed, I performed the services which started the next 15 years of DJ work at bars, Private parties and a few weddings.
0.3010306049122031	Context(I performed,List([164, 175)))	SimpleArgument(I,List({0}))	Relation(upgraded to,List([2, 10), [27, 29)))	SimpleArgument(booking weddings,List([30, 46)))	I upgraded two years later to booking weddings when a co worker of mine needed a DJ for her daughters wedding in exchange for credit to grow the equipment needed, I performed the services which started the next 15 years of DJ work at bars, Private parties and a few weddings.
0.39068929374758027	Context(I performed,List([164, 175)))	SimpleArgument(I,List({0}))	Relation(upgraded to booking weddings,List([2, 10), [27, 46)))	TemporalArgument(two years later,List([11, 26)))	I upgraded two years later to booking weddings when a co worker of mine needed a DJ for her daughters wedding in exchange for credit to grow the equipment needed, I performed the services which started the next 15 years of DJ work at bars, Private parties and a few weddings.
0.5600415811619095		SimpleArgument(I,List({164}))	Relation(performed,List([166, 175)))	SimpleArgument(the services which started the next 15 years of DJ work at bars,List([176, 239)))	I upgraded two years later to booking weddings when a co worker of mine needed a DJ for her daughters wedding in exchange for credit to grow the equipment needed, I performed the services which started the next 15 years of DJ work at bars, Private parties and a few weddings.
0.9729999899864197		SimpleArgument(I,List([0, 0)))	Relation(am,List([0, 0)))	SimpleArgument(5,List(null))	I am 5 for 5 with weddings the first one now being going strong for closing in on 20 years.
0.6367319478431899		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(5 for 5 with weddings the first one now being going strong for closing in on 20 years,List([5, 90)))	I am 5 for 5 with weddings the first one now being going strong for closing in on 20 years.
0.886695286966665		SimpleArgument(I,List({0}))	Relation(am a father of,List([2, 16)))	SimpleArgument(three wonderful children,List([17, 41)))	I am a father of three wonderful children, A boy and 2 girls.
0.5222094630377523		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(a father of three wonderful children,List([5, 41)))	I am a father of three wonderful children, A boy and 2 girls.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(was born in,List([2, 10), [11, 13)))	SpatialArgument(Lynn,List([14, 18)))	I was born in Lynn, Massachusetts in 1984.
0.9180804252893389		SimpleArgument(a lady,List([3, 9)))	Relation(named,List([10, 15)))	SimpleArgument(Mindy,List([16, 21)))	To a lady named Mindy.
0.5222094630377523		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(the oldest of three boys,List([5, 29)))	I am the oldest of three boys.
0.3880890333449538		SimpleArgument(I,List({0}))	Relation(learned,List([2, 9)))	SimpleArgument(many valuable things,List([10, 30)))	I grew up with a single mother and learned many valuable things in each step of my life of which are shared in my writings.
0.1948871917044894		SimpleArgument(I,List({0}))	Relation(grew up,List([2, 9)))		I grew up with a single mother and learned many valuable things in each step of my life of which are shared in my writings.
0.263652756827333	Context(I have learned,List([0, 14)))	SimpleArgument(I,List({0}))	Relation(have learned to manage,List([2, 14), [15, 24)))	SimpleArgument(my disorganized mind,List([25, 45)))	I was diagnosed with ADHD at a very young age, my brothers had it worse than that, but I have learned to live with and manage my disorganized mind.
0.263652756827333		SimpleArgument(I,List({0}))	Relation(have learned to,List([2, 14), [15, 17)))	SimpleArgument(manage my disorganized mind,List([18, 45)))	I was diagnosed with ADHD at a very young age, my brothers had it worse than that, but I have learned to live with and manage my disorganized mind.
0.1886694268496255		SimpleArgument(I,List({0}))	Relation(have learned to,List([2, 14), [15, 17)))	SimpleArgument(live with,List([18, 27)))	I was diagnosed with ADHD at a very young age, my brothers had it worse than that, but I have learned to live with and manage my disorganized mind.
0.39746064682094406	Context(my brothers had,List([48, 63)))	SimpleArgument(I,List({0}))	Relation(was diagnosed with ADHD at,List([2, 15), [16, 25), [26, 28)))	TemporalArgument(a very young age,List([29, 45)))	I was diagnosed with ADHD at a very young age, my brothers had it worse than that, but I have learned to live with and manage my disorganized mind.
0.44251022175651566	Context(my brothers had,List([48, 63)))	SimpleArgument(I,List({0}))	Relation(was diagnosed with,List([2, 15), [16, 20)))	SimpleArgument(ADHD,List([21, 25)))	I was diagnosed with ADHD at a very young age, my brothers had it worse than that, but I have learned to live with and manage my disorganized mind.
0.2708032554770379		SimpleArgument(my brothers,List([48, 59)))	Relation(had,List([60, 63)))	SimpleArgument(it worse than that,List([64, 82)))	I was diagnosed with ADHD at a very young age, my brothers had it worse than that, but I have learned to live with and manage my disorganized mind.
0.3991576880142734	Context(I did n't start,List([0, 15)))	SimpleArgument(I,List({0}))	Relation(did n't start realizing,List([2, 15), [16, 25)))	SimpleArgument(the truth in it till I was moved to Pennsylvania,List([26, 74)))	I started writing little jokes and poems at age ten, but didn't start refining it and realizing the truth in it till I was thirteen and moved to Pennsylvania.
0.2560951955542683		SimpleArgument(I,List({0}))	Relation(did n't start,List([2, 15)))	SimpleArgument(realizing the truth in it,List([16, 41)))	I started writing little jokes and poems at age ten, but didn't start refining it and realizing the truth in it till I was thirteen and moved to Pennsylvania.
0.4978219019954182		SimpleArgument(I,List({47}))	Relation(was moved to,List([49, 58), [59, 61)))	SimpleArgument(Pennsylvania,List([62, 74)))	I started writing little jokes and poems at age ten, but didn't start refining it and realizing the truth in it till I was thirteen and moved to Pennsylvania.
0.2560951955542683	Context(I did n't start,List([0, 15)))	SimpleArgument(I,List({0}))	Relation(did n't start realizing the truth in it till,List([2, 15), [16, 25), [26, 41), [42, 46)))	TemporalArgument(I was thirteen,List([47, 61)))	I started writing little jokes and poems at age ten, but didn't start refining it and realizing the truth in it till I was thirteen and moved to Pennsylvania.
0.2560951955542683	Context(I did n't start,List([0, 15)))	SimpleArgument(I,List({0}))	Relation(did n't start realizing,List([2, 15), [16, 25)))	SimpleArgument(the truth in it,List([26, 41)))	I started writing little jokes and poems at age ten, but didn't start refining it and realizing the truth in it till I was thirteen and moved to Pennsylvania.
0.2560951955542683		SimpleArgument(I,List({0}))	Relation(did n't start,List([2, 15)))	SimpleArgument(realizing the truth in it till I was thirteen,List([16, 61)))	I started writing little jokes and poems at age ten, but didn't start refining it and realizing the truth in it till I was thirteen and moved to Pennsylvania.
0.27813615858960106		SimpleArgument(I,List({47}))	Relation(was,List([49, 52)))	SimpleArgument(thirteen,List([53, 61)))	I started writing little jokes and poems at age ten, but didn't start refining it and realizing the truth in it till I was thirteen and moved to Pennsylvania.
0.2560951955542683	Context(I did n't start,List([0, 15)))	SimpleArgument(I,List({0}))	Relation(did n't start refining,List([2, 15), [16, 24)))	SimpleArgument(it,List([25, 27)))	I started writing little jokes and poems at age ten, but didn't start refining it and realizing the truth in it till I was thirteen and moved to Pennsylvania.
0.2560951955542683		SimpleArgument(I,List({0}))	Relation(did n't start,List([2, 15)))	SimpleArgument(refining it,List([16, 27)))	I started writing little jokes and poems at age ten, but didn't start refining it and realizing the truth in it till I was thirteen and moved to Pennsylvania.
0.39746064682094406	Context(I started,List([0, 9)))	SimpleArgument(I,List({0}))	Relation(started writing poems at,List([2, 9), [10, 17), [18, 23), [24, 26)))	TemporalArgument(age ten,List([27, 34)))	I started writing little jokes and poems at age ten, but didn't start refining it and realizing the truth in it till I was thirteen and moved to Pennsylvania.
0.39746064682094406	Context(I started,List([0, 9)))	SimpleArgument(I,List({0}))	Relation(started writing,List([2, 9), [10, 17)))	SimpleArgument(poems,List([18, 23)))	I started writing little jokes and poems at age ten, but didn't start refining it and realizing the truth in it till I was thirteen and moved to Pennsylvania.
0.39746064682094406		SimpleArgument(I,List({0}))	Relation(started,List([2, 9)))	SimpleArgument(writing poems at age ten,List([10, 34)))	I started writing little jokes and poems at age ten, but didn't start refining it and realizing the truth in it till I was thirteen and moved to Pennsylvania.
0.39746064682094406	Context(I started,List([0, 9)))	SimpleArgument(I,List({0}))	Relation(started writing little jokes at,List([2, 9), [10, 17), [18, 30), [31, 33)))	TemporalArgument(age ten,List([34, 41)))	I started writing little jokes and poems at age ten, but didn't start refining it and realizing the truth in it till I was thirteen and moved to Pennsylvania.
0.39746064682094406	Context(I started,List([0, 9)))	SimpleArgument(I,List({0}))	Relation(started writing,List([2, 9), [10, 17)))	SimpleArgument(little jokes,List([18, 30)))	I started writing little jokes and poems at age ten, but didn't start refining it and realizing the truth in it till I was thirteen and moved to Pennsylvania.
0.39746064682094406		SimpleArgument(I,List({0}))	Relation(started,List([2, 9)))	SimpleArgument(writing little jokes at age ten,List([10, 41)))	I started writing little jokes and poems at age ten, but didn't start refining it and realizing the truth in it till I was thirteen and moved to Pennsylvania.
