0.820322250151534		SimpleArgument(Furniture Restoration , repair,List([0, 30)))	Relation(Established in,List([35, 46), [47, 49)))	TemporalArgument(1987,List([50, 54)))	Furniture Restoration, refinishing and repair... Established in 1987.
0.7900566639584307		SimpleArgument(Furniture Restoration,List([0, 21)))	Relation(refinishing Established in,List([24, 47), [48, 50)))	TemporalArgument(1987,List([51, 55)))	Furniture Restoration, refinishing and repair... Established in 1987.
0.9488092838692999		SimpleArgument(Blake Soule,List([136, 147)))	Relation(opened his own shop After,List([19, 24), [149, 163), [164, 168)))	TemporalArgument(gaining nearly a decade of experience,List([25, 62)))	About the company: After gaining nearly a decade of experience working for other furniture restoration, repair and finishing companies, Blake Soule' opened his own shop--Soule' Furniture Restoration--in 1987.
0.7107293693420784		SimpleArgument(Blake Soule,List([136, 147)))	Relation(opened his own shop in,List([149, 155), [156, 168), [200, 202)))	TemporalArgument(1987,List([203, 207)))	About the company: After gaining nearly a decade of experience working for other furniture restoration, repair and finishing companies, Blake Soule' opened his own shop--Soule' Furniture Restoration--in 1987.
0.8528181305510196		SimpleArgument(Blake Soule,List([136, 147)))	Relation(opened,List([149, 155)))	SimpleArgument(his own shop,List([156, 168)))	About the company: After gaining nearly a decade of experience working for other furniture restoration, repair and finishing companies, Blake Soule' opened his own shop--Soule' Furniture Restoration--in 1987.
0.8942434158739456		SimpleArgument(experience,List([52, 62)))	Relation(working for,List([63, 70), [71, 74)))	SimpleArgument(other furniture restoration, repair and finishing companies,List([75, 134)))	About the company: After gaining nearly a decade of experience working for other furniture restoration, repair and finishing companies, Blake Soule' opened his own shop--Soule' Furniture Restoration--in 1987.
0.8592111619294878		SimpleArgument(Blake,List([12, 17)))	Relation(moved to a 3,000 sq,List([31, 36), [37, 50)))	TemporalArgument(subsequently,List([18, 30)))	Initially, Blake operated the shop out of his home, but the business quickly outgrew their home-based shop and subsequently moved to a 3,000 sq.
0.8357052151372583		SimpleArgument(Blake,List([12, 17)))	Relation(moved to a 3,000 sq,List([31, 36), [37, 50)))	TemporalArgument(Initially,List([0, 9)))	Initially, Blake operated the shop out of his home, but the business quickly outgrew their home-based shop and subsequently moved to a 3,000 sq.
0.9064683704715875		SimpleArgument(Blake,List([12, 17)))	Relation(moved to,List([31, 36), [37, 39)))	SimpleArgument(a 3,000 sq,List([40, 50)))	Initially, Blake operated the shop out of his home, but the business quickly outgrew their home-based shop and subsequently moved to a 3,000 sq.
0.8348583869532935		SimpleArgument(the business,List([0, 12)))	Relation(quickly outgrew,List([13, 28)))	SimpleArgument(their home - based shop,List([29, 52)))	Initially, Blake operated the shop out of his home, but the business quickly outgrew their home-based shop and subsequently moved to a 3,000 sq.
0.8574981706501229		SimpleArgument(Blake,List([12, 17)))	Relation(operated the shop,List([18, 26), [27, 35)))	TemporalArgument(Initially,List([0, 9)))	Initially, Blake operated the shop out of his home, but the business quickly outgrew their home-based shop and subsequently moved to a 3,000 sq.
0.8615585111461579		SimpleArgument(Blake,List([12, 17)))	Relation(operated the shop out,List([18, 26), [27, 35), [36, 39)))	SimpleArgument(of his home,List([40, 51)))	Initially, Blake operated the shop out of his home, but the business quickly outgrew their home-based shop and subsequently moved to a 3,000 sq.
0.9197759696552441		SimpleArgument(Blake,List([12, 17)))	Relation(operated,List([18, 26)))	SimpleArgument(the shop,List([27, 35)))	Initially, Blake operated the shop out of his home, but the business quickly outgrew their home-based shop and subsequently moved to a 3,000 sq.
