0.8016573080327372		SimpleArgument(Smiles,List([31, 37)))	Relation(Established in,List([38, 49), [50, 52)))	TemporalArgument(1999,List([53, 57)))	Braces, Orthodontic Treatment, Smiles Established in 1999.
0.8847999636040884		SimpleArgument(Dr. Curtis,List([0, 10)))	Relation(is a graduate of,List([11, 27)))	SimpleArgument(Indiana University,List([28, 46)))	Dr. Curtis is a graduate of Indiana University, Indiana University School of Dentistry, and University of Iowa College of Dentistry.
0.9527410621066101		SimpleArgument(Dr. Curtis,List([0, 10)))	Relation(is,List([11, 13)))	SimpleArgument(a graduate of Indiana University,List([14, 46)))	Dr. Curtis is a graduate of Indiana University, Indiana University School of Dentistry, and University of Iowa College of Dentistry.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(established his private practice of orthodontics in,List([3, 14), [15, 51), [52, 54)))	TemporalArgument(June, 1999,List([55, 65)))	He established his private practice of orthodontics in June, 1999.
0.30899953469486874		SimpleArgument(He,List([0, 2)))	Relation(established,List([3, 14)))	SimpleArgument(his private practice of orthodontics,List([15, 51)))	He established his private practice of orthodontics in June, 1999.
0.7614217007482424		SimpleArgument(The office,List([0, 10)))	Relation(was located,List([11, 14), [26, 33)))	TemporalArgument(originally,List([15, 25)))	The office was originally located in the Limestone Business Plaza, behind Pizza Hut on 16th St.
0.8797652531099371		SimpleArgument(The office,List([0, 10)))	Relation(was located on,List([11, 14), [26, 33), [84, 86)))	SpatialArgument(16th St.,List([87, 95)))	The office was originally located in the Limestone Business Plaza, behind Pizza Hut on 16th St.
0.8797652531099371		SimpleArgument(The office,List([0, 10)))	Relation(was located behind,List([11, 14), [26, 33), [67, 73)))	SpatialArgument(Pizza Hut,List([74, 83)))	The office was originally located in the Limestone Business Plaza, behind Pizza Hut on 16th St.
0.8797652531099371		SimpleArgument(The office,List([0, 10)))	Relation(was located in,List([11, 14), [26, 33), [34, 36)))	SpatialArgument(the Limestone Business Plaza,List([37, 65)))	The office was originally located in the Limestone Business Plaza, behind Pizza Hut on 16th St.
0.9250606141558615		SimpleArgument(a new office,List([10, 22)))	Relation(was built near,List([23, 32), [33, 37)))	SpatialArgument(the intersection of 16th St.,List([38, 66)))	In 2005, a new office was built near the intersection of Central Avenue and 16th St., and that is the current office location.
0.9929999709129333		SimpleArgument(a new office,List([0, 0)))	Relation(was built In,List([0, 0)))	SimpleArgument(2005,List(null))	In 2005, a new office was built near the intersection of Central Avenue and 16th St., and that is the current office location.
0.8414679387687999		SimpleArgument(a new office,List([10, 22)))	Relation(was built In,List([0, 26), [27, 32)))	TemporalArgument(2005,List([3, 7)))	In 2005, a new office was built near the intersection of Central Avenue and 16th St., and that is the current office location.
