0.9449993708870406		SimpleArgument(Paul-René Albertini,List([0, 19)))	Relation(is,List([27, 29)))	SimpleArgument(a global music industry executive,List([30, 63)))	Paul-René Albertini (1964) is a global music industry executive.
0.50931417287027		SimpleArgument(He,List([0, 2)))	Relation(started his career in music with,List([3, 10), [11, 30), [39, 43)))	SimpleArgument(the magazine The Actuel magazine as independent record producer in Paris,List([44, 116)))	He graduated from the Institut Superieur de Gestion (ISG) and started his career in music in 1982 with the magazine The Actuel magazine as a concert promoter and independent record producer in Paris.
0.3929209860966329		SimpleArgument(He,List([0, 2)))	Relation(started his career in music with,List([3, 10), [11, 30), [39, 43)))	SimpleArgument(the magazine The Actuel magazine as a concert promoter,List([44, 98)))	He graduated from the Institut Superieur de Gestion (ISG) and started his career in music in 1982 with the magazine The Actuel magazine as a concert promoter and independent record producer in Paris.
0.22506131975927415		SimpleArgument(He,List([0, 2)))	Relation(started his career in music in,List([3, 10), [11, 30), [31, 33)))	TemporalArgument(1982,List([34, 38)))	He graduated from the Institut Superieur de Gestion (ISG) and started his career in music in 1982 with the magazine The Actuel magazine as a concert promoter and independent record producer in Paris.
0.30899953469486874		SimpleArgument(He,List([0, 2)))	Relation(started,List([3, 10)))	SimpleArgument(his career in music,List([11, 30)))	He graduated from the Institut Superieur de Gestion (ISG) and started his career in music in 1982 with the magazine The Actuel magazine as a concert promoter and independent record producer in Paris.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(graduated from,List([3, 12), [13, 17)))	SimpleArgument(the Institut Superieur de Gestion,List([18, 51)))	He graduated from the Institut Superieur de Gestion (ISG) and started his career in music in 1982 with the magazine The Actuel magazine as a concert promoter and independent record producer in Paris.
0.1926596387851145		SimpleArgument(he,List([10, 12)))	Relation(became Marketing Director for Barclay Records in,List([18, 20), [26, 63), [64, 71)))	TemporalArgument(1986,List([21, 25)))	From 1984 he served as Polygram France's International Label Manager and then in 1986 became Marketing Director for Barclay Records.
0.26766884027090854		SimpleArgument(he,List([10, 12)))	Relation(became Marketing Director for Barclay Records,List([26, 32), [33, 71)))	TemporalArgument(then,List([13, 17)))	From 1984 he served as Polygram France's International Label Manager and then in 1986 became Marketing Director for Barclay Records.
0.29886655727758943		SimpleArgument(he,List([10, 12)))	Relation(became Marketing Director for Barclay Records From,List([0, 4), [26, 63), [64, 71)))	TemporalArgument(1984,List([5, 9)))	From 1984 he served as Polygram France's International Label Manager and then in 1986 became Marketing Director for Barclay Records.
0.45592395356914683		SimpleArgument(he,List([10, 12)))	Relation(became,List([26, 32)))	SimpleArgument(Marketing Director for Barclay Records,List([33, 71)))	From 1984 he served as Polygram France's International Label Manager and then in 1986 became Marketing Director for Barclay Records.
0.36123317708488234		SimpleArgument(he,List([10, 12)))	Relation(served as Polygram France 's International Label Manager From,List([0, 4), [13, 61), [62, 69)))	TemporalArgument(1984,List([5, 9)))	From 1984 he served as Polygram France's International Label Manager and then in 1986 became Marketing Director for Barclay Records.
0.4978219019954182		SimpleArgument(he,List([10, 12)))	Relation(served as,List([13, 19), [20, 22)))	SimpleArgument(Polygram France 's International Label Manager,List([23, 69)))	From 1984 he served as Polygram France's International Label Manager and then in 1986 became Marketing Director for Barclay Records.
0.9051964722438532		SimpleArgument(Paul-René,List([8, 17)))	Relation(graduated from the senior executive course of the Harvard Business School ISMP In,List([0, 2), [18, 91), [92, 96)))	TemporalArgument(1993,List([3, 7)))	In 1993 Paul-René graduated from the senior executive course of the Harvard Business School ISMP.
0.9640827750857294		SimpleArgument(Paul-René,List([8, 17)))	Relation(graduated from,List([18, 27), [28, 32)))	SimpleArgument(the senior executive course of the Harvard Business School ISMP,List([33, 96)))	In 1993 Paul-René graduated from the senior executive course of the Harvard Business School ISMP.
0.8872626343557611		SimpleArgument(Albertini,List([10, 19)))	Relation(became CEO of Sony Music France In,List([0, 2), [20, 44), [45, 51)))	TemporalArgument(1995,List([3, 7)))	In 1995, Albertini became President and CEO of Sony Music France.
0.9324144673478683		SimpleArgument(Albertini,List([10, 19)))	Relation(became,List([20, 26)))	SimpleArgument(CEO of Sony Music France,List([27, 51)))	In 1995, Albertini became President and CEO of Sony Music France.
0.8557456177405949		SimpleArgument(Albertini,List([10, 19)))	Relation(became President of Sony Music France In,List([0, 2), [20, 50), [51, 57)))	TemporalArgument(1995,List([3, 7)))	In 1995, Albertini became President and CEO of Sony Music France.
0.9324144673478683		SimpleArgument(Albertini,List([10, 19)))	Relation(became,List([20, 26)))	SimpleArgument(President of Sony Music France,List([27, 57)))	In 1995, Albertini became President and CEO of Sony Music France.
0.6160004474461185		SimpleArgument(he,List([96, 98)))	Relation(became Executive Vice President of Sony Music Entertainment Europe at,List([82, 84), [99, 158), [159, 165)))	TemporalArgument(which time,List([85, 95)))	Under his tenure the company's market share went from 22% in 1995 to 31% in 1998, at which time he became Executive Vice President of Sony Music Entertainment Europe.
0.4978219019954182		SimpleArgument(he,List([96, 98)))	Relation(became,List([99, 105)))	SimpleArgument(Executive Vice President of Sony Music Entertainment Europe,List([106, 165)))	Under his tenure the company's market share went from 22% in 1995 to 31% in 1998, at which time he became Executive Vice President of Sony Music Entertainment Europe.
0.9083844455217064		SimpleArgument(the company's market share,List([17, 43)))	Relation(went Under,List([0, 5), [44, 48)))	SpatialArgument(his tenure,List([6, 16)))	Under his tenure the company's market share went from 22% in 1995 to 31% in 1998, at which time he became Executive Vice President of Sony Music Entertainment Europe.
0.9256263201643982		SimpleArgument(the company's market share,List([17, 43)))	Relation(went from,List([44, 48), [49, 53)))	SimpleArgument(22% in 1995 to 31% in 1998,List([54, 80)))	Under his tenure the company's market share went from 22% in 1995 to 31% in 1998, at which time he became Executive Vice President of Sony Music Entertainment Europe.
0.45170382506656653		SimpleArgument(he,List([111, 113)))	Relation(oversaw numerous licensees throughout,List([114, 121), [122, 140), [141, 151)))	TemporalArgument(the world,List([152, 161)))	In 2000, Albertini joined Warner Music Group as President of Warner Music Europe and in September 2002 was appointed President of Warner Music International where, from the London headquarters, he oversaw the company's 37 affiliates and numerous licensees throughout the world.
0.5961061943937731		SimpleArgument(he,List([111, 113)))	Relation(oversaw the company 's 37 affiliates,List([114, 121), [122, 150)))	SpatialArgument(Warner Music International,List([45, 71)))	In 2000, Albertini joined Warner Music Group as President of Warner Music Europe and in September 2002 was appointed President of Warner Music International where, from the London headquarters, he oversaw the company's 37 affiliates and numerous licensees throughout the world.
0.3880890333449538		SimpleArgument(he,List([121, 123)))	Relation(oversaw numerous licensees throughout,List([124, 131), [132, 150), [151, 161)))	SpatialArgument(the world,List([162, 171)))	In 2000, Albertini joined Warner Music Group as President of Warner Music Europe and in September 2002 was appointed President of Warner Music International where, from the London headquarters, he oversaw the company's 37 affiliates and numerous licensees throughout the world.
