0.9314904193639496		SimpleArgument(a mobile veterinary practice,List([7, 35)))	Relation(serving,List([36, 43)))	SimpleArgument(South Walton county,List([44, 63)))	We are a mobile veterinary practice serving South Walton county, FL.
0.6138676038426771		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(a mobile veterinary practice serving South Walton county, FL,List([7, 67)))	We are a mobile veterinary practice serving South Walton county, FL.
0.5691839633287576		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(the only locally-based veterinarian to integrate western & traditional Chinese medicine,List([7, 94)))	We are the only locally-based veterinarian to integrate western & traditional Chinese medicine.
0.9605824069728295		SimpleArgument(Dr. Collier,List([0, 11)))	Relation(has received,List([12, 24)))	SimpleArgument(post-graduate training in acupuncture for small horses food therapy and Tui - na ( healing massage,List([25, 123)))	Dr. Collier has received post-graduate training in acupuncture for small animals and horses, Chinese herbal therapy, food therapy and Tui-na (healing massage).
0.9266232318014763		SimpleArgument(Dr. Collier,List([0, 11)))	Relation(has received,List([12, 24)))	SimpleArgument(post-graduate training in acupuncture for small horses,List([25, 79)))	Dr. Collier has received post-graduate training in acupuncture for small animals and horses, Chinese herbal therapy, food therapy and Tui-na (healing massage).
0.8918329165024274		SimpleArgument(Dr. Collier,List([0, 11)))	Relation(has received post-graduate training for,List([12, 24), [25, 47), [63, 66)))	SimpleArgument(small horses,List([67, 79)))	Dr. Collier has received post-graduate training in acupuncture for small animals and horses, Chinese herbal therapy, food therapy and Tui-na (healing massage).
0.9266232318014763		SimpleArgument(Dr. Collier,List([0, 11)))	Relation(has received post-graduate training in,List([12, 24), [25, 47), [48, 50)))	SpatialArgument(acupuncture,List([51, 62)))	Dr. Collier has received post-graduate training in acupuncture for small animals and horses, Chinese herbal therapy, food therapy and Tui-na (healing massage).
0.9266232318014763		SimpleArgument(Dr. Collier,List([0, 11)))	Relation(has received,List([12, 24)))	SimpleArgument(post-graduate training,List([25, 47)))	Dr. Collier has received post-graduate training in acupuncture for small animals and horses, Chinese herbal therapy, food therapy and Tui-na (healing massage).
0.9266232318014763		SimpleArgument(Dr. Collier,List([0, 11)))	Relation(has received,List([12, 24)))	SimpleArgument(post-graduate training in acupuncture for small animals,List([25, 80)))	Dr. Collier has received post-graduate training in acupuncture for small animals and horses, Chinese herbal therapy, food therapy and Tui-na (healing massage).
0.5691839633287576		SimpleArgument(We,List([0, 2)))	Relation(provide,List([3, 10)))	SimpleArgument(full - service mobile veterinary care for cats , including preventive dentistry,List([11, 90)))	We provide full-service mobile veterinary care for dogs and cats, including preventive care, vaccines, lab work, x-rays, spays & neuters and dentistry.
0.5691839633287576		SimpleArgument(We,List([0, 2)))	Relation(provide,List([3, 10)))	SimpleArgument(full - service mobile veterinary care for cats , including preventive neuters,List([11, 88)))	We provide full-service mobile veterinary care for dogs and cats, including preventive care, vaccines, lab work, x-rays, spays & neuters and dentistry.
0.5691839633287576		SimpleArgument(We,List([0, 2)))	Relation(provide,List([3, 10)))	SimpleArgument(full - service mobile veterinary care for cats , including preventive spays,List([11, 86)))	We provide full-service mobile veterinary care for dogs and cats, including preventive care, vaccines, lab work, x-rays, spays & neuters and dentistry.
0.5691839633287576		SimpleArgument(We,List([0, 2)))	Relation(provide,List([3, 10)))	SimpleArgument(full - service mobile veterinary care for cats , including preventive x-rays,List([11, 87)))	We provide full-service mobile veterinary care for dogs and cats, including preventive care, vaccines, lab work, x-rays, spays & neuters and dentistry.
0.5691839633287576		SimpleArgument(We,List([0, 2)))	Relation(provide,List([3, 10)))	SimpleArgument(full - service mobile veterinary care for cats , including preventive lab work,List([11, 89)))	We provide full-service mobile veterinary care for dogs and cats, including preventive care, vaccines, lab work, x-rays, spays & neuters and dentistry.
0.5691839633287576		SimpleArgument(We,List([0, 2)))	Relation(provide,List([3, 10)))	SimpleArgument(full - service mobile veterinary care for cats , including preventive vaccines,List([11, 89)))	We provide full-service mobile veterinary care for dogs and cats, including preventive care, vaccines, lab work, x-rays, spays & neuters and dentistry.
0.5691839633287576		SimpleArgument(We,List([0, 2)))	Relation(provide,List([3, 10)))	SimpleArgument(full - service mobile veterinary care for cats , including preventive care,List([11, 85)))	We provide full-service mobile veterinary care for dogs and cats, including preventive care, vaccines, lab work, x-rays, spays & neuters and dentistry.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(provide,List([3, 10)))	SimpleArgument(full - service mobile veterinary care,List([11, 48)))	We provide full-service mobile veterinary care for dogs and cats, including preventive care, vaccines, lab work, x-rays, spays & neuters and dentistry.
0.6214516678571286		SimpleArgument(Our equine practice,List([0, 19)))	Relation(limited to,List([23, 30), [31, 33)))	SimpleArgument(holistic medicine only,List([34, 56)))	Our equine practice is limited to holistic medicine only.
0.7204007205331314		SimpleArgument(Our equine practice,List([0, 19)))	Relation(is,List([20, 22)))	SimpleArgument(limited to holistic medicine only,List([23, 56)))	Our equine practice is limited to holistic medicine only.
0.9990000128746033		SimpleArgument(We,List([0, 0)))	Relation(utilize,List([0, 0)))	SimpleArgument(26 - ft motor home,List(null))	We utilize a 26-ft motor home commercially built to be a veterinary hospital.
0.9205578370056476		SimpleArgument(a 26-ft motor home,List([11, 29)))	Relation(to be,List([49, 54)))	SimpleArgument(a veterinary hospital,List([55, 76)))	We utilize a 26-ft motor home commercially built to be a veterinary hospital.
0.9320111551042786		SimpleArgument(a 26-ft motor home,List([11, 29)))	Relation(commercially built to,List([30, 48), [49, 51)))	SimpleArgument(be a veterinary hospital,List([52, 76)))	We utilize a 26-ft motor home commercially built to be a veterinary hospital.
0.5691839633287576		SimpleArgument(We,List([0, 2)))	Relation(utilize,List([3, 10)))	SimpleArgument(a 26-ft motor home commercially built to be a veterinary hospital,List([11, 76)))	We utilize a 26-ft motor home commercially built to be a veterinary hospital.
0.3723576963542719		SimpleArgument(it,List([19, 21)))	Relation(is,List([22, 24)))	SimpleArgument(less stressful to their owner,List([25, 54)))	By coming to pet or horse's own environment, it is less stressful to them and their owner.
