0.38089450366724514		SimpleArgument(April 10 , 1997 ),List([35, 50)))	Relation(was a teacher of,List([51, 67)))	SimpleArgument(Filipino martial arts,List([68, 89)))	Edgar Sulite (September 25, 1957 – April 10, 1997) was a teacher of Filipino martial arts.
0.9445721975409912		SimpleArgument(Edgar Sulite,List([0, 12)))	Relation(was,List([51, 54)))	SimpleArgument(a teacher of Filipino martial arts,List([55, 89)))	Edgar Sulite (September 25, 1957 – April 10, 1997) was a teacher of Filipino martial arts.
0.3095408462068313		SimpleArgument(He,List([0, 2)))	Relation(trained as : Diana Lee Inosanto,List([3, 10), [25, 48)))	SimpleArgument(citation,List([53, 61)))	He was the creator of Lameco Eskrima and trained such notables as: Dan Inosanto, Ron Balicki, Larry Hartsell, Fred Degerberg and Diana Lee Inosanto.[citation
0.3929209860966329		SimpleArgument(He,List([0, 2)))	Relation(trained as,List([3, 10), [25, 27)))	SimpleArgument(: Diana Lee Inosanto,List([28, 48)))	He was the creator of Lameco Eskrima and trained such notables as: Dan Inosanto, Ron Balicki, Larry Hartsell, Fred Degerberg and Diana Lee Inosanto.[citation
0.3095408462068313		SimpleArgument(He,List([0, 2)))	Relation(trained as : Fred Degerberg,List([3, 10), [25, 44)))	SimpleArgument(citation,List([49, 57)))	He was the creator of Lameco Eskrima and trained such notables as: Dan Inosanto, Ron Balicki, Larry Hartsell, Fred Degerberg and Diana Lee Inosanto.[citation
0.3929209860966329		SimpleArgument(He,List([0, 2)))	Relation(trained as,List([3, 10), [25, 27)))	SimpleArgument(: Fred Degerberg,List([28, 44)))	He was the creator of Lameco Eskrima and trained such notables as: Dan Inosanto, Ron Balicki, Larry Hartsell, Fred Degerberg and Diana Lee Inosanto.[citation
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(trained such notables as,List([3, 10), [11, 24), [25, 27)))	SimpleArgument(: Larry Hartsell,List([28, 44)))	He was the creator of Lameco Eskrima and trained such notables as: Dan Inosanto, Ron Balicki, Larry Hartsell, Fred Degerberg and Diana Lee Inosanto.[citation
0.3095408462068313		SimpleArgument(He,List([0, 2)))	Relation(trained as : Ron Balicki,List([3, 10), [25, 41)))	SimpleArgument(citation,List([46, 54)))	He was the creator of Lameco Eskrima and trained such notables as: Dan Inosanto, Ron Balicki, Larry Hartsell, Fred Degerberg and Diana Lee Inosanto.[citation
0.3929209860966329		SimpleArgument(He,List([0, 2)))	Relation(trained as,List([3, 10), [25, 27)))	SimpleArgument(: Ron Balicki,List([28, 41)))	He was the creator of Lameco Eskrima and trained such notables as: Dan Inosanto, Ron Balicki, Larry Hartsell, Fred Degerberg and Diana Lee Inosanto.[citation
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(trained such notables as,List([3, 10), [11, 24), [25, 27)))	SimpleArgument(: Dan Inosanto,List([28, 42)))	He was the creator of Lameco Eskrima and trained such notables as: Dan Inosanto, Ron Balicki, Larry Hartsell, Fred Degerberg and Diana Lee Inosanto.[citation
0.45170382506656653		SimpleArgument(He,List([0, 2)))	Relation(trained,List([3, 10)))	SimpleArgument(such notables,List([11, 24)))	He was the creator of Lameco Eskrima and trained such notables as: Dan Inosanto, Ron Balicki, Larry Hartsell, Fred Degerberg and Diana Lee Inosanto.[citation
