0.9340463819568752		SimpleArgument(Victor Thorn,List([0, 12)))	Relation(was,List([51, 54)))	SimpleArgument(a Luxembourgian politician,List([55, 81)))	Victor Thorn (31 January 1844 – 15 September 1930) was a Luxembourgian politician.
0.3536345617184334		SimpleArgument(He,List([0, 2)))	Relation(serving from,List([46, 53), [68, 72)))	TemporalArgument(24 February 1916 until 19 June 1917,List([73, 108)))	He was the 11th Prime Minister of Luxembourg, serving for one year, from 24 February 1916 until 19 June 1917.
0.41051436014453063		SimpleArgument(He,List([0, 2)))	Relation(serving for,List([46, 53), [54, 57)))	TemporalArgument(one year,List([58, 66)))	He was the 11th Prime Minister of Luxembourg, serving for one year, from 24 February 1916 until 19 June 1917.
0.5699038993321599		SimpleArgument(He,List([0, 2)))	Relation(was the 11th Prime Minister of Luxembourg,List([3, 6), [7, 44)))	SimpleArgument(serving for one year, from 24 February 1916 until 19 June 1917,List([46, 108)))	He was the 11th Prime Minister of Luxembourg, serving for one year, from 24 February 1916 until 19 June 1917.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(the 11th Prime Minister of Luxembourg,List([7, 44)))	He was the 11th Prime Minister of Luxembourg, serving for one year, from 24 February 1916 until 19 June 1917.
0.38089450366724514		SimpleArgument(he,List([18, 20)))	Relation(was a member of,List([21, 36)))	SimpleArgument(the Council,List([37, 48)))	From 1885 to 1888 he was a member of the Council of State.
0.29886655727758943		SimpleArgument(he,List([18, 20)))	Relation(was a member of the Council of State From,List([0, 4), [21, 51), [52, 57)))	TemporalArgument(1885,List([5, 9)))	From 1885 to 1888 he was a member of the Council of State.
0.5680679595514976		SimpleArgument(he,List([18, 20)))	Relation(was,List([21, 24)))	SimpleArgument(a member of the Council of State,List([25, 57)))	From 1885 to 1888 he was a member of the Council of State.
0.29886655727758943		SimpleArgument(he,List([18, 20)))	Relation(was Director - General From,List([0, 4), [21, 34), [34, 41)))	TemporalArgument(1888,List([5, 9)))	From 1888 to 1892 he was Director-General (Minister) for Public Works in the Eyschen Ministry.
0.5680679595514976		SimpleArgument(he,List([18, 20)))	Relation(was,List([21, 24)))	SimpleArgument(Director-General,List([25, 41)))	From 1888 to 1892 he was Director-General (Minister) for Public Works in the Eyschen Ministry.
0.29886655727758943		SimpleArgument(he,List([8, 10)))	Relation(became a Procureur général In,List([0, 2), [11, 29), [30, 37)))	TemporalArgument(1899,List([3, 7)))	In 1899 he became a Procureur général.
0.4978219019954182		SimpleArgument(he,List([8, 10)))	Relation(became,List([11, 17)))	SimpleArgument(a Procureur général,List([18, 37)))	In 1899 he became a Procureur général.
0.38089450366724514		SimpleArgument(he,List([8, 10)))	Relation(was Minister for,List([11, 27)))	SimpleArgument(Public Works,List([28, 40)))	In 1915 he was Minister for Justice and Public Works in the Mongenast Ministry.
0.36123317708488234		SimpleArgument(he,List([8, 10)))	Relation(was Minister for Public Works in the Mongenast Ministry In,List([0, 2), [11, 57), [58, 66)))	TemporalArgument(1915,List([3, 7)))	In 1915 he was Minister for Justice and Public Works in the Mongenast Ministry.
0.5680679595514976		SimpleArgument(he,List([8, 10)))	Relation(was,List([11, 14)))	SimpleArgument(Minister for Public Works in the Mongenast Ministry,List([15, 66)))	In 1915 he was Minister for Justice and Public Works in the Mongenast Ministry.
0.38089450366724514		SimpleArgument(he,List([8, 10)))	Relation(was Minister for,List([11, 27)))	SimpleArgument(Justice,List([28, 35)))	In 1915 he was Minister for Justice and Public Works in the Mongenast Ministry.
0.29886655727758943		SimpleArgument(he,List([8, 10)))	Relation(was Minister for Justice In,List([0, 2), [11, 27), [28, 35)))	TemporalArgument(1915,List([3, 7)))	In 1915 he was Minister for Justice and Public Works in the Mongenast Ministry.
0.5680679595514976		SimpleArgument(he,List([8, 10)))	Relation(was,List([11, 14)))	SimpleArgument(Minister for Justice,List([15, 35)))	In 1915 he was Minister for Justice and Public Works in the Mongenast Ministry.
0.9929999709129333		SimpleArgument(the Loutsch Ministry which had succeeded the Mongenast government,List([0, 0)))	Relation(was forced In,List([0, 0)))	SimpleArgument(1916,List(null))	In 1916 the Loutsch Ministry, which had succeeded the Mongenast government, was forced to resign, having lost a confidence vote in the Chamber of Deputies.
0.9339862216393666		SimpleArgument(the Loutsch Ministry,List([8, 28)))	Relation(having lost,List([98, 109)))	SimpleArgument(a confidence vote in the Chamber of Deputies,List([110, 154)))	In 1916 the Loutsch Ministry, which had succeeded the Mongenast government, was forced to resign, having lost a confidence vote in the Chamber of Deputies.
0.7755203445549392		SimpleArgument(the Loutsch Ministry,List([8, 28)))	Relation(to resign,List([87, 96)))		In 1916 the Loutsch Ministry, which had succeeded the Mongenast government, was forced to resign, having lost a confidence vote in the Chamber of Deputies.
0.8780037064600699		SimpleArgument(the Loutsch Ministry,List([8, 28)))	Relation(was forced to resign In,List([0, 79), [80, 89), [90, 96)))	TemporalArgument(1916,List([3, 7)))	In 1916 the Loutsch Ministry, which had succeeded the Mongenast government, was forced to resign, having lost a confidence vote in the Chamber of Deputies.
0.8056360478309452		SimpleArgument(the Loutsch Ministry,List([8, 28)))	Relation(was forced to,List([76, 86), [87, 89)))	SimpleArgument(resign,List([90, 96)))	In 1916 the Loutsch Ministry, which had succeeded the Mongenast government, was forced to resign, having lost a confidence vote in the Chamber of Deputies.
