0.39967452567979506		SimpleArgument(it,List([31, 33)))	Relation(deserves the Royal treatment,List([34, 42), [43, 62)))	TemporalArgument(When your home is your castle,List([0, 29)))	When your home is your castle, it deserves the Royal treatment.
0.4978219019954182		SimpleArgument(it,List([31, 33)))	Relation(deserves,List([34, 42)))	SimpleArgument(the Royal treatment,List([43, 62)))	When your home is your castle, it deserves the Royal treatment.
0.5594193142037156		SimpleArgument(your home,List([5, 14)))	Relation(is,List([15, 17)))	SimpleArgument(your castle,List([18, 29)))	When your home is your castle, it deserves the Royal treatment.
0.9538836086596233	Context(it also produces,List([99, 115)))	SimpleArgument(Royal Group,List([0, 11)))	Relation(is,List([12, 14)))	SimpleArgument(a leading North American maker of vinyl home improvement products such as decking,List([15, 96)))	Royal Group is a leading North American maker of PVC and vinyl building and home improvement products such as window profiles, fencing and decking; it also produces vinyl siding.
0.9538836086596233	Context(it also produces,List([99, 115)))	SimpleArgument(Royal Group,List([0, 11)))	Relation(is,List([12, 14)))	SimpleArgument(a leading North American maker of vinyl home improvement products such as fencing,List([15, 96)))	Royal Group is a leading North American maker of PVC and vinyl building and home improvement products such as window profiles, fencing and decking; it also produces vinyl siding.
0.9538836086596233	Context(it also produces,List([107, 123)))	SimpleArgument(Royal Group,List([0, 11)))	Relation(is,List([12, 14)))	SimpleArgument(a leading North American maker of vinyl home improvement products such as window profiles,List([15, 104)))	Royal Group is a leading North American maker of PVC and vinyl building and home improvement products such as window profiles, fencing and decking; it also produces vinyl siding.
0.9538836086596233	Context(it also produces,List([91, 107)))	SimpleArgument(Royal Group,List([0, 11)))	Relation(is,List([12, 14)))	SimpleArgument(a leading North American maker of vinyl building products such as decking,List([15, 88)))	Royal Group is a leading North American maker of PVC and vinyl building and home improvement products such as window profiles, fencing and decking; it also produces vinyl siding.
0.9538836086596233	Context(it also produces,List([91, 107)))	SimpleArgument(Royal Group,List([0, 11)))	Relation(is,List([12, 14)))	SimpleArgument(a leading North American maker of vinyl building products such as fencing,List([15, 88)))	Royal Group is a leading North American maker of PVC and vinyl building and home improvement products such as window profiles, fencing and decking; it also produces vinyl siding.
0.9538836086596233	Context(it also produces,List([99, 115)))	SimpleArgument(Royal Group,List([0, 11)))	Relation(is,List([12, 14)))	SimpleArgument(a leading North American maker of vinyl building products such as window profiles,List([15, 96)))	Royal Group is a leading North American maker of PVC and vinyl building and home improvement products such as window profiles, fencing and decking; it also produces vinyl siding.
0.9394678087765849	Context(it also produces,List([55, 71)))	SimpleArgument(Royal Group,List([0, 11)))	Relation(is,List([12, 14)))	SimpleArgument(a leading North American maker of PVC,List([15, 52)))	Royal Group is a leading North American maker of PVC and vinyl building and home improvement products such as window profiles, fencing and decking; it also produces vinyl siding.
0.3880890333449538		SimpleArgument(it,List([55, 57)))	Relation(also produces,List([58, 71)))	SimpleArgument(vinyl siding,List([72, 84)))	Royal Group is a leading North American maker of PVC and vinyl building and home improvement products such as window profiles, fencing and decking; it also produces vinyl siding.
0.7436194727230705		SimpleArgument(Its Royal Mouldings division,List([0, 28)))	Relation(makes,List([29, 34)))	SimpleArgument(decorative millwork,List([35, 54)))	Its Royal Mouldings division makes decorative moldings and millwork.
0.7436194727230705		SimpleArgument(Its Royal Mouldings division,List([0, 28)))	Relation(makes,List([29, 34)))	SimpleArgument(decorative moldings,List([35, 54)))	Its Royal Mouldings division makes decorative moldings and millwork.
0.9329286852051247		SimpleArgument(Royal Pipe Systems,List([0, 18)))	Relation(makes,List([19, 24)))	SimpleArgument(plastic fittings,List([25, 41)))	Royal Pipe Systems makes plastic pipe and fittings for municipal, plumbing, and electrical construction uses.
0.9329286852051247		SimpleArgument(Royal Pipe Systems,List([0, 18)))	Relation(makes,List([19, 24)))	SimpleArgument(plastic pipe,List([25, 37)))	Royal Pipe Systems makes plastic pipe and fittings for municipal, plumbing, and electrical construction uses.
0.9180804252893389		SimpleArgument(Other divisions,List([0, 15)))	Relation(include,List([16, 23)))	SimpleArgument(Royal Window Royal Building Products,List([24, 60)))	Other divisions include Royal Window & Door Profiles and Royal Building Products.
0.9180804252893389		SimpleArgument(Other divisions,List([0, 15)))	Relation(include,List([16, 23)))	SimpleArgument(Royal Window Door Profiles,List([24, 50)))	Other divisions include Royal Window & Door Profiles and Royal Building Products.
0.9180804252893389		SimpleArgument(Other divisions,List([0, 15)))	Relation(include,List([16, 23)))	SimpleArgument(Royal Window,List([24, 36)))	Other divisions include Royal Window & Door Profiles and Royal Building Products.
0.8847999636040884		SimpleArgument(Royal,List([0, 5)))	Relation(is a subsidiary of,List([6, 24)))	SimpleArgument(chemicals maker Axiall Corporation,List([25, 59)))	Royal is a subsidiary of plastics and chemicals maker Axiall Corporation (formerly Georgla Gulf Corporation).
0.9481947648689547		SimpleArgument(Royal,List([0, 5)))	Relation(is,List([6, 8)))	SimpleArgument(a subsidiary of chemicals maker Axiall Corporation,List([9, 59)))	Royal is a subsidiary of plastics and chemicals maker Axiall Corporation (formerly Georgla Gulf Corporation).
0.8847999636040884		SimpleArgument(Royal,List([0, 5)))	Relation(is a subsidiary of,List([6, 24)))	SimpleArgument(plastics maker Axiall Corporation,List([25, 58)))	Royal is a subsidiary of plastics and chemicals maker Axiall Corporation (formerly Georgla Gulf Corporation).
0.9481947648689547		SimpleArgument(Royal,List([0, 5)))	Relation(is,List([6, 8)))	SimpleArgument(a subsidiary of plastics maker Axiall Corporation,List([9, 58)))	Royal is a subsidiary of plastics and chemicals maker Axiall Corporation (formerly Georgla Gulf Corporation).
