0.3853208301752743		SimpleArgument(Ericsson,List([127, 135)))	Relation([is] telecommunications company [from],List([100, 126)))	SimpleArgument(Sweden,List([92, 99)))	Telcordia Technologies, Inc., doing business as iconectiv, is an American subsidiary of the Swedish telecommunications company Ericsson.
0.926856165049625		SimpleArgument(doing business as iconectiv,List([30, 57)))	Relation(is,List([59, 61)))	SimpleArgument(an American subsidiary of the Swedish telecommunications company,List([62, 126)))	Telcordia Technologies, Inc., doing business as iconectiv, is an American subsidiary of the Swedish telecommunications company Ericsson.
0.8776011732811596	Context(routing call,List([66, 80)))	SimpleArgument(The company,List([0, 11)))	Relation(provides,List([12, 20)))	SimpleArgument(clearinghouse solutions for numbering plan,List([21, 63)))	The company provides interconnection technology and clearinghouse solutions for numbering plan, routing, call billing, and technical standards coordination between competing telecommunications carriers.
0.8462158232527862		SimpleArgument(routing,List([66, 73)))	Relation(call technical standards,List([76, 80), [81, 100)))	SimpleArgument(coordination between competing telecommunications carriers,List([101, 159)))	The company provides interconnection technology and clearinghouse solutions for numbering plan, routing, call billing, and technical standards coordination between competing telecommunications carriers.
0.8795217983306647		SimpleArgument(routing,List([66, 73)))	Relation(call,List([76, 80)))	SimpleArgument(technical standards,List([81, 100)))	The company provides interconnection technology and clearinghouse solutions for numbering plan, routing, call billing, and technical standards coordination between competing telecommunications carriers.
0.9030401971054747		SimpleArgument(The company,List([0, 11)))	Relation(provides,List([12, 20)))	SimpleArgument(clearinghouse solutions for numbering plan , routing,List([21, 73)))	The company provides interconnection technology and clearinghouse solutions for numbering plan, routing, call billing, and technical standards coordination between competing telecommunications carriers.
0.8296098119085875	Context(The company provides,List([0, 20)))	SimpleArgument(The company,List([0, 11)))	Relation(provides call,List([12, 20), [60, 64)))	SimpleArgument(technical standards coordination between competing telecommunications carriers,List([65, 143)))	The company provides interconnection technology and clearinghouse solutions for numbering plan, routing, call billing, and technical standards coordination between competing telecommunications carriers.
0.9228356673204889		SimpleArgument(The company,List([0, 11)))	Relation(provides,List([12, 20)))	SimpleArgument(interconnection technology , routing , call technical standards coordination between competing telecommunications carriers,List([21, 143)))	The company provides interconnection technology and clearinghouse solutions for numbering plan, routing, call billing, and technical standards coordination between competing telecommunications carriers.
0.8296098119085875	Context(The company provides,List([0, 20)))	SimpleArgument(The company,List([0, 11)))	Relation(provides call,List([12, 20), [60, 64)))	SimpleArgument(billing,List([65, 72)))	The company provides interconnection technology and clearinghouse solutions for numbering plan, routing, call billing, and technical standards coordination between competing telecommunications carriers.
0.8817598924294554		SimpleArgument(The company,List([0, 11)))	Relation(provides,List([12, 20)))	SimpleArgument(interconnection technology , routing , call billing,List([21, 72)))	The company provides interconnection technology and clearinghouse solutions for numbering plan, routing, call billing, and technical standards coordination between competing telecommunications carriers.
0.9436221120476838		SimpleArgument(Telcordia's headquarters,List([0, 24)))	Relation(are located in,List([25, 36), [37, 39)))	SpatialArgument(Bridgewater,List([40, 51)))	Telcordia's headquarters are located in Bridgewater, New Jersey (U.S).
0.9180804252893389		SimpleArgument(The company,List([0, 11)))	Relation(maintains,List([12, 21)))	SimpleArgument(several Asia,List([22, 34)))	The company maintains several branches and subsidiaries in the Americas, Europe, and Asia.
0.9180804252893389		SimpleArgument(The company,List([0, 11)))	Relation(maintains,List([12, 21)))	SimpleArgument(several Europe,List([22, 36)))	The company maintains several branches and subsidiaries in the Americas, Europe, and Asia.
0.9030401971054747		SimpleArgument(The company,List([0, 11)))	Relation(maintains,List([12, 21)))	SimpleArgument(several subsidiaries,List([22, 42)))	The company maintains several branches and subsidiaries in the Americas, Europe, and Asia.
0.9030401971054747		SimpleArgument(The company,List([0, 11)))	Relation(maintains,List([12, 21)))	SimpleArgument(several branches,List([22, 38)))	The company maintains several branches and subsidiaries in the Americas, Europe, and Asia.
