0.9105129651916236		SimpleArgument(state,List([26, 31)))	Relation(owned,List([32, 37)))	SimpleArgument(petroleum company of Qatar,List([38, 64)))	Qatar Petroleum (QP) is a state owned petroleum company of Qatar.
0.9445721975409912		SimpleArgument(Qatar Petroleum,List([0, 15)))	Relation(is,List([21, 23)))	SimpleArgument(a state owned petroleum company of Qatar,List([24, 64)))	Qatar Petroleum (QP) is a state owned petroleum company of Qatar.
0.9180804252893389		SimpleArgument(The company,List([0, 11)))	Relation(operates,List([12, 20)))	SimpleArgument(all gas activities in Qatar , including storage,List([21, 68)))	The company operates all oil and gas activities in Qatar, including exploration, production, refining, transport, and storage.
0.9180804252893389		SimpleArgument(The company,List([0, 11)))	Relation(operates,List([12, 20)))	SimpleArgument(all gas activities in Qatar , including transport,List([21, 70)))	The company operates all oil and gas activities in Qatar, including exploration, production, refining, transport, and storage.
0.9180804252893389		SimpleArgument(The company,List([0, 11)))	Relation(operates,List([12, 20)))	SimpleArgument(all gas activities in Qatar , including refining,List([21, 69)))	The company operates all oil and gas activities in Qatar, including exploration, production, refining, transport, and storage.
0.9180804252893389		SimpleArgument(The company,List([0, 11)))	Relation(operates,List([12, 20)))	SimpleArgument(all gas activities in Qatar , including production,List([21, 71)))	The company operates all oil and gas activities in Qatar, including exploration, production, refining, transport, and storage.
0.9180804252893389		SimpleArgument(The company,List([0, 11)))	Relation(operates,List([12, 20)))	SimpleArgument(all gas activities in Qatar , including exploration,List([21, 72)))	The company operates all oil and gas activities in Qatar, including exploration, production, refining, transport, and storage.
0.9180804252893389		SimpleArgument(The company,List([0, 11)))	Relation(operates,List([12, 20)))	SimpleArgument(all oil activities in Qatar , including storage,List([21, 68)))	The company operates all oil and gas activities in Qatar, including exploration, production, refining, transport, and storage.
0.9180804252893389		SimpleArgument(The company,List([0, 11)))	Relation(operates,List([12, 20)))	SimpleArgument(all oil activities in Qatar , including transport,List([21, 70)))	The company operates all oil and gas activities in Qatar, including exploration, production, refining, transport, and storage.
0.9180804252893389		SimpleArgument(The company,List([0, 11)))	Relation(operates,List([12, 20)))	SimpleArgument(all oil activities in Qatar , including refining,List([21, 69)))	The company operates all oil and gas activities in Qatar, including exploration, production, refining, transport, and storage.
0.9180804252893389		SimpleArgument(The company,List([0, 11)))	Relation(operates,List([12, 20)))	SimpleArgument(all oil activities in Qatar , including production,List([21, 71)))	The company operates all oil and gas activities in Qatar, including exploration, production, refining, transport, and storage.
0.9180804252893389		SimpleArgument(The company,List([0, 11)))	Relation(operates,List([12, 20)))	SimpleArgument(all oil activities in Qatar , including exploration,List([21, 72)))	The company operates all oil and gas activities in Qatar, including exploration, production, refining, transport, and storage.
0.38089450366724514		SimpleArgument(Mohammed Bin Saleh Al - Sada,List([18, 46)))	Relation([is] Minister of,List([49, 60)))	SimpleArgument(Industry,List([61, 69)))	QP's chairman is Mohammed Bin Saleh Al-Sada, Minister of Energy and Industry, and the chief executive officer is Saad Sherida Al Kaabi.
0.8847999636040884		SimpleArgument(Mohammed Bin Saleh Al - Sada,List([18, 46)))	Relation(is chairman [of],List([6, 14)))	SimpleArgument(QP,List([0, 2)))	QP's chairman is Mohammed Bin Saleh Al-Sada, Minister of Energy and Industry, and the chief executive officer is Saad Sherida Al Kaabi.
0.38089450366724514		SimpleArgument(Mohammed Bin Saleh Al - Sada,List([18, 46)))	Relation([is] Minister of,List([49, 60)))	SimpleArgument(Energy,List([61, 67)))	QP's chairman is Mohammed Bin Saleh Al-Sada, Minister of Energy and Industry, and the chief executive officer is Saad Sherida Al Kaabi.
0.9569065201547587		SimpleArgument(QP 's chairman,List([0, 14)))	Relation(is,List([15, 17)))	SimpleArgument(Mohammed Bin Saleh Al - Sada,List([18, 46)))	QP's chairman is Mohammed Bin Saleh Al-Sada, Minister of Energy and Industry, and the chief executive officer is Saad Sherida Al Kaabi.
0.9474743154665046		SimpleArgument(the chief executive officer,List([0, 27)))	Relation(is,List([28, 30)))	SimpleArgument(Saad Sherida Al Kaabi,List([31, 52)))	QP's chairman is Mohammed Bin Saleh Al-Sada, Minister of Energy and Industry, and the chief executive officer is Saad Sherida Al Kaabi.
0.8034186648553394		SimpleArgument(QP 's operations,List([0, 16)))	Relation(are directly linked,List([17, 36)))		QP's operations are directly linked with state planning agencies, regulatory authorities, and policymaking bodies.
