0.9527410621066101		SimpleArgument(Denis Nayden,List([0, 12)))	Relation(is,List([13, 15)))	SimpleArgument(an Advisory Managing Partner of Oak Hill Capital Partners,List([16, 73)))	Denis Nayden is an Advisory Managing Partner of Oak Hill Capital Partners.
0.9646015817911849		SimpleArgument(Denis,List([36, 41)))	Relation(was Chief Executive Officer of GE Capital,List([42, 45), [46, 83)))	TemporalArgument(Prior to joining Oak Hill in 2003,List([0, 33)))	Prior to joining Oak Hill in 2003, Denis was Chairman and Chief Executive Officer of GE Capital, where he was responsible for 20 separate businesses representing $555 billion of aggregate assets and 90,000 employees in 35 countries.
0.9481947648689547		SimpleArgument(Denis,List([36, 41)))	Relation(was,List([42, 45)))	SimpleArgument(Chief Executive Officer of GE Capital,List([46, 83)))	Prior to joining Oak Hill in 2003, Denis was Chairman and Chief Executive Officer of GE Capital, where he was responsible for 20 separate businesses representing $555 billion of aggregate assets and 90,000 employees in 35 countries.
0.9111779447320654		SimpleArgument(20 separate businesses,List([100, 122)))	Relation(representing,List([123, 135)))	SimpleArgument($ 555 billion of 90,000 employees in 35 countries,List([136, 185)))	Prior to joining Oak Hill in 2003, Denis was Chairman and Chief Executive Officer of GE Capital, where he was responsible for 20 separate businesses representing $555 billion of aggregate assets and 90,000 employees in 35 countries.
0.38089450366724514		SimpleArgument(Denis,List([36, 41)))	Relation(was Chairman of,List([42, 57)))	SimpleArgument(GE Capital,List([58, 68)))	Prior to joining Oak Hill in 2003, Denis was Chairman and Chief Executive Officer of GE Capital, where he was responsible for 20 separate businesses representing $555 billion of aggregate assets and 90,000 employees in 35 countries.
0.9111779447320654		SimpleArgument(20 separate businesses,List([100, 122)))	Relation(representing,List([123, 135)))	SimpleArgument($ 555 billion of aggregate assets,List([136, 169)))	Prior to joining Oak Hill in 2003, Denis was Chairman and Chief Executive Officer of GE Capital, where he was responsible for 20 separate businesses representing $555 billion of aggregate assets and 90,000 employees in 35 countries.
0.5961061943937731		SimpleArgument(he,List([77, 79)))	Relation(was responsible for 20 separate businesses,List([80, 83), [84, 122)))	SpatialArgument(GE Capital,List([58, 68)))	Prior to joining Oak Hill in 2003, Denis was Chairman and Chief Executive Officer of GE Capital, where he was responsible for 20 separate businesses representing $555 billion of aggregate assets and 90,000 employees in 35 countries.
0.5222094630377523		SimpleArgument(he,List([77, 79)))	Relation(was,List([80, 83)))	SimpleArgument(responsible for 20 separate businesses,List([84, 122)))	Prior to joining Oak Hill in 2003, Denis was Chairman and Chief Executive Officer of GE Capital, where he was responsible for 20 separate businesses representing $555 billion of aggregate assets and 90,000 employees in 35 countries.
0.9535742383652521		SimpleArgument(Denis,List([36, 41)))	Relation(was Chairman of GE Capital,List([42, 45), [46, 68)))	TemporalArgument(Prior to joining Oak Hill in 2003,List([0, 33)))	Prior to joining Oak Hill in 2003, Denis was Chairman and Chief Executive Officer of GE Capital, where he was responsible for 20 separate businesses representing $555 billion of aggregate assets and 90,000 employees in 35 countries.
0.9481947648689547		SimpleArgument(Denis,List([36, 41)))	Relation(was,List([42, 45)))	SimpleArgument(Chairman of GE Capital,List([46, 68)))	Prior to joining Oak Hill in 2003, Denis was Chairman and Chief Executive Officer of GE Capital, where he was responsible for 20 separate businesses representing $555 billion of aggregate assets and 90,000 employees in 35 countries.
0.9000738595917936		SimpleArgument(Denis,List([0, 5)))	Relation(held various business unit leadership roles at,List([6, 10), [11, 49), [71, 73)))	SpatialArgument(GE Capital,List([74, 84)))	Denis held various credit, portfolio management, and business unit leadership roles over nearly 26 years at GE Capital.
0.9197759696552441		SimpleArgument(Denis,List([0, 5)))	Relation(held various business unit leadership roles over,List([6, 10), [11, 49), [50, 54)))	TemporalArgument(nearly 26 years,List([55, 70)))	Denis held various credit, portfolio management, and business unit leadership roles over nearly 26 years at GE Capital.
0.9383119524695255		SimpleArgument(Denis,List([0, 5)))	Relation(held,List([6, 10)))	SimpleArgument(various business unit leadership roles,List([11, 49)))	Denis held various credit, portfolio management, and business unit leadership roles over nearly 26 years at GE Capital.
0.9000738595917936		SimpleArgument(Denis,List([0, 5)))	Relation(held various portfolio management leadership roles at,List([6, 10), [11, 56), [78, 80)))	SpatialArgument(GE Capital,List([81, 91)))	Denis held various credit, portfolio management, and business unit leadership roles over nearly 26 years at GE Capital.
0.9197759696552441		SimpleArgument(Denis,List([0, 5)))	Relation(held various portfolio management leadership roles over,List([6, 10), [11, 56), [57, 61)))	TemporalArgument(nearly 26 years,List([62, 77)))	Denis held various credit, portfolio management, and business unit leadership roles over nearly 26 years at GE Capital.
0.9383119524695255		SimpleArgument(Denis,List([0, 5)))	Relation(held,List([6, 10)))	SimpleArgument(various portfolio management leadership roles,List([11, 56)))	Denis held various credit, portfolio management, and business unit leadership roles over nearly 26 years at GE Capital.
0.9000738595917936		SimpleArgument(Denis,List([0, 5)))	Relation(held various credit leadership roles at,List([6, 10), [11, 42), [64, 66)))	SpatialArgument(GE Capital,List([67, 77)))	Denis held various credit, portfolio management, and business unit leadership roles over nearly 26 years at GE Capital.
0.9197759696552441		SimpleArgument(Denis,List([0, 5)))	Relation(held various credit leadership roles over,List([6, 10), [11, 42), [43, 47)))	TemporalArgument(nearly 26 years,List([48, 63)))	Denis held various credit, portfolio management, and business unit leadership roles over nearly 26 years at GE Capital.
0.9383119524695255		SimpleArgument(Denis,List([0, 5)))	Relation(held,List([6, 10)))	SimpleArgument(various credit leadership roles,List([11, 42)))	Denis held various credit, portfolio management, and business unit leadership roles over nearly 26 years at GE Capital.
0.5961061943937731		SimpleArgument(he,List([120, 122)))	Relation(serves on the Board of Trustees,List([123, 129), [130, 154)))	SpatialArgument(Connecticut,List([101, 112)))	He earned a B.A. degree in English, magna cum laude, and an M.B.A. in Finance from the University of Connecticut, where he serves on the Board of Trustees.
0.4978219019954182		SimpleArgument(he,List([120, 122)))	Relation(serves on,List([123, 129), [130, 132)))	SimpleArgument(the Board of Trustees,List([133, 154)))	He earned a B.A. degree in English, magna cum laude, and an M.B.A. in Finance from the University of Connecticut, where he serves on the Board of Trustees.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(earned a B.A. degree in,List([3, 9), [10, 23), [24, 26)))	TemporalArgument(English,List([27, 34)))	He earned a B.A. degree in English, magna cum laude, and an M.B.A. in Finance from the University of Connecticut, where he serves on the Board of Trustees.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(earned,List([3, 9)))	SimpleArgument(a B.A. degree,List([10, 23)))	He earned a B.A. degree in English, magna cum laude, and an M.B.A. in Finance from the University of Connecticut, where he serves on the Board of Trustees.
