0.38089450366724514		SimpleArgument(Supply Co.,List([18, 28)))	Relation([is] Power [of],List([12, 17)))	SimpleArgument(Hongbao,List([4, 11)))	LTD(Hongbao Power Supply Co., Ltd.
0.9111779447320654		SimpleArgument(The leading products,List([0, 20)))	Relation(are over,List([21, 24), [25, 29)))	SimpleArgument(3000 varieties,List([30, 44)))	The leading products are voltage stabilizer, EPS, UPS, storage battery, VFD(frequency converter/AC motor drive), soft starter, charger, transformer, circuit breaker, architectural electrical equipment and so on more than 50 series and over 3000 varieties.
0.7833813375237394		SimpleArgument(The leading products,List([0, 20)))	Relation(are,List([21, 24)))	SimpleArgument(so,List([25, 27)))	The leading products are voltage stabilizer, EPS, UPS, storage battery, VFD(frequency converter/AC motor drive), soft starter, charger, transformer, circuit breaker, architectural electrical equipment and so on more than 50 series and over 3000 varieties.
0.9111779447320654		SimpleArgument(The leading products,List([0, 20)))	Relation(are,List([21, 24)))	SimpleArgument(architectural electrical equipment,List([25, 59)))	The leading products are voltage stabilizer, EPS, UPS, storage battery, VFD(frequency converter/AC motor drive), soft starter, charger, transformer, circuit breaker, architectural electrical equipment and so on more than 50 series and over 3000 varieties.
0.9111779447320654		SimpleArgument(The leading products,List([0, 20)))	Relation(are,List([21, 24)))	SimpleArgument(voltage stabilizer circuit breaker,List([25, 59)))	The leading products are voltage stabilizer, EPS, UPS, storage battery, VFD(frequency converter/AC motor drive), soft starter, charger, transformer, circuit breaker, architectural electrical equipment and so on more than 50 series and over 3000 varieties.
0.9111779447320654		SimpleArgument(The leading products,List([0, 20)))	Relation(are,List([21, 24)))	SimpleArgument(voltage transformer,List([25, 44)))	The leading products are voltage stabilizer, EPS, UPS, storage battery, VFD(frequency converter/AC motor drive), soft starter, charger, transformer, circuit breaker, architectural electrical equipment and so on more than 50 series and over 3000 varieties.
0.9111779447320654		SimpleArgument(The leading products,List([0, 20)))	Relation(are,List([21, 24)))	SimpleArgument(voltage charger,List([25, 40)))	The leading products are voltage stabilizer, EPS, UPS, storage battery, VFD(frequency converter/AC motor drive), soft starter, charger, transformer, circuit breaker, architectural electrical equipment and so on more than 50 series and over 3000 varieties.
0.8952909617610209		SimpleArgument(The leading products,List([0, 20)))	Relation(are,List([21, 24)))	SimpleArgument(soft starter,List([27, 39)))	The leading products are voltage stabilizer, EPS, UPS, storage battery, VFD(frequency converter/AC motor drive), soft starter, charger, transformer, circuit breaker, architectural electrical equipment and so on more than 50 series and over 3000 varieties.
0.9250606141558615		SimpleArgument(The leading products,List([0, 20)))	Relation(are,List([21, 24)))	SimpleArgument(VFD,List([25, 28)))	The leading products are voltage stabilizer, EPS, UPS, storage battery, VFD(frequency converter/AC motor drive), soft starter, charger, transformer, circuit breaker, architectural electrical equipment and so on more than 50 series and over 3000 varieties.
0.9111779447320654		SimpleArgument(The leading products,List([0, 20)))	Relation(are,List([21, 24)))	SimpleArgument(voltage storage battery,List([25, 48)))	The leading products are voltage stabilizer, EPS, UPS, storage battery, VFD(frequency converter/AC motor drive), soft starter, charger, transformer, circuit breaker, architectural electrical equipment and so on more than 50 series and over 3000 varieties.
0.9111779447320654		SimpleArgument(The leading products,List([0, 20)))	Relation(are,List([21, 24)))	SimpleArgument(voltage stabilizer,List([25, 43)))	The leading products are voltage stabilizer, EPS, UPS, storage battery, VFD(frequency converter/AC motor drive), soft starter, charger, transformer, circuit breaker, architectural electrical equipment and so on more than 50 series and over 3000 varieties.
0.3853208301752743		SimpleArgument(Yueqing Seven,List([75, 88)))	Relation([is] subsidiary company [of],List([56, 74)))	SimpleArgument(ours,List([52, 55)))	We are also engaged in the green energy products by our subsidiary company Yueqing Seven Stars IMP.
0.30899953469486874		SimpleArgument(We,List([0, 2)))	Relation(are also engaged in the green energy products by,List([3, 19), [20, 48), [49, 51)))	SimpleArgument(our subsidiary company,List([52, 74)))	We are also engaged in the green energy products by our subsidiary company Yueqing Seven Stars IMP.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(are also engaged in,List([3, 19), [20, 22)))	SimpleArgument(the green energy products,List([23, 48)))	We are also engaged in the green energy products by our subsidiary company Yueqing Seven Stars IMP.
