0.8306090960787457		SimpleArgument(Mr. Stuart Powell,List([0, 17)))	Relation(began his lifelong career in the automobile business in,List([18, 23), [24, 70), [71, 73)))	TemporalArgument(1949,List([74, 78)))	Mr. Stuart Powell began his lifelong career in the automobile business in 1949 in Perryville KY.
0.883042269491254		SimpleArgument(Mr. Stuart Powell,List([0, 17)))	Relation(began,List([18, 23)))	SimpleArgument(his lifelong career in the automobile business,List([24, 70)))	Mr. Stuart Powell began his lifelong career in the automobile business in 1949 in Perryville KY.
0.1273814832686296	Context(He began,List([0, 8)))	SimpleArgument(He,List([0, 2)))	Relation(began with Ford operating in,List([3, 8), [9, 13), [14, 18)))	TemporalArgument(1960,List([71, 75)))	He began with Ford while operating at Powell Motors in Lancaster KY in 1960.
0.332563478582812	Context(He began,List([0, 8)))	SimpleArgument(He,List([0, 2)))	Relation(began with Ford operating in,List([3, 8), [9, 13), [14, 18)))	SpatialArgument(Lancaster KY,List([55, 67)))	He began with Ford while operating at Powell Motors in Lancaster KY in 1960.
0.4328394458044063		SimpleArgument(He,List([0, 2)))	Relation(began with Ford while,List([3, 8), [9, 18), [19, 24)))	TemporalArgument(operating at Powell Motors in Lancaster KY in 1960,List([25, 75)))	He began with Ford while operating at Powell Motors in Lancaster KY in 1960.
0.4328394458044063		SimpleArgument(He,List([0, 2)))	Relation(began with,List([3, 8), [9, 13)))	SimpleArgument(Ford,List([14, 18)))	He began with Ford while operating at Powell Motors in Lancaster KY in 1960.
0.5759228702523534		SimpleArgument(Mr.,List([0, 3)))	Relation(added Mazda in,List([4, 9), [10, 15), [40, 42)))	TemporalArgument(1991,List([43, 47)))	Mr. Powell moved the dealership to Danville KY in 1982, and added Mazda to the line of products in 1991.
0.8550806581371961		SimpleArgument(Mr.,List([0, 3)))	Relation(added Mazda to,List([4, 9), [10, 15), [16, 18)))	SimpleArgument(the line of products,List([19, 39)))	Mr. Powell moved the dealership to Danville KY in 1982, and added Mazda to the line of products in 1991.
0.876543225140763		SimpleArgument(Mr.,List([0, 3)))	Relation(added,List([4, 9)))	SimpleArgument(Mazda,List([10, 15)))	Mr. Powell moved the dealership to Danville KY in 1982, and added Mazda to the line of products in 1991.
0.7440220930148851		SimpleArgument(Mr. Powell,List([0, 10)))	Relation(moved the dealership in,List([11, 16), [17, 31), [47, 49)))	TemporalArgument(1982,List([50, 54)))	Mr. Powell moved the dealership to Danville KY in 1982, and added Mazda to the line of products in 1991.
0.9382554258342916		SimpleArgument(Mr. Powell,List([0, 10)))	Relation(moved the dealership to,List([11, 16), [17, 31), [32, 34)))	SimpleArgument(Danville KY,List([35, 46)))	Mr. Powell moved the dealership to Danville KY in 1982, and added Mazda to the line of products in 1991.
0.9266232318014763		SimpleArgument(Mr. Powell,List([0, 10)))	Relation(moved,List([11, 16)))	SimpleArgument(the dealership,List([17, 31)))	Mr. Powell moved the dealership to Danville KY in 1982, and added Mazda to the line of products in 1991.
