0.9339862216393666		SimpleArgument(the Abu Dhabi,List([82, 95)))	Relation(supports,List([116, 124)))	SimpleArgument(the realisation of Abu Dhabi Vision 2030,List([125, 165)))	The Abu Dhabi Urban Planning Council (UPC) is the strategic planning agency for the Abu Dhabi (emirate), which supports the realisation of Abu Dhabi Vision 2030 through the creation and continuing evolution of an Emirate-wide strategic framework plan.
0.9281019747438567		SimpleArgument(The Abu Dhabi Urban Planning Council,List([0, 36)))	Relation(is,List([45, 47)))	SimpleArgument(the strategic planning agency for the Abu Dhabi,List([48, 95)))	The Abu Dhabi Urban Planning Council (UPC) is the strategic planning agency for the Abu Dhabi (emirate), which supports the realisation of Abu Dhabi Vision 2030 through the creation and continuing evolution of an Emirate-wide strategic framework plan.
0.9590472007082971		SimpleArgument(the Abu Dhabi Urban Planning Council,List([90, 126)))	Relation(is responsible for defining the shape of the Emirate to,List([127, 129), [130, 179), [220, 222)))	SimpleArgument(ensure the development of sustainable and well - managed urban environment , which support the implementation of Economic Environment Vision 2030,List([223, 368)))	Chaired by His Highness Sheikh Mohammed bin Zayed Al Nahyan, Crown Prince of Abu Dhabi and Chairman of the Abu Dhabi Executive Council, the Abu Dhabi Urban Planning Council is responsible for defining the shape of the Emirate, along with the associated land uses, to ensure the development of a professionally designed, sustainable and well-managed urban environment, which incorporate world-class transport and infrastructure systems and support the implementation of Economic Vision 2030 and Environment Vision 2030.
0.9590472007082971		SimpleArgument(the Abu Dhabi Urban Planning Council,List([90, 126)))	Relation(is responsible for defining the shape of the Emirate to,List([127, 129), [130, 179), [220, 222)))	SimpleArgument(ensure the development of sustainable and well - managed urban environment , which support the implementation of Economic Vision 2030,List([223, 356)))	Chaired by His Highness Sheikh Mohammed bin Zayed Al Nahyan, Crown Prince of Abu Dhabi and Chairman of the Abu Dhabi Executive Council, the Abu Dhabi Urban Planning Council is responsible for defining the shape of the Emirate, along with the associated land uses, to ensure the development of a professionally designed, sustainable and well-managed urban environment, which incorporate world-class transport and infrastructure systems and support the implementation of Economic Vision 2030 and Environment Vision 2030.
0.9590472007082971		SimpleArgument(the Abu Dhabi Urban Planning Council,List([90, 126)))	Relation(is responsible for defining the shape of the Emirate to,List([127, 129), [130, 179), [220, 222)))	SimpleArgument(ensure the development of professionally designed and well - managed urban environment , which support the implementation of Economic Environment Vision 2030,List([223, 380)))	Chaired by His Highness Sheikh Mohammed bin Zayed Al Nahyan, Crown Prince of Abu Dhabi and Chairman of the Abu Dhabi Executive Council, the Abu Dhabi Urban Planning Council is responsible for defining the shape of the Emirate, along with the associated land uses, to ensure the development of a professionally designed, sustainable and well-managed urban environment, which incorporate world-class transport and infrastructure systems and support the implementation of Economic Vision 2030 and Environment Vision 2030.
0.9590472007082971		SimpleArgument(the Abu Dhabi Urban Planning Council,List([90, 126)))	Relation(is responsible for defining the shape of the Emirate to,List([127, 129), [130, 179), [220, 222)))	SimpleArgument(ensure the development of professionally designed and well - managed urban environment , which support the implementation of Economic Vision 2030,List([223, 368)))	Chaired by His Highness Sheikh Mohammed bin Zayed Al Nahyan, Crown Prince of Abu Dhabi and Chairman of the Abu Dhabi Executive Council, the Abu Dhabi Urban Planning Council is responsible for defining the shape of the Emirate, along with the associated land uses, to ensure the development of a professionally designed, sustainable and well-managed urban environment, which incorporate world-class transport and infrastructure systems and support the implementation of Economic Vision 2030 and Environment Vision 2030.
0.9388691615479727		SimpleArgument(a and well - managed urban environment,List([249, 287)))	Relation(support the implementation of Economic Environment,List([296, 303), [304, 346)))	TemporalArgument(Vision 2030,List([347, 358)))	Chaired by His Highness Sheikh Mohammed bin Zayed Al Nahyan, Crown Prince of Abu Dhabi and Chairman of the Abu Dhabi Executive Council, the Abu Dhabi Urban Planning Council is responsible for defining the shape of the Emirate, along with the associated land uses, to ensure the development of a professionally designed, sustainable and well-managed urban environment, which incorporate world-class transport and infrastructure systems and support the implementation of Economic Vision 2030 and Environment Vision 2030.
0.9388691615479727		SimpleArgument(a and well - managed urban environment,List([249, 287)))	Relation(support,List([296, 303)))	SimpleArgument(the implementation of Economic Environment,List([304, 346)))	Chaired by His Highness Sheikh Mohammed bin Zayed Al Nahyan, Crown Prince of Abu Dhabi and Chairman of the Abu Dhabi Executive Council, the Abu Dhabi Urban Planning Council is responsible for defining the shape of the Emirate, along with the associated land uses, to ensure the development of a professionally designed, sustainable and well-managed urban environment, which incorporate world-class transport and infrastructure systems and support the implementation of Economic Vision 2030 and Environment Vision 2030.
0.9388691615479727		SimpleArgument(a and well - managed urban environment,List([249, 287)))	Relation(support,List([296, 303)))	SimpleArgument(the implementation of Economic Vision 2030,List([304, 346)))	Chaired by His Highness Sheikh Mohammed bin Zayed Al Nahyan, Crown Prince of Abu Dhabi and Chairman of the Abu Dhabi Executive Council, the Abu Dhabi Urban Planning Council is responsible for defining the shape of the Emirate, along with the associated land uses, to ensure the development of a professionally designed, sustainable and well-managed urban environment, which incorporate world-class transport and infrastructure systems and support the implementation of Economic Vision 2030 and Environment Vision 2030.
0.9511279843844354		SimpleArgument(the Abu Dhabi Urban Planning Council,List([90, 126)))	Relation(is responsible for defining the shape of the Emirate to,List([127, 129), [130, 179), [220, 222)))	SimpleArgument(ensure the development of sustainable and well - managed urban environment , which incorporate world - class infrastructure systems,List([223, 354)))	Chaired by His Highness Sheikh Mohammed bin Zayed Al Nahyan, Crown Prince of Abu Dhabi and Chairman of the Abu Dhabi Executive Council, the Abu Dhabi Urban Planning Council is responsible for defining the shape of the Emirate, along with the associated land uses, to ensure the development of a professionally designed, sustainable and well-managed urban environment, which incorporate world-class transport and infrastructure systems and support the implementation of Economic Vision 2030 and Environment Vision 2030.
0.9511279843844354		SimpleArgument(the Abu Dhabi Urban Planning Council,List([90, 126)))	Relation(is responsible for defining the shape of the Emirate to,List([127, 129), [130, 179), [220, 222)))	SimpleArgument(ensure the development of sustainable and well - managed urban environment , which incorporate world - class transport,List([223, 341)))	Chaired by His Highness Sheikh Mohammed bin Zayed Al Nahyan, Crown Prince of Abu Dhabi and Chairman of the Abu Dhabi Executive Council, the Abu Dhabi Urban Planning Council is responsible for defining the shape of the Emirate, along with the associated land uses, to ensure the development of a professionally designed, sustainable and well-managed urban environment, which incorporate world-class transport and infrastructure systems and support the implementation of Economic Vision 2030 and Environment Vision 2030.
