0.9105129651916236		SimpleArgument(Brandywine,List([0, 10)))	Relation(Living at,List([11, 17), [18, 20)))	SpatialArgument(Toms River,List([21, 31)))	Brandywine Living at Toms River
0.9699974998635915		SimpleArgument(Brandywine Living,List([0, 17)))	Relation(is,List([18, 20)))	SimpleArgument(a premier provider of services to seniors in the Mid-Atlantic Region,List([21, 89)))	Brandywine Living is a premier provider of quality care and services to seniors in the Mid-Atlantic Region.
0.9699974998635915		SimpleArgument(Brandywine Living,List([0, 17)))	Relation(is,List([18, 20)))	SimpleArgument(a premier provider of quality care to seniors in the Mid-Atlantic Region,List([21, 93)))	Brandywine Living is a premier provider of quality care and services to seniors in the Mid-Atlantic Region.
0.9641165612900223		SimpleArgument(Brandywine Living,List([0, 17)))	Relation(is,List([18, 20)))	SimpleArgument(a market leader in luxury senior living , including independent living,List([21, 91)))	Brandywine Living is a market leader in luxury senior living, including assisted living, memory care and independent living.
0.9641165612900223		SimpleArgument(Brandywine Living,List([0, 17)))	Relation(is,List([18, 20)))	SimpleArgument(a market leader in luxury senior living , including memory care,List([21, 84)))	Brandywine Living is a market leader in luxury senior living, including assisted living, memory care and independent living.
0.9641165612900223		SimpleArgument(Brandywine Living,List([0, 17)))	Relation(is,List([18, 20)))	SimpleArgument(a market leader in luxury senior living , including assisted living,List([21, 88)))	Brandywine Living is a market leader in luxury senior living, including assisted living, memory care and independent living.
0.8592111619294878		SimpleArgument(Brandywine,List([20, 30)))	Relation(operates 27 communities,List([41, 49), [50, 64)))	TemporalArgument(currently,List([31, 40)))	Laurel, New Jersey, Brandywine currently operates 27 communities in five states (CT, NY, NJ, PA, DE) with capacity to serve over 2,700 residents.
0.9064683704715875		SimpleArgument(Brandywine,List([20, 30)))	Relation(operates 27 communities in,List([41, 49), [50, 64), [65, 67)))	SpatialArgument(five states,List([68, 79)))	Laurel, New Jersey, Brandywine currently operates 27 communities in five states (CT, NY, NJ, PA, DE) with capacity to serve over 2,700 residents.
0.9064683704715875		SimpleArgument(Brandywine,List([20, 30)))	Relation(operates,List([41, 49)))	SimpleArgument(27 communities,List([50, 64)))	Laurel, New Jersey, Brandywine currently operates 27 communities in five states (CT, NY, NJ, PA, DE) with capacity to serve over 2,700 residents.
0.8847999636040884		SimpleArgument(Brenda J. Bacon,List([0, 15)))	Relation(is the CEO of,List([16, 29)))	SimpleArgument(Brandywine Living,List([30, 47)))	Brenda J. Bacon is the President and CEO of Brandywine Living, a privately held company with 27 senior living communities in five states.
0.9569065201547587		SimpleArgument(Brenda J. Bacon,List([0, 15)))	Relation(is,List([16, 18)))	SimpleArgument(the CEO of Brandywine Living,List([19, 47)))	Brenda J. Bacon is the President and CEO of Brandywine Living, a privately held company with 27 senior living communities in five states.
