0.9186941924198344		SimpleArgument(an actuarial recruitment agency,List([25, 56)))	Relation(run by,List([57, 60), [61, 63)))	SimpleArgument(qualified actuaries,List([64, 83)))	Acumen Resources Ltd. is an actuarial recruitment agency run by qualified actuaries, the only such company in Ireland.
0.9485955390117107		SimpleArgument(Acumen Resources Ltd.,List([0, 21)))	Relation(is,List([22, 24)))	SimpleArgument(an actuarial recruitment agency run by qualified actuaries,List([25, 83)))	Acumen Resources Ltd. is an actuarial recruitment agency run by qualified actuaries, the only such company in Ireland.
0.9382554258342916		SimpleArgument(Acumen Resources,List([34, 50)))	Relation(has become,List([51, 61)))	SimpleArgument(the most successful actuarial recruitment consultancy in Ireland,List([62, 126)))	Established nearly 20 years ago, Acumen Resources has become the most successful actuarial recruitment consultancy in Ireland, offering a high quality and confidential service to both employees and employers.
0.9702348990931127		SimpleArgument(Each of the Directors,List([0, 21)))	Relation(has,List([22, 25)))	SimpleArgument(significant practical actuarial experience having worked in both actuarial consulting environments,List([26, 124)))	Each of the Directors has significant practical actuarial experience having worked in both direct-writing offices and actuarial consulting environments.
0.9702348990931127		SimpleArgument(Each of the Directors,List([0, 21)))	Relation(has,List([22, 25)))	SimpleArgument(significant practical actuarial experience having worked in both direct - writing offices,List([26, 115)))	Each of the Directors has significant practical actuarial experience having worked in both direct-writing offices and actuarial consulting environments.
0.6138676038426771		SimpleArgument(We,List([0, 2)))	Relation(specialise in,List([3, 13), [14, 16)))	SpatialArgument(all levels of actuarial recruitment , from graduate level right through to senior partner and Appointed Actuary,List([17, 128)))	We specialise in all levels of actuarial recruitment, from graduate level right through to senior management, partner and Appointed Actuary.
0.6138676038426771		SimpleArgument(We,List([0, 2)))	Relation(specialise in,List([3, 13), [14, 16)))	SpatialArgument(all levels of actuarial recruitment , from graduate level right through to senior management and Appointed Actuary,List([17, 131)))	We specialise in all levels of actuarial recruitment, from graduate level right through to senior management, partner and Appointed Actuary.
0.8847999636040884		SimpleArgument(Paul,List([0, 4)))	Relation(is a Fellow of,List([5, 19)))	SimpleArgument(the Institute & Faculty,List([20, 43)))	Paul is a Fellow of the Institute & Faculty of Actuaries in the UK.
0.9670538616899376		SimpleArgument(Paul,List([0, 4)))	Relation(is,List([5, 7)))	SimpleArgument(a Fellow of the Institute & Faculty of Actuaries in the UK,List([8, 66)))	Paul is a Fellow of the Institute & Faculty of Actuaries in the UK.
0.6138676038426771		SimpleArgument(He,List([0, 2)))	Relation(has been,List([3, 11)))	SimpleArgument(a member of a number of Society of Actuaries ' in Ireland committees with a particular interest in Wider Fields,List([12, 123)))	He has been a member of a number of Society of Actuaries' in Ireland committees with a particular interest in Continuing Professional Development and Wider Fields.
0.6138676038426771		SimpleArgument(He,List([0, 2)))	Relation(has been,List([3, 11)))	SimpleArgument(a member of a number of Society of Actuaries ' in Ireland committees with a particular interest in Continuing Professional Development,List([12, 146)))	He has been a member of a number of Society of Actuaries' in Ireland committees with a particular interest in Continuing Professional Development and Wider Fields.
0.3880890333449538	Context(he worked,List([35, 44)))	SimpleArgument(he,List([35, 37)))	Relation(worked in consulting,List([38, 44), [45, 58)))	SimpleArgument(actuarial environments,List([59, 81)))	Prior to founding Acumen Resources he worked in both direct-writing and consulting actuarial environments over an extensive career.
0.3880890333449538		SimpleArgument(he,List([35, 37)))	Relation(worked in,List([38, 44), [45, 47)))	SpatialArgument(consulting actuarial environments over an extensive career,List([48, 106)))	Prior to founding Acumen Resources he worked in both direct-writing and consulting actuarial environments over an extensive career.
0.5961061943937731		SimpleArgument(he,List([35, 37)))	Relation(worked,List([38, 44)))	TemporalArgument(Prior to founding Acumen Resources,List([0, 34)))	Prior to founding Acumen Resources he worked in both direct-writing and consulting actuarial environments over an extensive career.
