0.9569065201547587		SimpleArgument(Lucius Gellius Publicola,List([0, 24)))	Relation(was,List([25, 28)))	SimpleArgument(a consul of the Roman Republic,List([29, 59)))	Lucius Gellius Publicola was a consul of the Roman Republic.
0.8847999636040884		SimpleArgument(He,List([0, 2)))	Relation(was the son of,List([3, 17)))	SimpleArgument(Lucius Gellius Publicola,List([18, 42)))	He was the son of Lucius Gellius Publicola, the consul of 72 BC.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(the son of Lucius Gellius Publicola,List([7, 42)))	He was the son of Lucius Gellius Publicola, the consul of 72 BC.
0.3880890333449538	Context(he allowed,List([56, 66)))	SimpleArgument(him,List([67, 70)))	Relation(to plead his cause before,List([71, 79), [80, 89), [90, 96)))	TemporalArgument(a large number of senators,List([97, 123)))	He was accused of committing incest with his stepmother, and of conspiring against his father's life; but although the latter was nearly convinced of his guilt, he allowed him to plead his cause before a large number of senators, and, in consequence of their opinion, declared him innocent.
0.2560951955542683	Context(he allowed,List([56, 66)))	SimpleArgument(him,List([67, 70)))	Relation(to plead,List([71, 79)))	SimpleArgument(his cause,List([80, 89)))	He was accused of committing incest with his stepmother, and of conspiring against his father's life; but although the latter was nearly convinced of his guilt, he allowed him to plead his cause before a large number of senators, and, in consequence of their opinion, declared him innocent.
0.3557055808979406		SimpleArgument(he,List([56, 58)))	Relation(allowed,List([59, 66)))	SimpleArgument(him to plead his cause before a large number of senators,List([67, 123)))	He was accused of committing incest with his stepmother, and of conspiring against his father's life; but although the latter was nearly convinced of his guilt, he allowed him to plead his cause before a large number of senators, and, in consequence of their opinion, declared him innocent.
0.4167147161839597		SimpleArgument(the latter,List([9, 19)))	Relation(was nearly convinced of,List([20, 40), [41, 43)))	SimpleArgument(his guilt,List([44, 53)))	He was accused of committing incest with his stepmother, and of conspiring against his father's life; but although the latter was nearly convinced of his guilt, he allowed him to plead his cause before a large number of senators, and, in consequence of their opinion, declared him innocent.
0.2743125465364158		SimpleArgument(He,List([0, 2)))	Relation(of committing incest with,List([15, 28), [29, 35), [36, 40)))	SimpleArgument(his stepmother,List([41, 55)))	He was accused of committing incest with his stepmother, and of conspiring against his father's life; but although the latter was nearly convinced of his guilt, he allowed him to plead his cause before a large number of senators, and, in consequence of their opinion, declared him innocent.
0.41051436014453063		SimpleArgument(He,List([0, 2)))	Relation(of committing,List([15, 28)))	SimpleArgument(incest,List([29, 35)))	He was accused of committing incest with his stepmother, and of conspiring against his father's life; but although the latter was nearly convinced of his guilt, he allowed him to plead his cause before a large number of senators, and, in consequence of their opinion, declared him innocent.
0.30899953469486874		SimpleArgument(He,List([0, 2)))	Relation(was accused of,List([3, 14), [15, 17)))	SimpleArgument(committing incest with his stepmother,List([18, 55)))	He was accused of committing incest with his stepmother, and of conspiring against his father's life; but although the latter was nearly convinced of his guilt, he allowed him to plead his cause before a large number of senators, and, in consequence of their opinion, declared him innocent.
0.8797652531099371		SimpleArgument(the death,List([6, 15)))	Relation(went to,List([16, 20), [47, 49)))	SimpleArgument(Asia,List([50, 54)))	After the death of Caesar in 44 BC, Gellius espoused the republican party, and went with Marcus Junius Brutus to Asia.
0.9180804252893389		SimpleArgument(the death,List([6, 15)))	Relation(went with,List([16, 20), [21, 25)))	SimpleArgument(Marcus Junius Brutus,List([26, 46)))	After the death of Caesar in 44 BC, Gellius espoused the republican party, and went with Marcus Junius Brutus to Asia.
0.9529384246512104		SimpleArgument(Gellius,List([37, 44)))	Relation(espoused the republican party After,List([0, 5), [45, 68), [69, 74)))	TemporalArgument(the death of Caesar in 44 BC,List([6, 34)))	After the death of Caesar in 44 BC, Gellius espoused the republican party, and went with Marcus Junius Brutus to Asia.
0.9197759696552441		SimpleArgument(Gellius,List([37, 44)))	Relation(espoused,List([45, 53)))	SimpleArgument(the republican party,List([54, 74)))	After the death of Caesar in 44 BC, Gellius espoused the republican party, and went with Marcus Junius Brutus to Asia.
0.3018651855507195		SimpleArgument(he,List([5, 7)))	Relation(was pardoned,List([8, 20)))	SpatialArgument(Here,List([0, 4)))	Here he was detected in plotting against the life of Brutus but was pardoned at the intercession of his half-brother, Marcus Valerius Messalla Corvinus.
0.30899953469486874		SimpleArgument(he,List([5, 7)))	Relation(was pardoned at,List([8, 20), [21, 23)))	SpatialArgument(the intercession of his half - brother,List([24, 62)))	Here he was detected in plotting against the life of Brutus but was pardoned at the intercession of his half-brother, Marcus Valerius Messalla Corvinus.
0.45592395356914683		SimpleArgument(he,List([5, 7)))	Relation(in plotting against,List([21, 32), [33, 40)))	SimpleArgument(the life of Brutus,List([41, 59)))	Here he was detected in plotting against the life of Brutus but was pardoned at the intercession of his half-brother, Marcus Valerius Messalla Corvinus.
0.3018651855507195		SimpleArgument(he,List([5, 7)))	Relation(was detected,List([8, 20)))	SpatialArgument(Here,List([0, 4)))	Here he was detected in plotting against the life of Brutus but was pardoned at the intercession of his half-brother, Marcus Valerius Messalla Corvinus.
0.4978219019954182		SimpleArgument(he,List([5, 7)))	Relation(was detected in,List([8, 20), [21, 23)))	SpatialArgument(plotting against the life of Brutus,List([24, 59)))	Here he was detected in plotting against the life of Brutus but was pardoned at the intercession of his half-brother, Marcus Valerius Messalla Corvinus.
0.3853208301752743		SimpleArgument(Polla,List([88, 93)))	Relation([is] mother [of],List([81, 87)))	SimpleArgument(him,List([77, 80)))	Shortly afterwards he entered into a conspiracy to kill Gaius Cassius Longinus, but again escaped unpunished, through the intercession of his mother Polla.
0.3048426724432105		SimpleArgument(he,List([19, 21)))	Relation(escaped,List([28, 35)))	TemporalArgument(again,List([22, 27)))	Shortly afterwards he entered into a conspiracy to kill Gaius Cassius Longinus, but again escaped unpunished, through the intercession of his mother Polla.
0.26766884027090854		SimpleArgument(he,List([19, 21)))	Relation(escaped,List([28, 35)))	TemporalArgument(Shortly afterwards,List([0, 18)))	Shortly afterwards he entered into a conspiracy to kill Gaius Cassius Longinus, but again escaped unpunished, through the intercession of his mother Polla.
0.19710908353723788		SimpleArgument(he,List([19, 21)))	Relation(escaped,List([28, 35)))	SimpleArgument(unpunished,List([36, 46)))	Shortly afterwards he entered into a conspiracy to kill Gaius Cassius Longinus, but again escaped unpunished, through the intercession of his mother Polla.
0.3018651855507195		SimpleArgument(he,List([19, 21)))	Relation(entered into a conspiracy,List([22, 29), [30, 47)))	TemporalArgument(Shortly afterwards,List([0, 18)))	Shortly afterwards he entered into a conspiracy to kill Gaius Cassius Longinus, but again escaped unpunished, through the intercession of his mother Polla.
0.45170382506656653		SimpleArgument(he,List([19, 21)))	Relation(entered into,List([22, 29), [30, 34)))	SimpleArgument(a conspiracy,List([35, 47)))	Shortly afterwards he entered into a conspiracy to kill Gaius Cassius Longinus, but again escaped unpunished, through the intercession of his mother Polla.
0.7685738229242312		SimpleArgument(Polla,List([27, 32)))	Relation(had married Marcus Valerius Messalla,List([74, 77), [91, 98), [99, 123)))	TemporalArgument(subsequently,List([78, 90)))	It would hence appear that Polla had been divorced from her first husband Gellius, and had subsequently married Marcus Valerius Messalla.
0.8839105602432714		SimpleArgument(Polla,List([27, 32)))	Relation(had married,List([74, 77), [91, 98)))	SimpleArgument(Marcus Valerius Messalla,List([99, 123)))	It would hence appear that Polla had been divorced from her first husband Gellius, and had subsequently married Marcus Valerius Messalla.
0.3853208301752743		SimpleArgument(Gellius,List([74, 81)))	Relation([is] first husband [of],List([60, 73)))	SimpleArgument(hers,List([56, 59)))	It would hence appear that Polla had been divorced from her first husband Gellius, and had subsequently married Marcus Valerius Messalla.
0.9197759696552441		SimpleArgument(Gellius,List([0, 7)))	Relation(deserted to,List([8, 16), [17, 19)))	SimpleArgument(the triumvirs,List([20, 33)))	Gellius, however, showed no gratitude for the leniency which had been shown him, but deserted to the triumvirs, Augustus and Mark Antony.
0.8103687806061152		SimpleArgument(the leniency,List([44, 56)))	Relation(had been shown,List([63, 77)))	SimpleArgument(him,List([78, 81)))	Gellius, however, showed no gratitude for the leniency which had been shown him, but deserted to the triumvirs, Augustus and Mark Antony.
0.9064683704715875		SimpleArgument(Gellius,List([0, 7)))	Relation(showed,List([20, 26)))	SimpleArgument(no gratitude for the leniency,List([27, 56)))	Gellius, however, showed no gratitude for the leniency which had been shown him, but deserted to the triumvirs, Augustus and Mark Antony.
0.8796608426755355		SimpleArgument(Q. P.,List([82, 87)))	Relation(is,List([93, 95)))	SimpleArgument(Quaestor Propraetore,List([97, 117)))	While in their service he had coins struck, on which he appears with the title of Q. P. that is, Quaestor Propraetore.
0.5508709715731925		SimpleArgument(he,List([53, 55)))	Relation(appears,List([56, 63)))	SpatialArgument(coins struck,List([30, 42)))	While in their service he had coins struck, on which he appears with the title of Q. P. that is, Quaestor Propraetore.
0.39625576749130315		SimpleArgument(he,List([23, 25)))	Relation(had coins struck , on which he appears with the title of Q. P. in,List([6, 8), [26, 84), [85, 87)))	SpatialArgument(their service,List([9, 22)))	While in their service he had coins struck, on which he appears with the title of Q. P. that is, Quaestor Propraetore.
0.5337666212575038		SimpleArgument(he,List([23, 25)))	Relation(had,List([26, 29)))	SimpleArgument(coins struck, on which he appears with the title of Q. P.,List([30, 87)))	While in their service he had coins struck, on which he appears with the title of Q. P. that is, Quaestor Propraetore.
0.45170382506656653		SimpleArgument(He,List([0, 2)))	Relation(was rewarded for his treachery by,List([3, 15), [16, 33), [34, 36)))	SimpleArgument(the consulship,List([37, 51)))	He was rewarded for his treachery by the consulship in 36 BC.
0.30899953469486874		SimpleArgument(He,List([0, 2)))	Relation(was rewarded for,List([3, 15), [16, 19)))	SimpleArgument(his treachery,List([20, 33)))	He was rewarded for his treachery by the consulship in 36 BC.
0.5926659981335703		SimpleArgument(he,List([41, 43)))	Relation(commanded the right wing of Antony 's fleet at the battle of Actium In,List([0, 2), [44, 104), [105, 111)))	SpatialArgument(the war between Octavian and Antony,List([3, 38)))	In the war between Octavian and Antony, he espoused the side of the latter, and commanded the right wing of Antony's fleet at the battle of Actium.
0.6138676038426771		SimpleArgument(he,List([41, 43)))	Relation(commanded,List([44, 53)))	SimpleArgument(the right wing of Antony 's fleet at the battle of Actium,List([54, 111)))	In the war between Octavian and Antony, he espoused the side of the latter, and commanded the right wing of Antony's fleet at the battle of Actium.
0.5926659981335703		SimpleArgument(he,List([41, 43)))	Relation(espoused the side of the latter In,List([0, 2), [44, 68), [69, 75)))	SpatialArgument(the war between Octavian and Antony,List([3, 38)))	In the war between Octavian and Antony, he espoused the side of the latter, and commanded the right wing of Antony's fleet at the battle of Actium.
0.45170382506656653		SimpleArgument(he,List([41, 43)))	Relation(espoused,List([44, 52)))	SimpleArgument(the side of the latter,List([53, 75)))	In the war between Octavian and Antony, he espoused the side of the latter, and commanded the right wing of Antony's fleet at the battle of Actium.
0.45170382506656653		SimpleArgument(he,List([30, 32)))	Relation(probably perished in,List([33, 50), [51, 53)))	TemporalArgument(the action,List([54, 64)))	As he is not mentioned again, he probably perished in the action.
0.22506131975927415		SimpleArgument(he,List([3, 5)))	Relation(is not mentioned,List([6, 22)))	TemporalArgument(again,List([23, 28)))	As he is not mentioned again, he probably perished in the action.
