0.9684350924019041		SimpleArgument(Alexei Volodin (Russian: Алексей Володин; born 1977,List([0, 51)))	Relation(is,List([53, 55)))	SimpleArgument(a Russian pianist,List([56, 73)))	Alexei Volodin (Russian: Алексей Володин; born 1977) is a Russian pianist.
0.39746064682094406	Context(He began,List([0, 8)))	SimpleArgument(He,List([0, 2)))	Relation(began taking piano lessons there at,List([3, 8), [9, 15), [16, 35), [36, 38)))	TemporalArgument(the age of nine,List([39, 54)))	He was born in St. Petersburg, and began taking piano lessons there at the age of nine.
0.39746064682094406	Context(He began,List([0, 8)))	SimpleArgument(He,List([0, 2)))	Relation(began taking,List([3, 8), [9, 15)))	SimpleArgument(piano lessons there,List([16, 35)))	He was born in St. Petersburg, and began taking piano lessons there at the age of nine.
0.39746064682094406		SimpleArgument(He,List([0, 2)))	Relation(began,List([3, 8)))	SimpleArgument(taking piano lessons there at the age of nine,List([9, 54)))	He was born in St. Petersburg, and began taking piano lessons there at the age of nine.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was born in,List([3, 11), [12, 14)))	SpatialArgument(St. Petersburg,List([15, 29)))	He was born in St. Petersburg, and began taking piano lessons there at the age of nine.
0.22506131975927415		SimpleArgument(he,List([40, 42)))	Relation(studied,List([43, 50)))	TemporalArgument(later,List([51, 56)))	A year later he moved to Moscow, where he studied first with Irina Chaklina and later with Tatiana Zelikman at the Gnessin Music School.
0.5961061943937731		SimpleArgument(he,List([40, 42)))	Relation(studied,List([43, 50)))	SpatialArgument(Moscow,List([25, 31)))	A year later he moved to Moscow, where he studied first with Irina Chaklina and later with Tatiana Zelikman at the Gnessin Music School.
0.22506131975927415		SimpleArgument(he,List([40, 42)))	Relation(studied,List([43, 50)))	TemporalArgument(first,List([51, 56)))	A year later he moved to Moscow, where he studied first with Irina Chaklina and later with Tatiana Zelikman at the Gnessin Music School.
0.5508709715731925		SimpleArgument(he,List([13, 15)))	Relation(moved to Moscow,List([16, 21), [22, 31)))	TemporalArgument(A year later,List([0, 12)))	A year later he moved to Moscow, where he studied first with Irina Chaklina and later with Tatiana Zelikman at the Gnessin Music School.
0.4978219019954182		SimpleArgument(he,List([13, 15)))	Relation(moved to,List([16, 21), [22, 24)))	SimpleArgument(Moscow,List([25, 31)))	A year later he moved to Moscow, where he studied first with Irina Chaklina and later with Tatiana Zelikman at the Gnessin Music School.
0.29886655727758943		SimpleArgument(he,List([8, 10)))	Relation(enrolled In,List([0, 2), [11, 19)))	TemporalArgument(1994,List([3, 7)))	In 1994 he enrolled at the Moscow Conservatoire and at the end of his studies there in 2001 in the master class of Professor Eliso Virsaladze.
0.3929209860966329		SimpleArgument(he,List([8, 10)))	Relation(enrolled in,List([11, 19), [52, 54)))	TemporalArgument(2001 in the master class of Professor Eliso Virsaladze,List([55, 109)))	In 1994 he enrolled at the Moscow Conservatoire and at the end of his studies there in 2001 in the master class of Professor Eliso Virsaladze.
0.30899953469486874		SimpleArgument(he,List([8, 10)))	Relation(enrolled at,List([11, 19), [20, 22)))	TemporalArgument(the end of his studies there,List([23, 51)))	In 1994 he enrolled at the Moscow Conservatoire and at the end of his studies there in 2001 in the master class of Professor Eliso Virsaladze.
0.29886655727758943		SimpleArgument(he,List([8, 10)))	Relation(enrolled at the Moscow Conservatoire In,List([0, 2), [11, 33), [34, 47)))	TemporalArgument(1994,List([3, 7)))	In 1994 he enrolled at the Moscow Conservatoire and at the end of his studies there in 2001 in the master class of Professor Eliso Virsaladze.
0.4978219019954182		SimpleArgument(he,List([8, 10)))	Relation(enrolled at,List([11, 19), [20, 22)))	SimpleArgument(the Moscow Conservatoire,List([23, 47)))	In 1994 he enrolled at the Moscow Conservatoire and at the end of his studies there in 2001 in the master class of Professor Eliso Virsaladze.
0.3018651855507195		SimpleArgument(he,List([10, 12)))	Relation(rounded off his studies,List([13, 24), [25, 36)))	TemporalArgument(2001/2002,List([0, 9)))	2001/2002 he rounded off his studies at the Theo Lieven International Piano Foundation in Como.
0.4978219019954182		SimpleArgument(he,List([10, 12)))	Relation(rounded off his studies at,List([13, 24), [25, 36), [37, 39)))	SpatialArgument(the Theo Lieven International Piano Foundation in Como,List([40, 94)))	2001/2002 he rounded off his studies at the Theo Lieven International Piano Foundation in Como.
0.30899953469486874		SimpleArgument(he,List([10, 12)))	Relation(rounded off,List([13, 24)))	SimpleArgument(his studies,List([25, 36)))	2001/2002 he rounded off his studies at the Theo Lieven International Piano Foundation in Como.
0.6280863741994668	Context(he gave,List([116, 123)))	SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(2003 the winner of the 9th Concours Géza Anda in Zurich Meanwhile Volodin looks back on a remarkable career,List([7, 114)))	He was 2003 the winner of the 9th Concours Géza Anda in Zurich Meanwhile Volodin looks back on a remarkable career, he gave recitals all over the world.
0.39746064682094406		SimpleArgument(he,List([116, 118)))	Relation(gave,List([119, 123)))	SimpleArgument(recitals,List([124, 132)))	He was 2003 the winner of the 9th Concours Géza Anda in Zurich Meanwhile Volodin looks back on a remarkable career, he gave recitals all over the world.
0.9177105818215223		SimpleArgument(the winner of the 9th Concours Géza Anda in Zurich Meanwhile Volodin,List([12, 80)))	Relation(looks on,List([81, 86), [92, 94)))	SimpleArgument(a remarkable career,List([95, 114)))	He was 2003 the winner of the 9th Concours Géza Anda in Zurich Meanwhile Volodin looks back on a remarkable career, he gave recitals all over the world.
0.8540837870180027		SimpleArgument(the winner of the 9th Concours Géza Anda in Zurich Meanwhile Volodin,List([12, 80)))	Relation(looks on a remarkable career,List([81, 86), [92, 114)))	SimpleArgument(back,List([87, 91)))	He was 2003 the winner of the 9th Concours Géza Anda in Zurich Meanwhile Volodin looks back on a remarkable career, he gave recitals all over the world.
0.13647286908492987		SimpleArgument(He,List([0, 2)))	Relation(has performed,List([3, 6), [12, 21)))		He has also performed with prestigious orchestras, such as the Sydney Symphony, the Orchestra della Radio Svizzera Italiana, the SWR Radio Symphony Orchestra, the St. Petersburg Philharmonic Orchestra, the Orchestra of the Mariinsky Theater, the NDR Radio Philharmonic Orchestra Hannover, Gewandhaus-Orchester Leipzig, the Orchestre du Capitole de Toulouse, the Moscow Tchaikovsky Symphony, the Orchestra of the Deutsche Oper Berlin and the Tonhalle Orchester Zurich.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(has worked with,List([3, 13), [14, 18)))	SimpleArgument(conductors like Vladimir Fedoseyev , among others,List([19, 68)))	He has worked with conductors like Riccardo Chailly, Mikhail Pletnev, Eiji Oue, Gerd Albrecht, Carlo Rizzi, Zoltan Kocsis, David Zinman, Valery Gergiev and Vladimir Fedoseyev, among others.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(has worked with,List([3, 13), [14, 18)))	SimpleArgument(conductors like Valery Gergiev , among others,List([19, 64)))	He has worked with conductors like Riccardo Chailly, Mikhail Pletnev, Eiji Oue, Gerd Albrecht, Carlo Rizzi, Zoltan Kocsis, David Zinman, Valery Gergiev and Vladimir Fedoseyev, among others.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(has worked with,List([3, 13), [14, 18)))	SimpleArgument(conductors like David Zinman , among others,List([19, 62)))	He has worked with conductors like Riccardo Chailly, Mikhail Pletnev, Eiji Oue, Gerd Albrecht, Carlo Rizzi, Zoltan Kocsis, David Zinman, Valery Gergiev and Vladimir Fedoseyev, among others.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(has worked with,List([3, 13), [14, 18)))	SimpleArgument(conductors like Zoltan Kocsis , among others,List([19, 63)))	He has worked with conductors like Riccardo Chailly, Mikhail Pletnev, Eiji Oue, Gerd Albrecht, Carlo Rizzi, Zoltan Kocsis, David Zinman, Valery Gergiev and Vladimir Fedoseyev, among others.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(has worked with,List([3, 13), [14, 18)))	SimpleArgument(conductors like Carlo Rizzi , among others,List([19, 61)))	He has worked with conductors like Riccardo Chailly, Mikhail Pletnev, Eiji Oue, Gerd Albrecht, Carlo Rizzi, Zoltan Kocsis, David Zinman, Valery Gergiev and Vladimir Fedoseyev, among others.
