0.9266232318014763		SimpleArgument(EyeKnow Ltd,List([0, 11)))	Relation(is about,List([12, 14), [15, 20)))	SimpleArgument(alarm management,List([21, 37)))	EyeKnow Ltd is about alarm management.
0.8772656277736296		SimpleArgument(businesses,List([25, 35)))	Relation(by converting control system data into,List([78, 91), [92, 111), [112, 116)))	SimpleArgument(business information,List([117, 137)))	Our objective is to help businesses leverage their control systems investment by converting control system data into business information.
0.8772656277736296		SimpleArgument(businesses,List([25, 35)))	Relation(by converting,List([78, 91)))	SimpleArgument(control system data,List([92, 111)))	Our objective is to help businesses leverage their control systems investment by converting control system data into business information.
0.6054991544878838		SimpleArgument(Our objective,List([0, 13)))	Relation(is to,List([14, 16), [17, 19)))	SimpleArgument(help businesses leverage their control systems investment by converting control system data into business information,List([20, 137)))	Our objective is to help businesses leverage their control systems investment by converting control system data into business information.
0.3880890333449538	Context(We do,List([0, 5)))	SimpleArgument(We,List([0, 2)))	Relation(do this by unlocking,List([3, 5), [6, 13)))	SimpleArgument(information buried in thousands of alarms,List([24, 65)))	We do this by unlocking information buried in thousands of alarms.
0.22876658274353207		SimpleArgument(We,List([0, 2)))	Relation(do,List([3, 5)))	SimpleArgument(this,List([6, 10)))	We do this by unlocking information buried in thousands of alarms.
0.8942434158739456		SimpleArgument(information,List([24, 35)))	Relation(buried in,List([36, 42), [43, 45)))	SimpleArgument(thousands of alarms,List([46, 65)))	We do this by unlocking information buried in thousands of alarms.
0.913197594301744		SimpleArgument(effective distribution of this information,List([0, 42)))	Relation(reduces,List([70, 77)))	SimpleArgument(supports longer term planning objectives,List([78, 118)))	Selective and effective distribution of this information optimises response times, reduces downtime costs and supports longer term planning objectives.
0.913197594301744		SimpleArgument(effective distribution of this information,List([0, 42)))	Relation(reduces,List([70, 77)))	SimpleArgument(downtime costs,List([78, 92)))	Selective and effective distribution of this information optimises response times, reduces downtime costs and supports longer term planning objectives.
0.9256263201643982		SimpleArgument(effective distribution of this information,List([0, 42)))	Relation(optimises,List([43, 52)))	SimpleArgument(response times,List([53, 67)))	Selective and effective distribution of this information optimises response times, reduces downtime costs and supports longer term planning objectives.
0.913197594301744		SimpleArgument(Selective distribution of this information,List([0, 42)))	Relation(reduces,List([70, 77)))	SimpleArgument(supports longer term planning objectives,List([78, 118)))	Selective and effective distribution of this information optimises response times, reduces downtime costs and supports longer term planning objectives.
0.913197594301744		SimpleArgument(Selective distribution of this information,List([0, 42)))	Relation(reduces,List([70, 77)))	SimpleArgument(downtime costs,List([78, 92)))	Selective and effective distribution of this information optimises response times, reduces downtime costs and supports longer term planning objectives.
0.9256263201643982		SimpleArgument(Selective distribution of this information,List([0, 42)))	Relation(optimises,List([43, 52)))	SimpleArgument(response times,List([53, 67)))	Selective and effective distribution of this information optimises response times, reduces downtime costs and supports longer term planning objectives.
0.4978219019954182		SimpleArgument(we,List([52, 54)))	Relation(have,List([55, 59)))	SimpleArgument(experience in Water & Beverage industries,List([60, 101)))	Together with our parent company, Controlweb Ltd, we have experience in Water & Wastewater, Petrochemical and Food & Beverage industries.
0.4978219019954182		SimpleArgument(we,List([52, 54)))	Relation(have,List([55, 59)))	SimpleArgument(experience in Water & Food & industries,List([60, 99)))	Together with our parent company, Controlweb Ltd, we have experience in Water & Wastewater, Petrochemical and Food & Beverage industries.
0.4978219019954182		SimpleArgument(we,List([52, 54)))	Relation(have,List([55, 59)))	SimpleArgument(experience in Water & Petrochemical industries,List([60, 106)))	Together with our parent company, Controlweb Ltd, we have experience in Water & Wastewater, Petrochemical and Food & Beverage industries.
0.5		SimpleArgument(Controlweb Ltd,List([35, 49)))	Relation([is] parent company [of],List([18, 32)))	SimpleArgument(ours,List([14, 17)))	Together with our parent company, Controlweb Ltd, we have experience in Water & Wastewater, Petrochemical and Food & Beverage industries.
0.4978219019954182		SimpleArgument(we,List([52, 54)))	Relation(have,List([55, 59)))	SimpleArgument(experience in Water & Wastewater industries,List([60, 103)))	Together with our parent company, Controlweb Ltd, we have experience in Water & Wastewater, Petrochemical and Food & Beverage industries.
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(are based in,List([3, 12), [13, 15)))	SpatialArgument(Auckland NZ,List([16, 27)))	We are based in Auckland NZ with strong links in New Zealand, Australia and South Africa.
