0.949419443712137		SimpleArgument(John Deane Spence,List([0, 17)))	Relation(was,List([51, 54)))	SimpleArgument(a British Conservative Party politician,List([55, 94)))	John Deane Spence (7 December 1920 – 4 March 1986) was a British Conservative Party politician.
0.9197759696552441		SimpleArgument(Spence,List([0, 6)))	Relation(worked as,List([7, 13), [14, 16)))	SimpleArgument(a farmer,List([17, 25)))	Spence was educated at Queen's University, Belfast and worked as a building and civil engineering contractor, merchant banker and farmer.
0.9197759696552441		SimpleArgument(Spence,List([0, 6)))	Relation(worked as,List([7, 13), [14, 16)))	SimpleArgument(a merchant banker,List([17, 34)))	Spence was educated at Queen's University, Belfast and worked as a building and civil engineering contractor, merchant banker and farmer.
0.9197759696552441		SimpleArgument(Spence,List([0, 6)))	Relation(worked as,List([7, 13), [14, 16)))	SimpleArgument(a civil engineering contractor,List([17, 47)))	Spence was educated at Queen's University, Belfast and worked as a building and civil engineering contractor, merchant banker and farmer.
0.9197759696552441		SimpleArgument(Spence,List([0, 6)))	Relation(worked as,List([7, 13), [14, 16)))	SimpleArgument(a building,List([17, 27)))	Spence was educated at Queen's University, Belfast and worked as a building and civil engineering contractor, merchant banker and farmer.
0.9324144673478683		SimpleArgument(Spence,List([0, 6)))	Relation(was educated at,List([7, 19), [20, 22)))	SpatialArgument(Queen 's University,List([23, 42)))	Spence was educated at Queen's University, Belfast and worked as a building and civil engineering contractor, merchant banker and farmer.
0.7487987465728897		SimpleArgument(Spence,List([0, 6)))	Relation(contested Sheffield Heeley in,List([7, 16), [17, 33), [34, 36)))	TemporalArgument(1966,List([37, 41)))	Spence contested Wakefield in 1964, and Sheffield Heeley in 1966.
0.9105129651916236		SimpleArgument(Spence,List([0, 6)))	Relation(contested,List([7, 16)))	SimpleArgument(Sheffield Heeley,List([17, 33)))	Spence contested Wakefield in 1964, and Sheffield Heeley in 1966.
0.7487987465728897		SimpleArgument(Spence,List([0, 6)))	Relation(contested Wakefield in,List([7, 16), [17, 26), [27, 29)))	TemporalArgument(1964,List([30, 34)))	Spence contested Wakefield in 1964, and Sheffield Heeley in 1966.
0.9105129651916236		SimpleArgument(Spence,List([0, 6)))	Relation(contested,List([7, 16)))	SimpleArgument(Wakefield,List([17, 26)))	Spence contested Wakefield in 1964, and Sheffield Heeley in 1966.
0.8847999636040884		SimpleArgument(He,List([0, 2)))	Relation(was Member of,List([3, 16)))	SimpleArgument(Parliament,List([17, 27)))	He was Member of Parliament for Sheffield Heeley from 1970 to 1974, Thirsk and Malton from 1974 to 1983, and Ryedale from 1983 until he died in office in 1986.
0.15939332484157967		SimpleArgument(he,List([73, 75)))	Relation(died in,List([76, 80), [91, 93)))	TemporalArgument(1986,List([94, 98)))	He was Member of Parliament for Sheffield Heeley from 1970 to 1974, Thirsk and Malton from 1974 to 1983, and Ryedale from 1983 until he died in office in 1986.
0.45170382506656653		SimpleArgument(he,List([73, 75)))	Relation(died in,List([76, 80), [81, 83)))	SpatialArgument(office,List([84, 90)))	He was Member of Parliament for Sheffield Heeley from 1970 to 1974, Thirsk and Malton from 1974 to 1983, and Ryedale from 1983 until he died in office in 1986.
0.22598218974525264		SimpleArgument(He,List([0, 2)))	Relation(was Member of Parliament until,List([3, 6), [7, 27), [67, 72)))	TemporalArgument(he died in office in 1986,List([73, 98)))	He was Member of Parliament for Sheffield Heeley from 1970 to 1974, Thirsk and Malton from 1974 to 1983, and Ryedale from 1983 until he died in office in 1986.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(Member of Parliament,List([7, 27)))	He was Member of Parliament for Sheffield Heeley from 1970 to 1974, Thirsk and Malton from 1974 to 1983, and Ryedale from 1983 until he died in office in 1986.
0.8847999636040884		SimpleArgument(He,List([0, 2)))	Relation(was a member of,List([3, 18)))	SimpleArgument(the Speaker,List([19, 30)))	He was a member of the Speaker's panel of chairmen.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a member of the Speaker's panel of chairmen,List([7, 50)))	He was a member of the Speaker's panel of chairmen.
