0.8847999636040884		SimpleArgument(Matthew Hay ( 1855-1932 ),List([0, 25)))	Relation(was champion of,List([26, 41)))	SimpleArgument(Public Health,List([42, 55)))	Matthew Hay (1855–1932) was a Scottish doctor and champion of Public Health.
0.9445721975409912		SimpleArgument(Matthew Hay,List([0, 11)))	Relation(was,List([26, 29)))	SimpleArgument(champion of Public Health,List([30, 55)))	Matthew Hay (1855–1932) was a Scottish doctor and champion of Public Health.
0.9445721975409912		SimpleArgument(Matthew Hay,List([0, 11)))	Relation(was,List([26, 29)))	SimpleArgument(a Scottish doctor of Public Health,List([30, 64)))	Matthew Hay (1855–1932) was a Scottish doctor and champion of Public Health.
0.9929999709129333		SimpleArgument(He,List([0, 0)))	Relation(was appointed in,List([0, 0)))	SimpleArgument(1888,List(null))	He was appointed Medical Officer of Health for the City of Aberdeen in 1888, a post he held until 1923.
0.7351279940478935		SimpleArgument(a post,List([77, 83)))	Relation(held until,List([87, 91), [92, 97)))	TemporalArgument(1923,List([98, 102)))	He was appointed Medical Officer of Health for the City of Aberdeen in 1888, a post he held until 1923.
0.15939332484157967		SimpleArgument(He,List([0, 2)))	Relation(was appointed Medical Officer of Health in,List([3, 16), [17, 42), [68, 70)))	TemporalArgument(1888,List([71, 75)))	He was appointed Medical Officer of Health for the City of Aberdeen in 1888, a post he held until 1923.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was appointed Medical Officer of Health for,List([3, 16), [17, 42), [43, 46)))	SimpleArgument(the City of Aberdeen,List([47, 67)))	He was appointed Medical Officer of Health for the City of Aberdeen in 1888, a post he held until 1923.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was appointed,List([3, 16)))	SimpleArgument(Medical Officer of Health,List([17, 42)))	He was appointed Medical Officer of Health for the City of Aberdeen in 1888, a post he held until 1923.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was also,List([3, 11)))	SimpleArgument(Professor of Forensic Medicine at the University of Aberdeen,List([12, 72)))	He was also Professor of Forensic Medicine at the University of Aberdeen.
0.38089450366724514		SimpleArgument(Denny,List([35, 40)))	Relation([is] Head [of],List([29, 33)))	SimpleArgument(Hill,List([24, 28)))	Matthew Hay was born at Hill Head, Denny, Stirlingshire on 27 December 1855.
0.9382554258342916		SimpleArgument(Matthew Hay,List([0, 11)))	Relation(was born at,List([12, 20), [21, 23)))	SpatialArgument(Hill Head,List([24, 33)))	Matthew Hay was born at Hill Head, Denny, Stirlingshire on 27 December 1855.
0.7005288659799959		SimpleArgument(His father,List([0, 10)))	Relation(was,List([11, 14)))	SimpleArgument(a colliery owner,List([15, 31)))	His father was a colliery owner.
0.9492443998687922		SimpleArgument(Hay,List([0, 3)))	Relation(attending Dollar Academy before,List([28, 37), [38, 52), [53, 59)))	TemporalArgument(going on to Edinburgh universities , graduating from the University of Edinburgh Medical School with the degree of MB,List([60, 177)))	Hay was academically gifted attending Dollar Academy before going on to Glasgow and Edinburgh universities, graduating from the University of Edinburgh Medical School with the degree of MB, CM with distinction in 1878.
0.9492443998687922		SimpleArgument(Hay,List([0, 3)))	Relation(attending Dollar Academy before,List([28, 37), [38, 52), [53, 59)))	TemporalArgument(going on to Glasgow universities , graduating from the University of Edinburgh Medical School with the degree of MB,List([60, 175)))	Hay was academically gifted attending Dollar Academy before going on to Glasgow and Edinburgh universities, graduating from the University of Edinburgh Medical School with the degree of MB, CM with distinction in 1878.
