0.9530891811355291	Context(Web Pioneer Goes,List([0, 16)))	SimpleArgument(Global One of the pioneers of virtual trade unionism in Australia,List([17, 82)))	Relation(is taking up,List([106, 118)))	SimpleArgument(a prestigious international posting,List([119, 154)))	Web Pioneer Goes Global One of the pioneers of virtual trade unionism in Australia, the CEPU's Dan Dwyer, is taking up a prestigious international posting.
0.7474473876981303		SimpleArgument(Web Pioneer,List([0, 11)))	Relation(Goes,List([12, 16)))		Web Pioneer Goes Global One of the pioneers of virtual trade unionism in Australia, the CEPU's Dan Dwyer, is taking up a prestigious international posting.
0.9210233335200773		SimpleArgument(Dwyer,List([0, 5)))	Relation(has been appointed as,List([67, 85), [86, 88)))	SimpleArgument(the Telecom Director,List([89, 109)))	Dwyer, who has produced the movement's longest-running e-bulletin, has been appointed as the Telecom Director, Asia Pacific Region Union Network International.
0.9064683704715875		SimpleArgument(Dwyer,List([0, 5)))	Relation(has produced,List([11, 23)))	SimpleArgument(the movement's longest-running e-bulletin,List([24, 65)))	Dwyer, who has produced the movement's longest-running e-bulletin, has been appointed as the Telecom Director, Asia Pacific Region Union Network International.
0.3498441627223176		SimpleArgument(I,List({0}))	Relation(will resign from,List([2, 13), [14, 18)))	SimpleArgument(my employed position within CEPU,List([19, 51)))	I have accepted the position and will resign from my employed position within CEPU.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(have accepted,List([2, 15)))	SimpleArgument(the position,List([16, 28)))	I have accepted the position and will resign from my employed position within CEPU.
0.9374058759955192		SimpleArgument(the local trade union movement,List([40, 70)))	Relation(representing,List([71, 83)))	SimpleArgument(Telecom officers,List([84, 100)))	The appointment comes after 16 years in the local trade union movement representing Telecom officers through a series of amalgamations.
0.9030401971054747		SimpleArgument(The appointment,List([0, 15)))	Relation(comes after,List([16, 21), [22, 27)))	TemporalArgument(16 years in the local trade union movement,List([28, 70)))	The appointment comes after 16 years in the local trade union movement representing Telecom officers through a series of amalgamations.
0.44251022175651566	Context(he reckons,List([0, 10)))	SimpleArgument(he,List([11, 13)))	Relation(would have sent about 250 since,List([14, 29), [30, 39), [40, 45)))	TemporalArgument(then ( making Workers Online look like a pup,List([46, 90)))	His first bulletin was sent on 22 May 1996, and he reckons he would have sent about 250 since then (making Workers Online look like a pup!).
0.1886694268496255	Context(he reckons,List([0, 10)))	SimpleArgument(he,List([11, 13)))	Relation(would have sent about,List([14, 29), [30, 35)))	SimpleArgument(250,List([36, 39)))	His first bulletin was sent on 22 May 1996, and he reckons he would have sent about 250 since then (making Workers Online look like a pup!).
0.40861810123888254		SimpleArgument(he,List([0, 2)))	Relation(reckons,List([3, 10)))	SimpleArgument(he would have sent about 250 since then ( making Workers Online look like a pup,List([11, 90)))	His first bulletin was sent on 22 May 1996, and he reckons he would have sent about 250 since then (making Workers Online look like a pup!).
0.7003240400067219		SimpleArgument(His first bulletin,List([0, 18)))	Relation(was sent on,List([19, 27), [28, 30)))	TemporalArgument(22 May 1996,List([31, 42)))	His first bulletin was sent on 22 May 1996, and he reckons he would have sent about 250 since then (making Workers Online look like a pup!).
0.3444876441576043	Context(Dwyer says,List([0, 10)))	SimpleArgument(he,List([34, 36)))	Relation(will continue the struggle of employees in the Telecom areas for safer workplaces in,List([16, 41), [42, 107), [108, 118)))	TemporalArgument(his new role,List([19, 31)))	Dwyer says that in his new role, he will continue the struggle of employees in the Telecom areas for better and safer workplaces.
0.5600415811619095	Context(Dwyer says,List([0, 10)))	SimpleArgument(he,List([34, 36)))	Relation(will continue,List([37, 50)))	SimpleArgument(the struggle of employees in the Telecom areas for safer workplaces,List([51, 118)))	Dwyer says that in his new role, he will continue the struggle of employees in the Telecom areas for better and safer workplaces.
0.9058014127627384		SimpleArgument(Dwyer,List([0, 5)))	Relation(says that,List([6, 10), [11, 15)))	SimpleArgument(in his new role , he will continue the struggle of employees in the Telecom areas for safer workplaces,List([16, 118)))	Dwyer says that in his new role, he will continue the struggle of employees in the Telecom areas for better and safer workplaces.
0.3444876441576043	Context(Dwyer says,List([0, 10)))	SimpleArgument(he,List([34, 36)))	Relation(will continue the struggle of employees in the Telecom areas for better workplaces in,List([16, 41), [42, 108), [109, 119)))	TemporalArgument(his new role,List([19, 31)))	Dwyer says that in his new role, he will continue the struggle of employees in the Telecom areas for better and safer workplaces.
0.5600415811619095	Context(Dwyer says,List([0, 10)))	SimpleArgument(he,List([34, 36)))	Relation(will continue,List([37, 50)))	SimpleArgument(the struggle of employees in the Telecom areas for better workplaces,List([51, 119)))	Dwyer says that in his new role, he will continue the struggle of employees in the Telecom areas for better and safer workplaces.
0.9058014127627384		SimpleArgument(Dwyer,List([0, 5)))	Relation(says that,List([6, 10), [11, 15)))	SimpleArgument(in his new role , he will continue the struggle of employees in the Telecom areas for better workplaces,List([16, 119)))	Dwyer says that in his new role, he will continue the struggle of employees in the Telecom areas for better and safer workplaces.
