0.9404390635940999		SimpleArgument(Sir Peter Michael Williams, CBE, FRS, FREng,List([0, 43)))	Relation(is,List([65, 67)))	SimpleArgument(a British physicist,List([68, 87)))	Sir Peter Michael Williams, CBE, FRS, FREng (born 22 March 1945) is a British physicist.
0.8615585111461579		SimpleArgument(Williams,List([0, 8)))	Relation(completed,List([9, 18)))	SimpleArgument(his PhD with thesis,List([19, 38)))	Williams completed his first degree and PhD with thesis titled Defect structure and luminescent properties of semiconductors at the University of Cambridge, and began an academic career at Selwyn College.
0.8615585111461579		SimpleArgument(Williams,List([0, 8)))	Relation(completed,List([9, 18)))	SimpleArgument(his PhD with,List([19, 31)))	Williams completed his first degree and PhD with thesis titled Defect structure and luminescent properties of semiconductors at the University of Cambridge, and began an academic career at Selwyn College.
0.8691627739576013		SimpleArgument(thesis,List([41, 47)))	Relation(titled at,List([48, 54), [96, 98)))	SpatialArgument(the University of Cambridge,List([99, 126)))	Williams completed his first degree and PhD with thesis titled Defect structure and luminescent properties of semiconductors at the University of Cambridge, and began an academic career at Selwyn College.
0.9105129651916236		SimpleArgument(thesis,List([41, 47)))	Relation(titled,List([48, 54)))	SimpleArgument(Defect structure at the University of Cambridge,List([55, 102)))	Williams completed his first degree and PhD with thesis titled Defect structure and luminescent properties of semiconductors at the University of Cambridge, and began an academic career at Selwyn College.
0.8615585111461579		SimpleArgument(Williams,List([0, 8)))	Relation(completed,List([9, 18)))	SimpleArgument(his first degree with thesis,List([19, 47)))	Williams completed his first degree and PhD with thesis titled Defect structure and luminescent properties of semiconductors at the University of Cambridge, and began an academic career at Selwyn College.
0.9324144673478683		SimpleArgument(Williams,List([0, 8)))	Relation(began,List([9, 14)))	SimpleArgument(an academic career at Selwyn College,List([15, 51)))	Williams completed his first degree and PhD with thesis titled Defect structure and luminescent properties of semiconductors at the University of Cambridge, and began an academic career at Selwyn College.
0.3929209860966329		SimpleArgument(He,List([0, 2)))	Relation(worked at,List([3, 9), [16, 18)))	SpatialArgument(later Oxford Instruments,List([19, 43)))	He then moved to industry and worked first at VG Instruments and later Oxford Instruments.
0.3929209860966329		SimpleArgument(He,List([0, 2)))	Relation(worked at,List([3, 9), [16, 18)))	SpatialArgument(VG Instruments,List([19, 33)))	He then moved to industry and worked first at VG Instruments and later Oxford Instruments.
0.22506131975927415		SimpleArgument(He,List([0, 2)))	Relation(worked,List([3, 9)))	TemporalArgument(first,List([10, 15)))	He then moved to industry and worked first at VG Instruments and later Oxford Instruments.
0.3048426724432105		SimpleArgument(He,List([0, 2)))	Relation(moved to industry,List([8, 13), [14, 25)))	TemporalArgument(then,List([3, 7)))	He then moved to industry and worked first at VG Instruments and later Oxford Instruments.
0.41051436014453063		SimpleArgument(He,List([0, 2)))	Relation(moved to,List([8, 13), [14, 16)))	SimpleArgument(industry,List([17, 25)))	He then moved to industry and worked first at VG Instruments and later Oxford Instruments.
0.8847999636040884		SimpleArgument(He,List([0, 2)))	Relation(was chairman of,List([3, 18)))	SimpleArgument(Oxford Instruments,List([19, 37)))	He was chairman of Oxford Instruments from 1991 until his retirement in 1999.
0.30899953469486874		SimpleArgument(He,List([0, 2)))	Relation(was chairman of Oxford Instruments from,List([3, 6), [7, 37), [38, 42)))	TemporalArgument(1991 until his retirement in 1999,List([43, 76)))	He was chairman of Oxford Instruments from 1991 until his retirement in 1999.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(chairman of Oxford Instruments,List([7, 37)))	He was chairman of Oxford Instruments from 1991 until his retirement in 1999.
0.9438299049610367		SimpleArgument(Sir Peter,List([0, 9)))	Relation(is,List([10, 12)))	SimpleArgument(Chairman of the National Treasurer of the Royal Society,List([23, 78)))	Sir Peter is currently Chairman of the National Physical Laboratory and Vice President and Treasurer of the Royal Society.
0.8122899511540785		SimpleArgument(Sir Peter,List([0, 9)))	Relation(is Chairman of the National Treasurer of the Royal Society,List([10, 12), [23, 78)))	TemporalArgument(currently,List([13, 22)))	Sir Peter is currently Chairman of the National Physical Laboratory and Vice President and Treasurer of the Royal Society.
0.9438299049610367		SimpleArgument(Sir Peter,List([0, 9)))	Relation(is,List([10, 12)))	SimpleArgument(Chairman of the Vice President of the Royal Society,List([23, 74)))	Sir Peter is currently Chairman of the National Physical Laboratory and Vice President and Treasurer of the Royal Society.
0.8122899511540785		SimpleArgument(Sir Peter,List([0, 9)))	Relation(is Chairman of the Vice President of the Royal Society,List([10, 12), [23, 74)))	TemporalArgument(currently,List([13, 22)))	Sir Peter is currently Chairman of the National Physical Laboratory and Vice President and Treasurer of the Royal Society.
0.964218015412694		SimpleArgument(Sir Peter,List([0, 9)))	Relation(is,List([10, 12)))	SimpleArgument(Chairman of the National Physical Laboratory of the Royal Society,List([23, 88)))	Sir Peter is currently Chairman of the National Physical Laboratory and Vice President and Treasurer of the Royal Society.
0.8516554106977434		SimpleArgument(Sir Peter,List([0, 9)))	Relation(is Chairman of the National Physical Laboratory of the Royal Society,List([10, 12), [23, 88)))	TemporalArgument(currently,List([13, 22)))	Sir Peter is currently Chairman of the National Physical Laboratory and Vice President and Treasurer of the Royal Society.
0.5229421046090251		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(Master of St Catherine 's College,List([18, 51)))	He was previously Master of St Catherine's College, Oxford (2000–2002), President of the Institute of Physics (2000–2002), President of the British Association for the Advancement of Science (2002–2003) and Chairman of the UK's Engineering and Technology Board (2001–2006).
0.22015391053105568		SimpleArgument(He,List([0, 2)))	Relation(was Master of St Catherine 's College,List([3, 6), [18, 51)))	TemporalArgument(previously,List([7, 17)))	He was previously Master of St Catherine's College, Oxford (2000–2002), President of the Institute of Physics (2000–2002), President of the British Association for the Advancement of Science (2002–2003) and Chairman of the UK's Engineering and Technology Board (2001–2006).
0.6374109123982287		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(Master of St Catherine 's College , Oxford ( 2000-2002 ) and Chairman of the UK 's Technology Board,List([18, 117)))	He was previously Master of St Catherine's College, Oxford (2000–2002), President of the Institute of Physics (2000–2002), President of the British Association for the Advancement of Science (2002–2003) and Chairman of the UK's Engineering and Technology Board (2001–2006).
0.2724783810037946		SimpleArgument(He,List([0, 2)))	Relation(was Master of St Catherine 's College , Oxford ( 2000-2002 ) and Chairman of the UK 's Technology Board,List([3, 6), [18, 117)))	TemporalArgument(previously,List([7, 17)))	He was previously Master of St Catherine's College, Oxford (2000–2002), President of the Institute of Physics (2000–2002), President of the British Association for the Advancement of Science (2002–2003) and Chairman of the UK's Engineering and Technology Board (2001–2006).
0.38089450366724514		SimpleArgument(Oxford ( 2000-2002,List([54, 72)))	Relation([is] previously Master of,List([7, 27)))	SimpleArgument(St Catherine 's College,List([28, 51)))	He was previously Master of St Catherine's College, Oxford (2000–2002), President of the Institute of Physics (2000–2002), President of the British Association for the Advancement of Science (2002–2003) and Chairman of the UK's Engineering and Technology Board (2001–2006).
0.6374109123982287		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(Master of St Catherine 's College , Oxford ( 2000-2002 ) and Chairman of the UK 's Engineering Board,List([18, 118)))	He was previously Master of St Catherine's College, Oxford (2000–2002), President of the Institute of Physics (2000–2002), President of the British Association for the Advancement of Science (2002–2003) and Chairman of the UK's Engineering and Technology Board (2001–2006).
0.2724783810037946		SimpleArgument(He,List([0, 2)))	Relation(was Master of St Catherine 's College , Oxford ( 2000-2002 ) and Chairman of the UK 's Engineering Board,List([3, 6), [18, 118)))	TemporalArgument(previously,List([7, 17)))	He was previously Master of St Catherine's College, Oxford (2000–2002), President of the Institute of Physics (2000–2002), President of the British Association for the Advancement of Science (2002–2003) and Chairman of the UK's Engineering and Technology Board (2001–2006).
0.9623677033037205		SimpleArgument(a member of the Interacademy Council's Committee to Review the Intergovernmental Panel on Climate Change,List([12, 116)))	Relation(reported in,List([122, 130), [131, 133)))	TemporalArgument(August 2010,List([134, 145)))	He has been a member of the Interacademy Council's Committee to Review the Intergovernmental Panel on Climate Change that reported in August 2010.
0.6138676038426771		SimpleArgument(He,List([0, 2)))	Relation(has been,List([3, 11)))	SimpleArgument(a member of the Interacademy Council's Committee to Review the Intergovernmental Panel on Climate Change,List([12, 116)))	He has been a member of the Interacademy Council's Committee to Review the Intergovernmental Panel on Climate Change that reported in August 2010.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was elected as,List([3, 14), [15, 17)))	SimpleArgument(Fellow of the Royal Academy of Engineering in 1996,List([18, 68)))	He was elected as Fellow of the Royal Academy of Engineering in 1996.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was knighted in,List([3, 15), [16, 18)))	SpatialArgument(the Queen 's Birthday Honours list of 1998,List([19, 61)))	He received the CBE in 1992 and was knighted in the Queen's Birthday Honours list of 1998.
0.22506131975927415		SimpleArgument(He,List([0, 2)))	Relation(received the CBE in,List([3, 11), [12, 19), [20, 22)))	TemporalArgument(1992,List([23, 27)))	He received the CBE in 1992 and was knighted in the Queen's Birthday Honours list of 1998.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(received,List([3, 11)))	SimpleArgument(the CBE,List([12, 19)))	He received the CBE in 1992 and was knighted in the Queen's Birthday Honours list of 1998.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was elected,List([3, 14)))	SimpleArgument(a fellow of the Royal Society in May 1999,List([15, 56)))	He was elected a fellow of the Royal Society in May 1999.
0.8557456177405949		SimpleArgument(Williams,List([8, 16)))	Relation(became the fifth chancellor of the University of Leicester In,List([0, 2), [17, 65), [66, 75)))	TemporalArgument(2005,List([3, 7)))	In 2005 Williams became the fifth chancellor of the University of Leicester.
0.9324144673478683		SimpleArgument(Williams,List([8, 16)))	Relation(became,List([17, 23)))	SimpleArgument(the fifth chancellor of the University of Leicester,List([24, 75)))	In 2005 Williams became the fifth chancellor of the University of Leicester.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was also appointed patron for,List([3, 21), [22, 28), [29, 32)))	TemporalArgument(research at Marie Curie Cancer Care,List([33, 68)))	He was also appointed patron for research at Marie Curie Cancer Care.
