0.9604413350949441		SimpleArgument(a 501(c)(3) nonprofit organization,List([16, 50)))	Relation(headquartered in,List([51, 64), [65, 67)))	SpatialArgument(Montclair,List([68, 77)))	Seed Artists is a 501(c)(3) nonprofit organization headquartered in Montclair, New Jersey.
0.9699974998635915		SimpleArgument(Seed Artists,List([0, 12)))	Relation(is,List([13, 15)))	SimpleArgument(a 501(c)(3) nonprofit organization headquartered in Montclair, New Jersey,List([16, 89)))	Seed Artists is a 501(c)(3) nonprofit organization headquartered in Montclair, New Jersey.
0.852130044887511	Context(Seed used,List([67, 76)))	SimpleArgument(Seed,List([67, 71)))	Relation(used creative music expand musical education among,List([72, 76), [77, 85), [86, 148), [149, 156)))	SpatialArgument(schoolchildren,List([173, 187)))	Founded in Brooklyn by renowned drummer, composer and educator Pheeroan akLaff in 2005, Seed used creative music to bridge gaps between generations and cultures, promote community involvement and expand musical education among schoolchildren.
0.852130044887511	Context(Seed used,List([67, 76)))	SimpleArgument(Seed,List([67, 71)))	Relation(used creative music expand,List([72, 76), [77, 85)))	SimpleArgument(musical education,List([149, 166)))	Founded in Brooklyn by renowned drummer, composer and educator Pheeroan akLaff in 2005, Seed used creative music to bridge gaps between generations and cultures, promote community involvement and expand musical education among schoolchildren.
0.852130044887511	Context(Seed used,List([67, 76)))	SimpleArgument(Seed,List([67, 71)))	Relation(used creative music promote,List([72, 76), [77, 85)))	SimpleArgument(community involvement,List([150, 171)))	Founded in Brooklyn by renowned drummer, composer and educator Pheeroan akLaff in 2005, Seed used creative music to bridge gaps between generations and cultures, promote community involvement and expand musical education among schoolchildren.
0.852130044887511	Context(Seed used,List([51, 60)))	SimpleArgument(Seed,List([51, 55)))	Relation(used creative music expand musical education among,List([56, 60), [61, 69), [70, 132), [133, 140)))	SpatialArgument(schoolchildren,List([157, 171)))	Founded in Brooklyn by renowned drummer, composer and educator Pheeroan akLaff in 2005, Seed used creative music to bridge gaps between generations and cultures, promote community involvement and expand musical education among schoolchildren.
0.852130044887511	Context(Seed used,List([51, 60)))	SimpleArgument(Seed,List([51, 55)))	Relation(used creative music expand,List([56, 60), [61, 69)))	SimpleArgument(musical education,List([133, 150)))	Founded in Brooklyn by renowned drummer, composer and educator Pheeroan akLaff in 2005, Seed used creative music to bridge gaps between generations and cultures, promote community involvement and expand musical education among schoolchildren.
0.852130044887511	Context(Seed used,List([51, 60)))	SimpleArgument(Seed,List([51, 55)))	Relation(used creative music promote,List([56, 60), [61, 69)))	SimpleArgument(community involvement,List([134, 155)))	Founded in Brooklyn by renowned drummer, composer and educator Pheeroan akLaff in 2005, Seed used creative music to bridge gaps between generations and cultures, promote community involvement and expand musical education among schoolchildren.
0.852130044887511	Context(Seed used,List([50, 59)))	SimpleArgument(Seed,List([50, 54)))	Relation(used creative music expand musical education among,List([55, 59), [60, 68), [69, 131), [132, 139)))	SpatialArgument(schoolchildren,List([156, 170)))	Founded in Brooklyn by renowned drummer, composer and educator Pheeroan akLaff in 2005, Seed used creative music to bridge gaps between generations and cultures, promote community involvement and expand musical education among schoolchildren.
0.852130044887511	Context(Seed used,List([50, 59)))	SimpleArgument(Seed,List([50, 54)))	Relation(used creative music expand,List([55, 59), [60, 68)))	SimpleArgument(musical education,List([132, 149)))	Founded in Brooklyn by renowned drummer, composer and educator Pheeroan akLaff in 2005, Seed used creative music to bridge gaps between generations and cultures, promote community involvement and expand musical education among schoolchildren.
0.852130044887511	Context(Seed used,List([50, 59)))	SimpleArgument(Seed,List([50, 54)))	Relation(used creative music promote,List([55, 59), [60, 68)))	SimpleArgument(community involvement,List([133, 154)))	Founded in Brooklyn by renowned drummer, composer and educator Pheeroan akLaff in 2005, Seed used creative music to bridge gaps between generations and cultures, promote community involvement and expand musical education among schoolchildren.
0.8982330273114404		SimpleArgument(Seed,List([50, 54)))	Relation(used creative music to,List([55, 59), [60, 74), [75, 77)))	SimpleArgument(bridge gaps between generations and cultures,List([78, 122)))	Founded in Brooklyn by renowned drummer, composer and educator Pheeroan akLaff in 2005, Seed used creative music to bridge gaps between generations and cultures, promote community involvement and expand musical education among schoolchildren.
0.8982330273114404		SimpleArgument(Seed,List([50, 54)))	Relation(used,List([55, 59)))	SimpleArgument(creative music,List([60, 74)))	Founded in Brooklyn by renowned drummer, composer and educator Pheeroan akLaff in 2005, Seed used creative music to bridge gaps between generations and cultures, promote community involvement and expand musical education among schoolchildren.
