0.9445721975409912		SimpleArgument(Kenneth Lomas,List([0, 13)))	Relation(was,List([48, 51)))	SimpleArgument(a British Labour Party politician,List([52, 85)))	Kenneth Lomas (16 November 1922 – 15 July 2000) was a British Labour Party politician.
0.9485479188231729		SimpleArgument(the Royal Marines 1942-46,List([16, 41)))	Relation(including in,List([42, 51), [52, 54)))	SimpleArgument(the Commando Group,List([55, 73)))	Lomas was educated in Ashton-under-Lyne and served in the Royal Marines 1942–46 including in the Commando Group.
0.9324144673478683		SimpleArgument(Lomas,List([0, 5)))	Relation(served in,List([6, 12), [13, 15)))	SpatialArgument(the Royal Marines 1942-46,List([16, 41)))	Lomas was educated in Ashton-under-Lyne and served in the Royal Marines 1942–46 including in the Commando Group.
0.9324144673478683		SimpleArgument(Lomas,List([0, 5)))	Relation(was educated in,List([6, 18), [19, 21)))	SpatialArgument(Ashton-under-Lyne,List([22, 39)))	Lomas was educated in Ashton-under-Lyne and served in the Royal Marines 1942–46 including in the Commando Group.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(worked for,List([3, 9), [10, 13)))	SimpleArgument(the Union of Allied Workers,List([14, 41)))	He worked for the Union of Shop, Distributive and Allied Workers then as assistant regional organiser of the National Blood Transfusion Service.
0.4907332801074571		SimpleArgument(He,List([0, 2)))	Relation(worked then for,List([3, 9), [10, 13), [40, 44)))	SimpleArgument(the Union of Distributive,List([14, 39)))	He worked for the Union of Shop, Distributive and Allied Workers then as assistant regional organiser of the National Blood Transfusion Service.
0.4907332801074571		SimpleArgument(He,List([0, 2)))	Relation(worked then for,List([3, 9), [10, 13), [32, 36)))	SimpleArgument(the Union of Shop,List([14, 31)))	He worked for the Union of Shop, Distributive and Allied Workers then as assistant regional organiser of the National Blood Transfusion Service.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(branch secretary for the National Union of Public Employees,List([7, 66)))	He was branch secretary for the National Union of Public Employees.
0.9324144673478683		SimpleArgument(Lomas,List([0, 5)))	Relation(contested Blackpool South at,List([6, 15), [16, 31), [32, 34)))	SpatialArgument(Macclesfield,List([35, 47)))	Lomas contested Blackpool South at the 1951 general election and Macclesfield in the 1955 general election.He was elected at the 1964 general election as Member of Parliament (MP) for Huddersfield West, and held the seat until he stood down at the 1979 general election.
0.9537030813373246		SimpleArgument(Blackpool South,List([16, 31)))	Relation(was elected at,List([93, 104), [105, 107)))	SpatialArgument(the 1964 general election as Member of Parliament ( MP ) for Huddersfield West,List([108, 186)))	Lomas contested Blackpool South at the 1951 general election and Macclesfield in the 1955 general election.He was elected at the 1964 general election as Member of Parliament (MP) for Huddersfield West, and held the seat until he stood down at the 1979 general election.
0.9197759696552441		SimpleArgument(Lomas,List([0, 5)))	Relation(contested Blackpool South at,List([6, 15), [16, 31), [32, 34)))	SpatialArgument(the 1951 general election in the 1955 general election.He,List([35, 92)))	Lomas contested Blackpool South at the 1951 general election and Macclesfield in the 1955 general election.He was elected at the 1964 general election as Member of Parliament (MP) for Huddersfield West, and held the seat until he stood down at the 1979 general election.
0.9324144673478683		SimpleArgument(Lomas,List([0, 5)))	Relation(contested,List([6, 15)))	SimpleArgument(Blackpool South,List([16, 31)))	Lomas contested Blackpool South at the 1951 general election and Macclesfield in the 1955 general election.He was elected at the 1964 general election as Member of Parliament (MP) for Huddersfield West, and held the seat until he stood down at the 1979 general election.
0.45170382506656653		SimpleArgument(he,List([26, 28)))	Relation(stood down at,List([29, 39), [40, 42)))	SpatialArgument(the 1979 general election,List([43, 68)))	Lomas contested Blackpool South at the 1951 general election and Macclesfield in the 1955 general election.He was elected at the 1964 general election as Member of Parliament (MP) for Huddersfield West, and held the seat until he stood down at the 1979 general election.
0.8615585111461579		SimpleArgument(Lomas,List([0, 5)))	Relation(held the seat until,List([6, 10), [11, 19), [20, 25)))	TemporalArgument(he stood down at the 1979 general election,List([26, 68)))	Lomas contested Blackpool South at the 1951 general election and Macclesfield in the 1955 general election.He was elected at the 1964 general election as Member of Parliament (MP) for Huddersfield West, and held the seat until he stood down at the 1979 general election.
0.9383119524695255		SimpleArgument(Lomas,List([0, 5)))	Relation(held,List([6, 10)))	SimpleArgument(the seat,List([11, 19)))	Lomas contested Blackpool South at the 1951 general election and Macclesfield in the 1955 general election.He was elected at the 1964 general election as Member of Parliament (MP) for Huddersfield West, and held the seat until he stood down at the 1979 general election.
0.3048426724432105		SimpleArgument(He,List([0, 2)))	Relation(joined the SDP,List([9, 15), [16, 23)))	TemporalArgument(later,List([3, 8)))	He later joined the SDP.
0.45592395356914683		SimpleArgument(He,List([0, 2)))	Relation(joined,List([9, 15)))	SimpleArgument(the SDP,List([16, 23)))	He later joined the SDP.
