0.38089450366724514		SimpleArgument(Development,List([65, 76)))	Relation([is] Professional [of],List([52, 64)))	SimpleArgument(Impact Community Engagement,List([22, 50)))	Academics  Research & Impact  Community Engagement  Professional Development  About  Giving
0.7732359753523991		SimpleArgument(Academics  Research & Impact  Community Engagement  Professional Development,List([0, 76)))	Relation(About Giving,List([78, 91)))		Academics  Research & Impact  Community Engagement  Professional Development  About  Giving
0.8543354090902718		SimpleArgument(Senior Lecturer Educational Policy & Community Studies Florence Johnson,List([0, 71)))	Relation(began,List([122, 127)))	SimpleArgument(her career,List([128, 138)))	Senior Lecturer Educational Policy & Community Studies Florence Johnson, who has been an educator for more than 30 years, began her career as a teacher in Milwaukee Public Schools (MPS) at the Benjamin Franklin Elementary School.
0.9152916859899232		SimpleArgument(Senior Lecturer Educational Policy & Community Studies Florence Johnson,List([0, 71)))	Relation(has been,List([77, 85)))	SimpleArgument(an educator for more than 30 years,List([86, 120)))	Senior Lecturer Educational Policy & Community Studies Florence Johnson, who has been an educator for more than 30 years, began her career as a teacher in Milwaukee Public Schools (MPS) at the Benjamin Franklin Elementary School.
0.45170382506656653		SimpleArgument(her,List([42, 45)))	Relation(to develop,List([46, 56)))	SimpleArgument(skills in strategic planning , grant research,List([57, 102)))	Her commitment to improving education led her to develop skills in strategic planning, grant writing and research.
0.7020398081927577		SimpleArgument(Her commitment to improving education,List([0, 37)))	Relation(led her to,List([38, 41), [42, 45), [46, 48)))	SimpleArgument(develop skills in strategic planning , grant research,List([49, 102)))	Her commitment to improving education led her to develop skills in strategic planning, grant writing and research.
0.45170382506656653		SimpleArgument(her,List([42, 45)))	Relation(to develop,List([46, 56)))	SimpleArgument(skills in strategic planning , grant writing,List([57, 101)))	Her commitment to improving education led her to develop skills in strategic planning, grant writing and research.
0.7020398081927577		SimpleArgument(Her commitment to improving education,List([0, 37)))	Relation(led her to,List([38, 41), [42, 45), [46, 48)))	SimpleArgument(develop skills in strategic planning , grant writing,List([49, 101)))	Her commitment to improving education led her to develop skills in strategic planning, grant writing and research.
0.6291807033365794		SimpleArgument(Her commitment to improving education,List([0, 37)))	Relation(led,List([38, 41)))	SimpleArgument(her,List([42, 45)))	Her commitment to improving education led her to develop skills in strategic planning, grant writing and research.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(has served as,List([4, 14), [15, 17)))	SimpleArgument(MPS director of human relations,List([18, 49)))	She has served as MPS director of human relations; proposal evaluator with the U.S. Office of Education in Washington, D.C.; senior research scientist and director of the National Center for Effective Schools, UW-Madison; and MPS coordinator of parent services.
0.8286661390941203		SimpleArgument(Johnson,List([0, 7)))	Relation(has,List([8, 11)))	SimpleArgument(their impact on academic achievement of students of the relationship of those effects to academic sense of feelings of academic achievement,List([12, 151)))	Johnson has ongoing research interests in school and classroom effects and their impact on academic achievement of students of color, particularly African-American and Hispanic, and the relationship of those effects to academic sense of futility or feelings of hopelessness and academic achievement.
0.8286661390941203		SimpleArgument(Johnson,List([0, 7)))	Relation(has,List([8, 11)))	SimpleArgument(their impact on academic achievement of students of the relationship of those effects to academic sense of feelings of hopelessness,List([12, 143)))	Johnson has ongoing research interests in school and classroom effects and their impact on academic achievement of students of color, particularly African-American and Hispanic, and the relationship of those effects to academic sense of futility or feelings of hopelessness and academic achievement.
0.8286661390941203		SimpleArgument(Johnson,List([0, 7)))	Relation(has,List([8, 11)))	SimpleArgument(their impact on academic achievement of students of the relationship of those effects to academic sense of futility,List([12, 127)))	Johnson has ongoing research interests in school and classroom effects and their impact on academic achievement of students of color, particularly African-American and Hispanic, and the relationship of those effects to academic sense of futility or feelings of hopelessness and academic achievement.
0.9085499454025062		SimpleArgument(Johnson,List([0, 7)))	Relation(has,List([8, 11)))	SimpleArgument(their impact on academic achievement of students of Hispanic,List([12, 72)))	Johnson has ongoing research interests in school and classroom effects and their impact on academic achievement of students of color, particularly African-American and Hispanic, and the relationship of those effects to academic sense of futility or feelings of hopelessness and academic achievement.
