0.8847641879927497		SimpleArgument(Medicine PS,List([15, 26)))	Relation([is] Family [of],List([8, 14)))	SimpleArgument(Cascade,List([0, 7)))	Cascade Family Medicine PS
0.48903187625367955		SimpleArgument(Our mission,List([0, 11)))	Relation(is to,List([12, 14), [15, 17)))	SimpleArgument(serve our patients in a kind manner with respect,List([18, 66)))	Our mission is to serve our patients in a courteous, professional and kind manner with dignity and respect.
0.48903187625367955		SimpleArgument(Our mission,List([0, 11)))	Relation(is to,List([12, 14), [15, 17)))	SimpleArgument(serve our patients in a kind manner with dignity,List([18, 66)))	Our mission is to serve our patients in a courteous, professional and kind manner with dignity and respect.
0.48903187625367955		SimpleArgument(Our mission,List([0, 11)))	Relation(is to,List([12, 14), [15, 17)))	SimpleArgument(serve our patients in a professional manner with respect,List([18, 74)))	Our mission is to serve our patients in a courteous, professional and kind manner with dignity and respect.
0.48903187625367955		SimpleArgument(Our mission,List([0, 11)))	Relation(is to,List([12, 14), [15, 17)))	SimpleArgument(serve our patients in a professional manner with dignity,List([18, 74)))	Our mission is to serve our patients in a courteous, professional and kind manner with dignity and respect.
0.48903187625367955		SimpleArgument(Our mission,List([0, 11)))	Relation(is to,List([12, 14), [15, 17)))	SimpleArgument(serve our patients in a courteous manner with respect,List([18, 71)))	Our mission is to serve our patients in a courteous, professional and kind manner with dignity and respect.
0.48903187625367955		SimpleArgument(Our mission,List([0, 11)))	Relation(is to,List([12, 14), [15, 17)))	SimpleArgument(serve our patients in a courteous manner with dignity,List([18, 71)))	Our mission is to serve our patients in a courteous, professional and kind manner with dignity and respect.
0.39746064682094406	Context(We seek,List([0, 7)))	SimpleArgument(We,List([0, 2)))	Relation(seek to offer,List([3, 7), [8, 16)))	SimpleArgument(the best possible medical care,List([17, 47)))	We value long term relationships with our patients and seek to offer the best possible medical care with minimal discomfort.
0.39746064682094406		SimpleArgument(We,List([0, 2)))	Relation(seek to,List([3, 7), [8, 10)))	SimpleArgument(offer the best possible medical care with minimal discomfort,List([11, 71)))	We value long term relationships with our patients and seek to offer the best possible medical care with minimal discomfort.
0.30899953469486874		SimpleArgument(We,List([0, 2)))	Relation(value,List([3, 8)))	SimpleArgument(long term relationships with our patients,List([9, 50)))	We value long term relationships with our patients and seek to offer the best possible medical care with minimal discomfort.
0.6381012045821894		SimpleArgument(our patients,List([54, 66)))	Relation(can enjoy,List([67, 76)))	SimpleArgument(a lifetime of good health,List([77, 102)))	To promote regular preventative care in our office and at home so our patients can enjoy a lifetime of good health.
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(provide,List([3, 10)))	SimpleArgument(wellness exams for pilot FAA exams,List([11, 45)))	We provide wellness exams for children and adults, acute care, and pilot FAA exams.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(provide wellness exams for,List([3, 10), [11, 25), [26, 29)))	SimpleArgument(, acute care,List([30, 42)))	We provide wellness exams for children and adults, acute care, and pilot FAA exams.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(provide wellness exams for,List([3, 10), [11, 25), [26, 29)))	SimpleArgument(adults,List([30, 36)))	We provide wellness exams for children and adults, acute care, and pilot FAA exams.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(provide,List([3, 10)))	SimpleArgument(wellness exams,List([11, 25)))	We provide wellness exams for children and adults, acute care, and pilot FAA exams.
0.41051436014453063		SimpleArgument(We,List([0, 2)))	Relation(in caring for,List([19, 28), [29, 32)))	SimpleArgument(patients with many chronic conditions including arthritis,List([33, 90)))	We are experienced in caring for patients with many chronic conditions including hypertension, diabetes, COPD, asthma, allergies, and arthritis.
0.41051436014453063		SimpleArgument(We,List([0, 2)))	Relation(in caring for,List([19, 28), [29, 32)))	SimpleArgument(patients with many chronic conditions including allergies,List([33, 90)))	We are experienced in caring for patients with many chronic conditions including hypertension, diabetes, COPD, asthma, allergies, and arthritis.
0.41051436014453063		SimpleArgument(We,List([0, 2)))	Relation(in caring for,List([19, 28), [29, 32)))	SimpleArgument(patients with many chronic conditions including asthma,List([33, 87)))	We are experienced in caring for patients with many chronic conditions including hypertension, diabetes, COPD, asthma, allergies, and arthritis.
