0.9250606141558615		SimpleArgument(a daily newspaper,List([23, 40)))	Relation(based in,List([41, 46), [47, 49)))	SpatialArgument(Kennewick, Washington, in the United States,List([50, 93)))	The Tri-City Herald is a daily newspaper based in Kennewick, Washington, in the United States.
0.9726855614196764		SimpleArgument(The Tri-City Herald,List([0, 19)))	Relation(is,List([20, 22)))	SimpleArgument(a daily newspaper based in Kennewick, Washington, in the United States,List([23, 93)))	The Tri-City Herald is a daily newspaper based in Kennewick, Washington, in the United States.
0.9180804252893389		SimpleArgument(the newspaper,List([33, 46)))	Relation(serves,List([47, 53)))	SimpleArgument(southeastern Washington,List([54, 77)))	Owned by The McClatchy Company, the newspaper serves southeastern Washington, including the three communities of Pasco, Kennewick, and Richland (Tri-Cities).
0.8797652531099371		SimpleArgument(The paper,List([0, 9)))	Relation(was founded as,List([10, 21), [30, 32)))	SimpleArgument(the weekly Pasco Herald,List([33, 56)))	The paper was founded in 1918 as the weekly Pasco Herald.
0.7665350501724939		SimpleArgument(The paper,List([0, 9)))	Relation(was founded in,List([10, 21), [22, 24)))	TemporalArgument(1918,List([25, 29)))	The paper was founded in 1918 as the weekly Pasco Herald.
0.8638966457783381	Context(Robert Philip converted,List([10, 33)))	SimpleArgument(Robert Philip,List([10, 23)))	Relation(converted it coining,List([24, 33), [34, 36)))	SimpleArgument(the name,List([82, 90)))	In 1947, Glenn C. Lee and Robert Philip bought the paper, moved it to Kennewick and converted it into the area's first daily paper, coining the name 'Tri-Cities' as part of the paper's name.
0.8341686642684243		SimpleArgument(Robert Philip,List([10, 23)))	Relation(converted it In,List([0, 2), [24, 33), [34, 36)))	TemporalArgument(1947,List([3, 7)))	In 1947, Glenn C. Lee and Robert Philip bought the paper, moved it to Kennewick and converted it into the area's first daily paper, coining the name 'Tri-Cities' as part of the paper's name.
0.9067325661703171		SimpleArgument(Robert Philip,List([10, 23)))	Relation(converted it into,List([24, 33), [34, 36), [37, 41)))	SimpleArgument(the area 's first daily paper,List([42, 71)))	In 1947, Glenn C. Lee and Robert Philip bought the paper, moved it to Kennewick and converted it into the area's first daily paper, coining the name 'Tri-Cities' as part of the paper's name.
0.8406891599730786		SimpleArgument(Robert Philip,List([10, 23)))	Relation(converted,List([24, 33)))	SimpleArgument(it,List([34, 36)))	In 1947, Glenn C. Lee and Robert Philip bought the paper, moved it to Kennewick and converted it into the area's first daily paper, coining the name 'Tri-Cities' as part of the paper's name.
0.8780037064600699		SimpleArgument(Glenn C. Lee,List([10, 22)))	Relation(converted it In,List([0, 2), [23, 32), [33, 35)))	TemporalArgument(1947,List([3, 7)))	In 1947, Glenn C. Lee and Robert Philip bought the paper, moved it to Kennewick and converted it into the area's first daily paper, coining the name 'Tri-Cities' as part of the paper's name.
0.9329286852051247		SimpleArgument(Glenn C. Lee,List([10, 22)))	Relation(converted it into,List([23, 32), [33, 35), [36, 40)))	SimpleArgument(the area 's first daily paper,List([41, 70)))	In 1947, Glenn C. Lee and Robert Philip bought the paper, moved it to Kennewick and converted it into the area's first daily paper, coining the name 'Tri-Cities' as part of the paper's name.
