0.949419443712137		SimpleArgument(John Frank Austin,List([0, 17)))	Relation(was,List([47, 50)))	SimpleArgument(an English professional footballer,List([51, 85)))	John Frank Austin (6 July 1933 – 14 July 2004) was an English professional footballer.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(represented,List([3, 14)))	SimpleArgument(England,List([15, 22)))	He played as a full-back and represented England as a schoolboy.
0.1948871917044894		SimpleArgument(He,List([0, 2)))	Relation(played,List([3, 9)))		He played as a full-back and represented England as a schoolboy.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was born in,List([3, 11), [12, 14)))	SpatialArgument(Stoke-on-Trent,List([15, 29)))	He was born in Stoke-on-Trent.
0.2743125465364158		SimpleArgument(he,List([106, 108)))	Relation(to wait until,List([113, 120), [121, 126)))	TemporalArgument(the 1952-53 season for his league debut,List([127, 166)))	Frank Austin began his career as a junior with Coventry City, turning professional in July 1950, although he had to wait until the 1952–53 season for his league debut.
0.9277724913494431		SimpleArgument(Frank Austin,List([0, 12)))	Relation(turning professional in,List([62, 69), [70, 82), [83, 85)))	TemporalArgument(July 1950,List([86, 95)))	Frank Austin began his career as a junior with Coventry City, turning professional in July 1950, although he had to wait until the 1952–53 season for his league debut.
0.7900566639584307		SimpleArgument(Frank Austin,List([0, 12)))	Relation(turning,List([62, 69)))	SimpleArgument(professional,List([70, 82)))	Frank Austin began his career as a junior with Coventry City, turning professional in July 1950, although he had to wait until the 1952–53 season for his league debut.
0.8726869446304376		SimpleArgument(Frank Austin,List([0, 12)))	Relation(began,List([13, 18)))	SimpleArgument(his career,List([19, 29)))	Frank Austin began his career as a junior with Coventry City, turning professional in July 1950, although he had to wait until the 1952–53 season for his league debut.
0.332563478582812	Context(he played,List([0, 9)))	SimpleArgument(he,List([0, 2)))	Relation(played a total of 302 league games scoring as,List([3, 9), {10}, [12, 17)))	TemporalArgument(Coventry rose through the divisions,List([57, 92)))	His career at Coventry spanned over 12 years and he played a total of 302 league games, scoring twice as Coventry rose through the divisions.
0.1273814832686296	Context(he played,List([0, 9)))	SimpleArgument(he,List([0, 2)))	Relation(played a total of 302 league games scoring,List([3, 9), {10}))	TemporalArgument(twice,List([48, 53)))	His career at Coventry spanned over 12 years and he played a total of 302 league games, scoring twice as Coventry rose through the divisions.
0.3880890333449538		SimpleArgument(he,List([0, 2)))	Relation(played,List([3, 9)))	SimpleArgument(a total of 302 league games,List([10, 37)))	His career at Coventry spanned over 12 years and he played a total of 302 league games, scoring twice as Coventry rose through the divisions.
0.9197759696552441		SimpleArgument(Coventry,List([57, 65)))	Relation(rose through,List([66, 70), [71, 78)))	SimpleArgument(the divisions,List([79, 92)))	His career at Coventry spanned over 12 years and he played a total of 302 league games, scoring twice as Coventry rose through the divisions.
0.9990000128746033		SimpleArgument(His career at Coventry,List([0, 0)))	Relation(spanned,List([0, 0)))	SimpleArgument(over 12 years,List(null))	His career at Coventry spanned over 12 years and he played a total of 302 league games, scoring twice as Coventry rose through the divisions.
0.7436194727230705		SimpleArgument(His career at Coventry,List([0, 22)))	Relation(spanned over,List([23, 30), [31, 35)))	SimpleArgument(12 years,List([36, 44)))	His career at Coventry spanned over 12 years and he played a total of 302 league games, scoring twice as Coventry rose through the divisions.
0.5926659981335703		SimpleArgument(he,List([16, 18)))	Relation(moved only as a stand - in for George Allen In,List([0, 24), [25, 56), [57, 62)))	TemporalArgument(January 1963,List([3, 15)))	In January 1963 he moved to Torquay United, making his debut on 18 March in a 1–0 defeat away to Newport County, but only as a stand-in for George Allen.
0.4978219019954182		SimpleArgument(he,List([16, 18)))	Relation(moved only as,List([19, 29), [30, 32)))	SimpleArgument(a stand - in for George Allen,List([33, 62)))	In January 1963 he moved to Torquay United, making his debut on 18 March in a 1–0 defeat away to Newport County, but only as a stand-in for George Allen.
0.3536345617184334		SimpleArgument(he,List([16, 18)))	Relation(making in,List([45, 51), [74, 76)))	SpatialArgument(a 1-0 defeat away to Newport County,List([77, 112)))	In January 1963 he moved to Torquay United, making his debut on 18 March in a 1–0 defeat away to Newport County, but only as a stand-in for George Allen.
0.3536345617184334		SimpleArgument(he,List([16, 18)))	Relation(making on,List([45, 51), [62, 64)))	TemporalArgument(18 March,List([65, 73)))	In January 1963 he moved to Torquay United, making his debut on 18 March in a 1–0 defeat away to Newport County, but only as a stand-in for George Allen.
0.2743125465364158		SimpleArgument(he,List([16, 18)))	Relation(making,List([45, 51)))	SimpleArgument(his debut,List([52, 61)))	In January 1963 he moved to Torquay United, making his debut on 18 March in a 1–0 defeat away to Newport County, but only as a stand-in for George Allen.
0.5926659981335703		SimpleArgument(he,List([16, 18)))	Relation(moved to Torquay United In,List([0, 2), [19, 35), [36, 42)))	TemporalArgument(January 1963,List([3, 15)))	In January 1963 he moved to Torquay United, making his debut on 18 March in a 1–0 defeat away to Newport County, but only as a stand-in for George Allen.
0.4978219019954182		SimpleArgument(he,List([16, 18)))	Relation(moved to,List([19, 24), [25, 27)))	SimpleArgument(Torquay United,List([28, 42)))	In January 1963 he moved to Torquay United, making his debut on 18 March in a 1–0 defeat away to Newport County, but only as a stand-in for George Allen.
0.5337666212575038		SimpleArgument(He,List([0, 2)))	Relation(had,List([3, 6)))	SimpleArgument(more success the following season, missing only one of the first 23 games before losing his place to Ray Spencer,List([7, 119)))	He had more success the following season, missing only one of the first 23 games before losing his place to Ray Spencer.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(joined,List([3, 9)))	SimpleArgument(non-league Chelmsford City,List([10, 36)))	He left Plainmoor without making any further appearances and joined non-league Chelmsford City.
0.3880890333449538	Context(He left,List([0, 7)))	SimpleArgument(He,List([0, 2)))	Relation(left Plainmoor without making,List([3, 7), [8, 25)))	SimpleArgument(any further appearances,List([33, 56)))	He left Plainmoor without making any further appearances and joined non-league Chelmsford City.
0.5031023801911841		SimpleArgument(He,List([0, 2)))	Relation(left,List([3, 7)))	SimpleArgument(Plainmoor,List([8, 17)))	He left Plainmoor without making any further appearances and joined non-league Chelmsford City.
