0.2430782868395426		SimpleArgument(we,List([11, 13)))	Relation(do,List([14, 16)))		Home  What we do  About  Clients  Contact Us     OUR TEAM Back to Our Team
0.7972213592045724		SimpleArgument(GILI DARMER CARLSON Director of Media Planning Director of Media Planning Gili,List([0, 78)))	Relation(was born in,List([79, 87), [106, 108)))	TemporalArgument(1971,List([109, 113)))	GILI DARMER CARLSON Director of Media Planning Director of Media Planning Gili was born in Haifa, Israel, in 1971.
0.9536048282938727		SimpleArgument(GILI DARMER CARLSON Director of Media Planning Director of Media Planning Gili,List([0, 78)))	Relation(was born in,List([79, 87), [88, 90)))	SpatialArgument(Haifa,List([91, 96)))	GILI DARMER CARLSON Director of Media Planning Director of Media Planning Gili was born in Haifa, Israel, in 1971.
0.31264665573320355		SimpleArgument(she,List([40, 43)))	Relation(to further,List([70, 80)))	SimpleArgument(her education in Art History,List([81, 109)))	After serving in the Israeli Air Force, she moved to Los Angeles, CA, to further her education in Art History.
0.5926659981335703		SimpleArgument(she,List([40, 43)))	Relation(moved to Los Angeles After,List([0, 5), [44, 56), [57, 64)))	TemporalArgument(serving in the Israeli Air Force,List([6, 38)))	After serving in the Israeli Air Force, she moved to Los Angeles, CA, to further her education in Art History.
0.2599819742892717		SimpleArgument(she,List([40, 43)))	Relation(moved to Los Angeles to,List([44, 49), [50, 64), [70, 72)))	SimpleArgument(further her education in Art History,List([73, 109)))	After serving in the Israeli Air Force, she moved to Los Angeles, CA, to further her education in Art History.
0.4978219019954182		SimpleArgument(she,List([40, 43)))	Relation(moved to,List([44, 49), [50, 52)))	SimpleArgument(Los Angeles,List([53, 64)))	After serving in the Israeli Air Force, she moved to Los Angeles, CA, to further her education in Art History.
0.45170382506656653		SimpleArgument(she,List([10, 13)))	Relation(established her expertise in,List([14, 25), [26, 39), [40, 42)))	SpatialArgument(clothing management,List([43, 62)))	In 1995, she entered the world of fashion and established her expertise in clothing manufacturing, merchandising, graphics and management.
0.45170382506656653		SimpleArgument(she,List([10, 13)))	Relation(established her expertise in,List([14, 25), [26, 39), [40, 42)))	SpatialArgument(clothing graphics,List([43, 60)))	In 1995, she entered the world of fashion and established her expertise in clothing manufacturing, merchandising, graphics and management.
0.45170382506656653		SimpleArgument(she,List([10, 13)))	Relation(established her expertise in,List([14, 25), [26, 39), [40, 42)))	SpatialArgument(clothing merchandising,List([43, 65)))	In 1995, she entered the world of fashion and established her expertise in clothing manufacturing, merchandising, graphics and management.
0.29886655727758943		SimpleArgument(she,List([10, 13)))	Relation(established her expertise In,List([0, 2), [14, 29), [30, 39)))	TemporalArgument(1995,List([3, 7)))	In 1995, she entered the world of fashion and established her expertise in clothing manufacturing, merchandising, graphics and management.
0.45170382506656653		SimpleArgument(she,List([10, 13)))	Relation(established her expertise in,List([14, 25), [26, 39), [40, 42)))	SpatialArgument(clothing manufacturing,List([43, 65)))	In 1995, she entered the world of fashion and established her expertise in clothing manufacturing, merchandising, graphics and management.
0.30899953469486874		SimpleArgument(she,List([10, 13)))	Relation(established,List([14, 25)))	SimpleArgument(her expertise,List([26, 39)))	In 1995, she entered the world of fashion and established her expertise in clothing manufacturing, merchandising, graphics and management.
0.29886655727758943		SimpleArgument(she,List([10, 13)))	Relation(entered the world of fashion In,List([0, 2), [14, 34), [35, 42)))	TemporalArgument(1995,List([3, 7)))	In 1995, she entered the world of fashion and established her expertise in clothing manufacturing, merchandising, graphics and management.
0.45170382506656653		SimpleArgument(she,List([10, 13)))	Relation(entered,List([14, 21)))	SimpleArgument(the world of fashion,List([22, 42)))	In 1995, she entered the world of fashion and established her expertise in clothing manufacturing, merchandising, graphics and management.
0.8872626343557611		SimpleArgument(Gili,List([10, 14)))	Relation(joined The J Media Group 's Los Angeles grew into her current position as Office Manager In,List([0, 2), [15, 95), [96, 103)))	TemporalArgument(2005,List([3, 7)))	In 2005, Gili joined The J Media Group's Los Angeles office as a Scheduler and grew into her current position as both Media Planner and Office Manager.
0.9231320349505967		SimpleArgument(Gili,List([10, 14)))	Relation(joined,List([15, 21)))	SimpleArgument(The J Media Group 's Los Angeles grew into her current position as Office Manager,List([22, 103)))	In 2005, Gili joined The J Media Group's Los Angeles office as a Scheduler and grew into her current position as both Media Planner and Office Manager.
0.8872626343557611		SimpleArgument(Gili,List([10, 14)))	Relation(joined The J Media Group 's Los Angeles grew into her current position as both Media Planner In,List([0, 2), [15, 99), [100, 107)))	TemporalArgument(2005,List([3, 7)))	In 2005, Gili joined The J Media Group's Los Angeles office as a Scheduler and grew into her current position as both Media Planner and Office Manager.
0.9231320349505967		SimpleArgument(Gili,List([10, 14)))	Relation(joined,List([15, 21)))	SimpleArgument(The J Media Group 's Los Angeles grew into her current position as both Media Planner,List([22, 107)))	In 2005, Gili joined The J Media Group's Los Angeles office as a Scheduler and grew into her current position as both Media Planner and Office Manager.
0.8872626343557611		SimpleArgument(Gili,List([10, 14)))	Relation(joined The J Media Group 's Los Angeles office In,List([0, 2), [15, 54), [55, 61)))	TemporalArgument(2005,List([3, 7)))	In 2005, Gili joined The J Media Group's Los Angeles office as a Scheduler and grew into her current position as both Media Planner and Office Manager.
0.9481947648689547		SimpleArgument(Gili,List([10, 14)))	Relation(joined The J Media Group 's Los Angeles office as,List([15, 21), [22, 61), [62, 64)))	SimpleArgument(a Scheduler,List([65, 76)))	In 2005, Gili joined The J Media Group's Los Angeles office as a Scheduler and grew into her current position as both Media Planner and Office Manager.
0.9324144673478683		SimpleArgument(Gili,List([10, 14)))	Relation(joined,List([15, 21)))	SimpleArgument(The J Media Group 's Los Angeles office,List([22, 61)))	In 2005, Gili joined The J Media Group's Los Angeles office as a Scheduler and grew into her current position as both Media Planner and Office Manager.
0.3498441627223176		SimpleArgument(She,List([0, 3)))	Relation(resides in,List([4, 11), [12, 14)))	SimpleArgument(Sherman Oaks , California , with her Raz,List([15, 55)))	She resides in Sherman Oaks, California, with her partner, Steven, daughter, Raz, and dogs, .
0.3853208301752743		SimpleArgument(Steven,List([62, 68)))	Relation([is] partner [of],List([52, 59)))	SimpleArgument(hers,List([48, 51)))	She resides in Sherman Oaks, California, with her partner, Steven, daughter, Raz, and dogs, .
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(resides in,List([4, 11), [12, 14)))	SimpleArgument(Sherman Oaks,List([15, 27)))	She resides in Sherman Oaks, California, with her partner, Steven, daughter, Raz, and dogs, .
