0.9339862216393666		SimpleArgument(a career Banker,List([5, 20)))	Relation(spans over,List([38, 43), [44, 48)))	SimpleArgument(22 years in Retail Banking,List([49, 75)))	I am a career Banker whose experience spans over 22 years in Retail Banking.
0.5680679595514976		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(a career Banker,List([5, 20)))	I am a career Banker whose experience spans over 22 years in Retail Banking.
0.8841701665203853		SimpleArgument(the period,List([7, 17)))	Relation(acquired,List([20, 28)))	SimpleArgument(I,List({18}))	During the period I acquired expertise in Retail Banking operations including setting up a Bank and Branch start up, business development and relationship management as well as running the operations.
0.5508709715731925		SimpleArgument(I,List({18}))	Relation(acquired expertise,List([20, 28), [29, 38)))	TemporalArgument(the period,List([7, 17)))	During the period I acquired expertise in Retail Banking operations including setting up a Bank and Branch start up, business development and relationship management as well as running the operations.
0.4978219019954182		SimpleArgument(I,List({18}))	Relation(acquired expertise in,List([20, 28), [29, 38), [39, 41)))	SpatialArgument(Retail Banking operations,List([42, 67)))	During the period I acquired expertise in Retail Banking operations including setting up a Bank and Branch start up, business development and relationship management as well as running the operations.
0.45170382506656653		SimpleArgument(I,List({18}))	Relation(acquired,List([20, 28)))	SimpleArgument(expertise,List([29, 38)))	During the period I acquired expertise in Retail Banking operations including setting up a Bank and Branch start up, business development and relationship management as well as running the operations.
0.41051436014453063		SimpleArgument(I,List({19}))	Relation(acquired skills in,List([26, 34), [35, 41), [42, 44)))	SimpleArgument(project customer care,List([45, 66)))	During this period I also acquired skills in project management, leadership, effective communication and customer care.
0.41051436014453063		SimpleArgument(I,List({19}))	Relation(acquired skills in,List([26, 34), [35, 41), [42, 44)))	SimpleArgument(project leadership,List([45, 63)))	During this period I also acquired skills in project management, leadership, effective communication and customer care.
0.547338059826203		SimpleArgument(I,List({19}))	Relation(acquired skills During,List([0, 6), [26, 34), [35, 41)))	TemporalArgument(this period,List([7, 18)))	During this period I also acquired skills in project management, leadership, effective communication and customer care.
0.41051436014453063		SimpleArgument(I,List({19}))	Relation(acquired skills in,List([26, 34), [35, 41), [42, 44)))	SimpleArgument(project management,List([45, 63)))	During this period I also acquired skills in project management, leadership, effective communication and customer care.
0.41051436014453063		SimpleArgument(I,List({19}))	Relation(acquired,List([26, 34)))	SimpleArgument(skills,List([35, 41)))	During this period I also acquired skills in project management, leadership, effective communication and customer care.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(grew within the organization to,List([2, 6), [7, 30), [31, 33)))	SimpleArgument(supervisor level,List([34, 50)))	I started my banking career with Zimbank (now ZB bank) in 1990 as an entry level clerk and grew within the organization to supervisor level.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(grew within,List([2, 6), [7, 13)))	SimpleArgument(the organization,List([14, 30)))	I started my banking career with Zimbank (now ZB bank) in 1990 as an entry level clerk and grew within the organization to supervisor level.
0.15939332484157967		SimpleArgument(I,List({0}))	Relation(started my banking career in,List([2, 9), [10, 27), [57, 59)))	TemporalArgument(1990,List([60, 64)))	I started my banking career with Zimbank (now ZB bank) in 1990 as an entry level clerk and grew within the organization to supervisor level.
