0.5680679595514976		SimpleArgument(It,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(part of the Forzani Group,List([6, 31)))	It is part of the Forzani Group.
0.681898541880026		SimpleArgument(Sports Experts,List([0, 14)))	Relation(was purchased in,List([15, 28), [40, 42)))	TemporalArgument(1981,List([43, 47)))	Sports Experts was independently founded in 1967, but purchased by Provigo in 1981.
0.9180804252893389		SimpleArgument(Sports Experts,List([0, 14)))	Relation(was purchased by,List([15, 28), [29, 31)))	SimpleArgument(Provigo,List([32, 39)))	Sports Experts was independently founded in 1967, but purchased by Provigo in 1981.
0.7665350501724939		SimpleArgument(Sports Experts,List([0, 14)))	Relation(was independently founded in,List([15, 40), [41, 43)))	TemporalArgument(1967,List([44, 48)))	Sports Experts was independently founded in 1967, but purchased by Provigo in 1981.
0.9267899601589662		SimpleArgument(a sporting - goods chain,List([106, 130)))	Relation(had established a presence in,List([144, 159), [160, 170), [171, 173)))	SpatialArgument(many major Ontario shopping malls,List([174, 207)))	Sports Experts' breakthrough success came in 1985 when it merged with sports retailer Arlington Sports, a sporting-goods chain that already had established a presence in many major Quebec and Ontario shopping malls.
0.8688484304625774		SimpleArgument(a sporting - goods chain,List([106, 130)))	Relation(had established a presence,List([144, 159), [160, 170)))	TemporalArgument(already,List([136, 143)))	Sports Experts' breakthrough success came in 1985 when it merged with sports retailer Arlington Sports, a sporting-goods chain that already had established a presence in many major Quebec and Ontario shopping malls.
0.9267899601589662		SimpleArgument(a sporting - goods chain,List([106, 130)))	Relation(had established a presence in,List([144, 159), [160, 170), [171, 173)))	SpatialArgument(many major Quebec shopping malls,List([174, 206)))	Sports Experts' breakthrough success came in 1985 when it merged with sports retailer Arlington Sports, a sporting-goods chain that already had established a presence in many major Quebec and Ontario shopping malls.
0.913197594301744		SimpleArgument(a sporting - goods chain,List([106, 130)))	Relation(had established,List([144, 159)))	SimpleArgument(a presence,List([160, 170)))	Sports Experts' breakthrough success came in 1985 when it merged with sports retailer Arlington Sports, a sporting-goods chain that already had established a presence in many major Quebec and Ontario shopping malls.
0.4978219019954182		SimpleArgument(it,List([56, 58)))	Relation(merged with,List([59, 65), [66, 70)))	SimpleArgument(sports retailer Arlington Sports,List([71, 103)))	Sports Experts' breakthrough success came in 1985 when it merged with sports retailer Arlington Sports, a sporting-goods chain that already had established a presence in many major Quebec and Ontario shopping malls.
0.860164940501411		SimpleArgument(Experts ' breakthrough success,List([7, 37)))	Relation(came,List([38, 42)))	TemporalArgument(when it merged with sports retailer Arlington Sports,List([51, 103)))	Sports Experts' breakthrough success came in 1985 when it merged with sports retailer Arlington Sports, a sporting-goods chain that already had established a presence in many major Quebec and Ontario shopping malls.
0.7993302626692174		SimpleArgument(Experts ' breakthrough success,List([7, 37)))	Relation(came in,List([38, 42), [43, 45)))	TemporalArgument(1985,List([46, 50)))	Sports Experts' breakthrough success came in 1985 when it merged with sports retailer Arlington Sports, a sporting-goods chain that already had established a presence in many major Quebec and Ontario shopping malls.
