0.9314904193639496		SimpleArgument(a broadcast media company,List([27, 52)))	Relation(based in,List([53, 58), [59, 61)))	SpatialArgument(Dallas,List([62, 68)))	Hoak Media Corporation was a broadcast media company based in Dallas, Texas.
0.9569065201547587		SimpleArgument(Hoak Media Corporation,List([0, 22)))	Relation(was,List([23, 26)))	SimpleArgument(a broadcast media company based in Dallas, Texas,List([27, 75)))	Hoak Media Corporation was a broadcast media company based in Dallas, Texas.
0.8592111619294878		SimpleArgument(Hoak,List([0, 4)))	Relation(owned eighteen Colorado,List([10, 15), [16, 33)))	TemporalArgument(once,List([5, 9)))	Hoak once owned eighteen television stations (including satellites), all in medium and small-markets, mostly in the Great Plains states and Colorado.
0.9210233335200773		SimpleArgument(Hoak,List([0, 4)))	Relation(owned,List([10, 15)))	SimpleArgument(eighteen Colorado,List([16, 33)))	Hoak once owned eighteen television stations (including satellites), all in medium and small-markets, mostly in the Great Plains states and Colorado.
0.8592111619294878		SimpleArgument(Hoak,List([0, 4)))	Relation(owned eighteen states,List([10, 15), [16, 31)))	TemporalArgument(once,List([5, 9)))	Hoak once owned eighteen television stations (including satellites), all in medium and small-markets, mostly in the Great Plains states and Colorado.
0.9064683704715875		SimpleArgument(Hoak,List([0, 4)))	Relation(owned,List([10, 15)))	SimpleArgument(eighteen states,List([16, 31)))	Hoak once owned eighteen television stations (including satellites), all in medium and small-markets, mostly in the Great Plains states and Colorado.
0.8592111619294878		SimpleArgument(Hoak,List([0, 4)))	Relation(owned eighteen television stations ( including satellites ) , all in medium and small - markets , mostly in the Great Plains,List([10, 15), [16, 134)))	TemporalArgument(once,List([5, 9)))	Hoak once owned eighteen television stations (including satellites), all in medium and small-markets, mostly in the Great Plains states and Colorado.
0.9492443998687922		SimpleArgument(Hoak,List([0, 4)))	Relation(owned,List([10, 15)))	SimpleArgument(eighteen television stations ( including satellites ) , all in medium and small - markets , mostly in the Great Plains,List([16, 134)))	Hoak once owned eighteen television stations (including satellites), all in medium and small-markets, mostly in the Great Plains states and Colorado.
0.9382554258342916		SimpleArgument(Hoak Media,List([0, 10)))	Relation(was established in,List([11, 26), [27, 29)))	TemporalArgument(August 2003,List([30, 41)))	Hoak Media was established in August 2003.
0.5944024740465742		SimpleArgument(WMBB,List([2, 6)))	Relation(affected,List([85, 93)))		On November 20, 2013, Gray Television announced that it would purchase Hoak Media and Parker Broadcasting, excluding KREX (and its satellites), KFQX and WMBB (which could not be sold to Gray as it already owned stations in the markets affected), and as well as KAUZ-TV.
0.3048426724432105		SimpleArgument(it,List([44, 46)))	Relation(owned stations in the markets,List([55, 60), [61, 84)))	TemporalArgument(already,List([47, 54)))	On November 20, 2013, Gray Television announced that it would purchase Hoak Media and Parker Broadcasting, excluding KREX (and its satellites), KFQX and WMBB (which could not be sold to Gray as it already owned stations in the markets affected), and as well as KAUZ-TV.
