0.8588213959830759		SimpleArgument(personal attention,List([0, 18)))	Relation(are,List([19, 22)))	SimpleArgument(our focus at VisionOne,List([23, 45)))	Quality eyecare and personal attention are our focus at VisionOne.
0.8918717465970578		SimpleArgument(Quality eyecare,List([0, 15)))	Relation(are,List([16, 19)))	SimpleArgument(our focus at VisionOne,List([20, 42)))	Quality eyecare and personal attention are our focus at VisionOne.
0.8103687806061152		SimpleArgument(the attention,List([56, 69)))	Relation(provide to,List([73, 80), [81, 83)))	SimpleArgument(all of our patients,List([84, 103)))	We are a small optometry practice that prides itself on the individual care and attention we provide to all of our patients.
0.9052256377408016		SimpleArgument(a small optometry practice,List([7, 33)))	Relation(prides itself on,List([39, 45), [46, 52), [53, 55)))	SimpleArgument(the attention,List([56, 69)))	We are a small optometry practice that prides itself on the individual care and attention we provide to all of our patients.
0.207579485063707		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(a small optometry practice that prides itself on the attention,List([7, 69)))	We are a small optometry practice that prides itself on the individual care and attention we provide to all of our patients.
0.8247751551634085		SimpleArgument(the individual care,List([56, 75)))	Relation(provide to,List([79, 86), [87, 89)))	SimpleArgument(all of our patients,List([90, 109)))	We are a small optometry practice that prides itself on the individual care and attention we provide to all of our patients.
0.9052256377408016		SimpleArgument(a small optometry practice,List([7, 33)))	Relation(prides itself on,List([39, 45), [46, 52), [53, 55)))	SimpleArgument(the individual care,List([56, 75)))	We are a small optometry practice that prides itself on the individual care and attention we provide to all of our patients.
0.8383054502364456		SimpleArgument(a small optometry practice,List([7, 33)))	Relation(prides,List([39, 45)))	SimpleArgument(itself,List([46, 52)))	We are a small optometry practice that prides itself on the individual care and attention we provide to all of our patients.
0.207579485063707		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(a small optometry practice that prides itself on the individual care,List([7, 75)))	We are a small optometry practice that prides itself on the individual care and attention we provide to all of our patients.
0.7003240400067219		SimpleArgument(Your entire family,List([0, 18)))	Relation(is welcome at,List([19, 29), [30, 32)))	SpatialArgument(VisionOne,List([33, 42)))	Your entire family is welcome at VisionOne.
0.6054991544878838		SimpleArgument(Our goal,List([0, 8)))	Relation(is to,List([9, 11), [12, 14)))	SimpleArgument(serve our patients by providing them with state - of - the - art eyecare,List([15, 87)))	Our goal is to serve our patients by helping them with their personal eye health, specific vision needs and providing them with professional and state-of-the-art eyecare.
0.48903187625367955		SimpleArgument(Our goal,List([0, 8)))	Relation(is to,List([9, 11), [12, 14)))	SimpleArgument(serve our patients by providing them with professional eyecare,List([15, 77)))	Our goal is to serve our patients by helping them with their personal eye health, specific vision needs and providing them with professional and state-of-the-art eyecare.
0.6054991544878838		SimpleArgument(Our goal,List([0, 8)))	Relation(is to,List([9, 11), [12, 14)))	SimpleArgument(serve our patients by helping them with their personal eye health , specific vision needs,List([15, 104)))	Our goal is to serve our patients by helping them with their personal eye health, specific vision needs and providing them with professional and state-of-the-art eyecare.
