0.5891400323140417		SimpleArgument(Hjem,List([0, 4)))	Relation(IS,List([5, 7)))		Hjem-IS
0.9542225327267282		SimpleArgument(all meaning "Home Ice Cream,List([71, 98)))	Relation(is,List([101, 103)))	SimpleArgument(a Northern European brand of ice cream,List([104, 142)))	Hjem-IS (Denmark, Norway), Hemglass (Sweden) or Kotijäätelö (Finland), all meaning "Home Ice Cream", is a Northern European brand of ice cream.
0.3814856026489055		SimpleArgument(all,List([71, 74)))	Relation(meaning,List([75, 82)))	SimpleArgument(Home Ice Cream,List([84, 98)))	Hjem-IS (Denmark, Norway), Hemglass (Sweden) or Kotijäätelö (Finland), all meaning "Home Ice Cream", is a Northern European brand of ice cream.
0.41763505952380825		SimpleArgument(It,List([0, 2)))	Relation(is known for,List([3, 11), [12, 15)))	SimpleArgument(its distribution system , being delivered to people 's homes by selling ice creams by the box,List([16, 109)))	It is known for its distribution system, being delivered to people's homes by its light blue ice cream vans and selling ice creams by the box, in contrast to ice cream vans other places in the world.
0.2743125465364158		SimpleArgument(It,List([0, 2)))	Relation(being delivered to people 's homes by,List([42, 57), [58, 76), [77, 79)))	SimpleArgument(its light blue ice cream vans,List([80, 109)))	It is known for its distribution system, being delivered to people's homes by its light blue ice cream vans and selling ice creams by the box, in contrast to ice cream vans other places in the world.
0.41051436014453063		SimpleArgument(It,List([0, 2)))	Relation(being delivered to,List([42, 57), [58, 60)))	SimpleArgument(people 's homes,List([61, 76)))	It is known for its distribution system, being delivered to people's homes by its light blue ice cream vans and selling ice creams by the box, in contrast to ice cream vans other places in the world.
0.30899953469486874		SimpleArgument(It,List([0, 2)))	Relation(is known for,List([3, 11), [12, 15)))	SimpleArgument(its distribution system,List([16, 39)))	It is known for its distribution system, being delivered to people's homes by its light blue ice cream vans and selling ice creams by the box, in contrast to ice cream vans other places in the world.
0.926810276843371	Context(it rings,List([101, 109)))	SimpleArgument(the van,List([13, 20)))	Relation(has a signature tune that is not identical to the Hardy theme tune In,List([0, 2), [21, 82), [83, 87)))	SpatialArgument(Finland,List([3, 10)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.8478472518868376	Context(it rings,List([101, 109)))	SimpleArgument(the van,List([13, 20)))	Relation(has,List([21, 24)))	SimpleArgument(a signature tune that is not identical to the Hardy theme tune,List([25, 87)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.926810276843371	Context(it rings,List([102, 110)))	SimpleArgument(the van,List([13, 20)))	Relation(has a signature tune that is not identical to the Laurel theme tune In,List([0, 2), [21, 83), [84, 88)))	SpatialArgument(Finland,List([3, 10)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.8702184932100745	Context(it rings,List([102, 110)))	SimpleArgument(the van,List([13, 20)))	Relation(has,List([21, 24)))	SimpleArgument(a signature tune that is not identical to the Laurel theme tune,List([25, 88)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.926810276843371	Context(it rings,List([100, 108)))	SimpleArgument(the van,List([13, 20)))	Relation(has a signature tune that is not identical to the Hardy theme tune In,List([0, 2), [21, 82), [83, 87)))	SpatialArgument(Finland,List([3, 10)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.926810276843371	Context(it rings,List([101, 109)))	SimpleArgument(the van,List([13, 20)))	Relation(has a signature tune that is not identical to the Laurel theme tune In,List([0, 2), [21, 83), [84, 88)))	SpatialArgument(Finland,List([3, 10)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.926810276843371	Context(it rings,List([100, 108)))	SimpleArgument(the van,List([12, 19)))	Relation(has a signature tune that is not identical to the Hardy theme tune In,List([0, 2), [20, 81), [82, 86)))	SpatialArgument(Sweden,List([3, 9)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.8478472518868376	Context(it rings,List([100, 108)))	SimpleArgument(the van,List([12, 19)))	Relation(has,List([20, 23)))	SimpleArgument(a signature tune that is not identical to the Hardy theme tune,List([24, 86)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.926810276843371	Context(it rings,List([101, 109)))	SimpleArgument(the van,List([12, 19)))	Relation(has a signature tune that is not identical to the Laurel theme tune In,List([0, 2), [20, 82), [83, 87)))	SpatialArgument(Sweden,List([3, 9)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.8702184932100745	Context(it rings,List([101, 109)))	SimpleArgument(the van,List([12, 19)))	Relation(has,List([20, 23)))	SimpleArgument(a signature tune that is not identical to the Laurel theme tune,List([24, 87)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.926810276843371	Context(it rings,List([99, 107)))	SimpleArgument(the van,List([12, 19)))	Relation(has a signature tune that is not identical to the Hardy theme tune In,List([0, 2), [20, 81), [82, 86)))	SpatialArgument(Sweden,List([3, 9)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.8478472518868376	Context(it rings,List([99, 107)))	SimpleArgument(the van,List([12, 19)))	Relation(has,List([20, 23)))	SimpleArgument(a signature tune that is not identical to the Hardy theme tune,List([24, 86)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.896604430840561		SimpleArgument(a signature tune,List([24, 40)))	Relation(is not,List([46, 52)))	SimpleArgument(identical to the Hardy theme tune,List([53, 86)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.926810276843371	Context(it rings,List([100, 108)))	SimpleArgument(the van,List([12, 19)))	Relation(has a signature tune that is not identical to the Laurel theme tune In,List([0, 2), [20, 82), [83, 87)))	SpatialArgument(Sweden,List([3, 9)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.8702184932100745	Context(it rings,List([100, 108)))	SimpleArgument(the van,List([12, 19)))	Relation(has,List([20, 23)))	SimpleArgument(a signature tune that is not identical to the Laurel theme tune,List([24, 87)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.9125462839307745		SimpleArgument(a signature tune,List([24, 40)))	Relation(is not,List([46, 52)))	SimpleArgument(identical to the Laurel theme tune,List([53, 87)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.926810276843371	Context(it rings,List([71, 79)))	SimpleArgument(the van,List([13, 20)))	Relation(has a signature tune that is similar In,List([0, 2), [21, 49), [50, 57)))	SpatialArgument(Finland,List([3, 10)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.7765206355842105	Context(it rings,List([71, 79)))	SimpleArgument(the van,List([13, 20)))	Relation(has,List([21, 24)))	SimpleArgument(a signature tune that is similar,List([25, 57)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.926810276843371	Context(it rings,List([70, 78)))	SimpleArgument(the van,List([13, 20)))	Relation(has a signature tune that is similar In,List([0, 2), [21, 49), [50, 57)))	SpatialArgument(Finland,List([3, 10)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.926810276843371	Context(it rings,List([70, 78)))	SimpleArgument(the van,List([12, 19)))	Relation(has a signature tune that is similar In,List([0, 2), [20, 48), [49, 56)))	SpatialArgument(Sweden,List([3, 9)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.7765206355842105	Context(it rings,List([70, 78)))	SimpleArgument(the van,List([12, 19)))	Relation(has,List([20, 23)))	SimpleArgument(a signature tune that is similar,List([24, 56)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.5283282283527726		SimpleArgument(it,List([70, 72)))	Relation(rings a bell in,List([59, 61), [73, 80), [81, 85)))	SpatialArgument(Denmark,List([62, 69)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.926810276843371	Context(it rings,List([69, 77)))	SimpleArgument(the van,List([12, 19)))	Relation(has a signature tune that is similar In,List([0, 2), [20, 48), [49, 56)))	SpatialArgument(Sweden,List([3, 9)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.7765206355842105	Context(it rings,List([69, 77)))	SimpleArgument(the van,List([12, 19)))	Relation(has,List([20, 23)))	SimpleArgument(a signature tune that is similar,List([24, 56)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.5283282283527726		SimpleArgument(it,List([69, 71)))	Relation(rings a bell in,List([59, 61), [72, 79), [80, 84)))	SpatialArgument(Norway,List([62, 68)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.45694023613443424		SimpleArgument(it,List([69, 71)))	Relation(rings,List([72, 77)))	SimpleArgument(a bell,List([78, 84)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.8022022630383144		SimpleArgument(a signature tune,List([24, 40)))	Relation(is,List([46, 48)))	SimpleArgument(similar,List([49, 56)))	In Sweden and Finland, the van has a signature tune that is similar, but not identical to the Laurel and Hardy theme tune; in Norway and Denmark it rings a bell.
0.8016573080327372		SimpleArgument(Hemglass,List([0, 8)))	Relation(was in Finland in,List([9, 12), [13, 23), [24, 26)))	TemporalArgument(1993,List([27, 31)))	Hemglass was originally founded by the Swedish Eric Ericsson in 1968 and later spread its activities to other countries, establishing itself in Denmark in 1976, and in Norway and Finland in 1993.
0.9324144673478683		SimpleArgument(Hemglass,List([0, 8)))	Relation(was in,List([9, 12), [13, 15)))	SimpleArgument(Finland,List([16, 23)))	Hemglass was originally founded by the Swedish Eric Ericsson in 1968 and later spread its activities to other countries, establishing itself in Denmark in 1976, and in Norway and Finland in 1993.
0.8016573080327372		SimpleArgument(Hemglass,List([0, 8)))	Relation(was in Norway in,List([9, 12), [13, 22), [23, 25)))	TemporalArgument(1993,List([26, 30)))	Hemglass was originally founded by the Swedish Eric Ericsson in 1968 and later spread its activities to other countries, establishing itself in Denmark in 1976, and in Norway and Finland in 1993.
0.9324144673478683		SimpleArgument(Hemglass,List([0, 8)))	Relation(was in,List([9, 12), [13, 15)))	SimpleArgument(Norway,List([16, 22)))	Hemglass was originally founded by the Swedish Eric Ericsson in 1968 and later spread its activities to other countries, establishing itself in Denmark in 1976, and in Norway and Finland in 1993.
0.6319829806009335	Context(Hemglass spread,List([0, 21)))	SimpleArgument(Hemglass,List([0, 8)))	Relation(spread its activities establishing itself in,List([15, 21), [22, 25), [26, 36), [58, 70)))	TemporalArgument(1976,List([92, 96)))	Hemglass was originally founded by the Swedish Eric Ericsson in 1968 and later spread its activities to other countries, establishing itself in Denmark in 1976, and in Norway and Finland in 1993.
0.8542625464411878	Context(Hemglass spread,List([0, 21)))	SimpleArgument(Hemglass,List([0, 8)))	Relation(spread its activities establishing itself in,List([15, 21), [22, 25), [26, 36), [58, 70)))	SpatialArgument(Denmark,List([81, 88)))	Hemglass was originally founded by the Swedish Eric Ericsson in 1968 and later spread its activities to other countries, establishing itself in Denmark in 1976, and in Norway and Finland in 1993.
0.7255863723637644	Context(Hemglass spread,List([0, 21)))	SimpleArgument(Hemglass,List([0, 8)))	Relation(spread its activities establishing,List([15, 21), [22, 25)))	SimpleArgument(itself,List([71, 77)))	Hemglass was originally founded by the Swedish Eric Ericsson in 1968 and later spread its activities to other countries, establishing itself in Denmark in 1976, and in Norway and Finland in 1993.
0.8245075725281429		SimpleArgument(Hemglass,List([0, 8)))	Relation(spread its activities,List([15, 21), [22, 36)))	TemporalArgument(later,List([9, 14)))	Hemglass was originally founded by the Swedish Eric Ericsson in 1968 and later spread its activities to other countries, establishing itself in Denmark in 1976, and in Norway and Finland in 1993.
0.8818110676393391		SimpleArgument(Hemglass,List([0, 8)))	Relation(spread its activities to,List([15, 21), [22, 36), [37, 39)))	SimpleArgument(other countries,List([40, 55)))	Hemglass was originally founded by the Swedish Eric Ericsson in 1968 and later spread its activities to other countries, establishing itself in Denmark in 1976, and in Norway and Finland in 1993.
0.8019745835365614		SimpleArgument(Hemglass,List([0, 8)))	Relation(spread,List([15, 21)))	SimpleArgument(its activities,List([22, 36)))	Hemglass was originally founded by the Swedish Eric Ericsson in 1968 and later spread its activities to other countries, establishing itself in Denmark in 1976, and in Norway and Finland in 1993.
0.7971095979125887		SimpleArgument(Hemglass,List([0, 8)))	Relation(was founded,List([9, 12), [24, 31)))	TemporalArgument(originally,List([13, 23)))	Hemglass was originally founded by the Swedish Eric Ericsson in 1968 and later spread its activities to other countries, establishing itself in Denmark in 1976, and in Norway and Finland in 1993.
