0.9314904193639496		SimpleArgument(a sports consulting company,List([24, 51)))	Relation(based in,List([52, 57), [58, 60)))	SpatialArgument(Chicago,List([61, 68)))	Gridiron Enterprises is a sports consulting company based in Chicago, Illinois.
0.8396499491243721		SimpleArgument(sports,List([26, 32)))	Relation(consulting,List([33, 43)))	SimpleArgument(company based in Chicago, Illinois,List([44, 78)))	Gridiron Enterprises is a sports consulting company based in Chicago, Illinois.
0.9527410621066101		SimpleArgument(Gridiron Enterprises,List([0, 20)))	Relation(is,List([21, 23)))	SimpleArgument(a sports consulting company based in Chicago, Illinois,List([24, 78)))	Gridiron Enterprises is a sports consulting company based in Chicago, Illinois.
0.7728580355942064		SimpleArgument(their notability,List([45, 61)))	Relation(is in,List([62, 64), [65, 67)))	SimpleArgument(having been the patent holder of the system of play for Arena Football,List([68, 138)))	Although they offer services to the public, their primary focus and notability is in having been the patent holder of the system of play for Arena Football until the patent expired on March 27, 2007, as well as being an equity member of the league.
0.9180804252893389		SimpleArgument(the patent,List([148, 158)))	Relation(expired on,List([159, 166), [167, 169)))	TemporalArgument(March 27 , 2007,List([170, 185)))	Although they offer services to the public, their primary focus and notability is in having been the patent holder of the system of play for Arena Football until the patent expired on March 27, 2007, as well as being an equity member of the league.
0.6639151797428681		SimpleArgument(their primary focus,List([45, 64)))	Relation(in having been the patent holder of the system of play for Arena Football until,List([68, 82), [83, 141), [142, 147)))	TemporalArgument(the patent expired on March 27 , 2007,List([148, 185)))	Although they offer services to the public, their primary focus and notability is in having been the patent holder of the system of play for Arena Football until the patent expired on March 27, 2007, as well as being an equity member of the league.
0.7600770989182984		SimpleArgument(their primary focus,List([45, 64)))	Relation(in having been,List([68, 82)))	SimpleArgument(the patent holder of the system of play for Arena Football,List([83, 141)))	Although they offer services to the public, their primary focus and notability is in having been the patent holder of the system of play for Arena Football until the patent expired on March 27, 2007, as well as being an equity member of the league.
0.7893734387804759		SimpleArgument(their primary focus,List([45, 64)))	Relation(is in,List([65, 67), [68, 70)))	SimpleArgument(having been the patent holder of the system of play for Arena Football,List([71, 141)))	Although they offer services to the public, their primary focus and notability is in having been the patent holder of the system of play for Arena Football until the patent expired on March 27, 2007, as well as being an equity member of the league.
0.6155020116081594		SimpleArgument(they,List([9, 13)))	Relation(offer services to,List([14, 19), [20, 28), [29, 31)))	SimpleArgument(the public,List([32, 42)))	Although they offer services to the public, their primary focus and notability is in having been the patent holder of the system of play for Arena Football until the patent expired on March 27, 2007, as well as being an equity member of the league.
0.6155020116081594		SimpleArgument(they,List([9, 13)))	Relation(offer,List([14, 19)))	SimpleArgument(services,List([20, 28)))	Although they offer services to the public, their primary focus and notability is in having been the patent holder of the system of play for Arena Football until the patent expired on March 27, 2007, as well as being an equity member of the league.
0.9180804252893389		SimpleArgument(The company,List([0, 11)))	Relation(is owned by,List([12, 20), [21, 23)))	SimpleArgument(James F. Foster,List([24, 39)))	The company is owned by James F. Foster, Jr., the original founder of the Arena Football League (AFL), attorney William Niro, and Jerry Kurz.
0.8810899789195208	Context(Kurz went on,List([119, 136)))	SimpleArgument(Kurz,List([119, 123)))	Relation(went on to set up,List([129, 136), [137, 146)))	SimpleArgument(a new league originally known as Arena Football 1 ( AF1 ) , separate from the original AFL organization , for some of af2,List([147, 268)))	Gridiron was one of the parties that forced the original Arena Football League into Chapter 7 bankruptcy liquidation; Kurz then went on to set up a new league originally known as Arena Football 1 (AF1), separate from the original AFL organization, for some of the surviving AFL teams as well as those from its former minor league, af2.
0.595004321680317	Context(Kurz went on,List([119, 136)))	SimpleArgument(Kurz,List([119, 123)))	Relation(went on to set up,List([129, 136), [137, 146)))	SimpleArgument(a new league originally known as Arena Football 1 ( AF1 ) , separate from the original AFL organization , for some of those from its former minor league,List([147, 299)))	Gridiron was one of the parties that forced the original Arena Football League into Chapter 7 bankruptcy liquidation; Kurz then went on to set up a new league originally known as Arena Football 1 (AF1), separate from the original AFL organization, for some of the surviving AFL teams as well as those from its former minor league, af2.
0.8452144456330413		SimpleArgument(a new league,List([147, 159)))	Relation(known as Arena Football 1,List([171, 176), [177, 196)))	TemporalArgument(originally,List([160, 170)))	Gridiron was one of the parties that forced the original Arena Football League into Chapter 7 bankruptcy liquidation; Kurz then went on to set up a new league originally known as Arena Football 1 (AF1), separate from the original AFL organization, for some of the surviving AFL teams as well as those from its former minor league, af2.
0.9125462839307745		SimpleArgument(a new league,List([147, 159)))	Relation(known as,List([171, 176), [177, 179)))	SimpleArgument(Arena Football 1,List([180, 196)))	Gridiron was one of the parties that forced the original Arena Football League into Chapter 7 bankruptcy liquidation; Kurz then went on to set up a new league originally known as Arena Football 1 (AF1), separate from the original AFL organization, for some of the surviving AFL teams as well as those from its former minor league, af2.
0.8810899789195208	Context(Kurz went on,List([119, 136)))	SimpleArgument(Kurz,List([119, 123)))	Relation(went on to set up,List([129, 136), [137, 146)))	SimpleArgument(a new league originally known as Arena Football 1 ( AF1 ) , separate from the original AFL organization , for some of the surviving AFL teams,List([147, 288)))	Gridiron was one of the parties that forced the original Arena Football League into Chapter 7 bankruptcy liquidation; Kurz then went on to set up a new league originally known as Arena Football 1 (AF1), separate from the original AFL organization, for some of the surviving AFL teams as well as those from its former minor league, af2.
0.9213207774643418	Context(Kurz went on,List([119, 136)))	SimpleArgument(Gridiron,List([0, 8)))	Relation(was,List([9, 12)))	SimpleArgument(one of the parties,List([13, 31)))	Gridiron was one of the parties that forced the original Arena Football League into Chapter 7 bankruptcy liquidation; Kurz then went on to set up a new league originally known as Arena Football 1 (AF1), separate from the original AFL organization, for some of the surviving AFL teams as well as those from its former minor league, af2.
0.7074232009393491		SimpleArgument(Kurz,List([119, 123)))	Relation(went on,List([129, 136)))	TemporalArgument(then,List([124, 128)))	Gridiron was one of the parties that forced the original Arena Football League into Chapter 7 bankruptcy liquidation; Kurz then went on to set up a new league originally known as Arena Football 1 (AF1), separate from the original AFL organization, for some of the surviving AFL teams as well as those from its former minor league, af2.
0.8872966301155124		SimpleArgument(the parties,List([20, 31)))	Relation(forced the original Arena Football League into,List([37, 43), [44, 78), [79, 83)))	SimpleArgument(Chapter 7 bankruptcy liquidation,List([84, 116)))	Gridiron was one of the parties that forced the original Arena Football League into Chapter 7 bankruptcy liquidation; Kurz then went on to set up a new league originally known as Arena Football 1 (AF1), separate from the original AFL organization, for some of the surviving AFL teams as well as those from its former minor league, af2.
0.9045207649554154		SimpleArgument(the parties,List([20, 31)))	Relation(forced,List([37, 43)))	SimpleArgument(the original Arena Football League,List([44, 78)))	Gridiron was one of the parties that forced the original Arena Football League into Chapter 7 bankruptcy liquidation; Kurz then went on to set up a new league originally known as Arena Football 1 (AF1), separate from the original AFL organization, for some of the surviving AFL teams as well as those from its former minor league, af2.
0.9139478779591064	Context(AF1 went on,List([0, 11)))	SimpleArgument(AF1,List([0, 3)))	Relation(went on to purchase all of the assets of the AFL organization in,List([4, 11), [12, 23), [24, 65), [66, 68)))	SpatialArgument(a bankruptcy auction in December 2009,List([69, 106)))	AF1 went on to purchase all of the assets of the AFL organization in a bankruptcy auction in December 2009, enabling it to brand itself as a continuation of the original AFL.
0.9139478779591064	Context(AF1 went on,List([0, 11)))	SimpleArgument(AF1,List([0, 3)))	Relation(went on to purchase,List([4, 11), [12, 23)))	SimpleArgument(all of the assets of the AFL organization,List([24, 65)))	AF1 went on to purchase all of the assets of the AFL organization in a bankruptcy auction in December 2009, enabling it to brand itself as a continuation of the original AFL.
0.944545017224107		SimpleArgument(AF1,List([0, 3)))	Relation(went on to,List([4, 11), [12, 14)))	SimpleArgument(purchase all of the assets of the AFL organization in a bankruptcy auction in December 2009,List([15, 106)))	AF1 went on to purchase all of the assets of the AFL organization in a bankruptcy auction in December 2009, enabling it to brand itself as a continuation of the original AFL.
0.4978219019954182		SimpleArgument(it,List([117, 119)))	Relation(to brand itself as,List([120, 128), [129, 135), [136, 138)))	SimpleArgument(a continuation of the original AFL,List([139, 173)))	AF1 went on to purchase all of the assets of the AFL organization in a bankruptcy auction in December 2009, enabling it to brand itself as a continuation of the original AFL.
0.30899953469486874		SimpleArgument(it,List([117, 119)))	Relation(to brand,List([120, 128)))	SimpleArgument(itself,List([129, 135)))	AF1 went on to purchase all of the assets of the AFL organization in a bankruptcy auction in December 2009, enabling it to brand itself as a continuation of the original AFL.
