0.9445721975409912		SimpleArgument(Neil Nightingale,List([0, 16)))	Relation(is,List([40, 42)))	SimpleArgument(the creative director of BBC Earth,List([43, 77)))	Neil Nightingale (born 6 February 1960) is the creative director of BBC Earth, BBC Worldwide's global brand for all BBC natural history content.
0.9445721975409912		SimpleArgument(Neil Nightingale,List([0, 16)))	Relation(born,List([18, 22)))	TemporalArgument(6 February 1960,List([23, 38)))	Neil Nightingale (born 6 February 1960) is the creative director of BBC Earth, BBC Worldwide's global brand for all BBC natural history content.
0.9439070193972718		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads the production of new forms of commercial content including Digital Projects In,List([0, 2), [25, 98), [99, 107)))	SpatialArgument(this role,List([3, 12)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9567562066335041		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads,List([25, 30)))	SimpleArgument(the production of new forms of commercial content including Digital Projects,List([31, 107)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9439070193972718		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads the production of new forms of commercial content including Giant Screen films In,List([0, 2), [25, 103), [104, 109)))	SpatialArgument(this role,List([3, 12)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9484177987969541		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads,List([25, 30)))	SimpleArgument(the production of new forms of commercial content including Giant Screen films,List([31, 109)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9439070193972718		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads the production of new forms of commercial content including interactive visitor attractions In,List([0, 2), [25, 110), [111, 122)))	SpatialArgument(this role,List([3, 12)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9484177987969541		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads,List([25, 30)))	SimpleArgument(the production of new forms of commercial content including interactive visitor attractions,List([31, 122)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9439070193972718		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads the production of new forms of commercial content including live events In,List([0, 2), [25, 95), [96, 102)))	SpatialArgument(this role,List([3, 12)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9484177987969541		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads,List([25, 30)))	SimpleArgument(the production of new forms of commercial content including live events,List([31, 102)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9439070193972718		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads the production of new forms of commercial content including 4 D experiences In,List([0, 2), [25, 94), [95, 106)))	SpatialArgument(this role,List([3, 12)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9484177987969541		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads,List([25, 30)))	SimpleArgument(the production of new forms of commercial content including 4 D experiences,List([31, 106)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9439070193972718		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads the production of new forms of commercial content including feature films In,List([0, 2), [25, 98), [99, 104)))	SpatialArgument(this role,List([3, 12)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9484177987969541		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads,List([25, 30)))	SimpleArgument(the production of new forms of commercial content including feature films,List([31, 104)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9439070193972718		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads the development of new forms of commercial content including Digital Projects In,List([0, 2), [25, 99), [100, 108)))	SpatialArgument(this role,List([3, 12)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9567562066335041		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads,List([25, 30)))	SimpleArgument(the development of new forms of commercial content including Digital Projects,List([31, 108)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
0.9439070193972718		SimpleArgument(Nightingale,List([13, 24)))	Relation(leads the development of new forms of commercial content including Giant Screen films In,List([0, 2), [25, 104), [105, 110)))	SpatialArgument(this role,List([3, 12)))	In this role Nightingale leads the development and production of new forms of commercial content including feature films, 4D experiences, live events, interactive visitor attractions Giant Screen films, and Digital Projects.
