0.9340463819568752		SimpleArgument(Yasuo Aiuchi,List([0, 12)))	Relation(is,List([57, 59)))	SimpleArgument(a Japanese snowboarder,List([60, 82)))	Yasuo Aiuchi (相内 康夫 Yasuo Aiuchi, born 12 November 1971) is a Japanese snowboarder.
0.949419443712137		SimpleArgument(康夫 Yasuo Aiuchi,List([17, 32)))	Relation(born,List([34, 38)))	TemporalArgument(12 November 1971,List([39, 55)))	Yasuo Aiuchi (相内 康夫 Yasuo Aiuchi, born 12 November 1971) is a Japanese snowboarder.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(is from,List([3, 5), [6, 10)))	SimpleArgument(Yoichi,List([11, 17)))	He is from Yoichi, Hokkaido.
0.45170382506656653		SimpleArgument(He,List([0, 2)))	Relation(was promoted to a professional at,List([3, 15), [16, 33), [34, 36)))	TemporalArgument(the age of 21,List([37, 50)))	He was promoted to a professional at the age of 21.
0.22506131975927415		SimpleArgument(He,List([0, 2)))	Relation(was promoted to,List([3, 15), [16, 18)))	SimpleArgument(a professional,List([19, 33)))	He was promoted to a professional at the age of 21.
0.8928553940225594		SimpleArgument(the best snowboarders at ground-tricks,List([37, 75)))	Relation(commonly called buttering in,List([77, 92), [94, 103), [105, 107)))	SpatialArgument(the west,List([108, 116)))	In Japan, he is recognized as one of the best snowboarders at ground-tricks, commonly called "buttering" in the west.
0.9140754340465997		SimpleArgument(the best snowboarders at ground-tricks,List([37, 75)))	Relation(commonly called,List([77, 92)))	SimpleArgument(buttering,List([94, 103)))	In Japan, he is recognized as one of the best snowboarders at ground-tricks, commonly called "buttering" in the west.
0.5926659981335703		SimpleArgument(he,List([10, 12)))	Relation(is recognized as one of the best snowboarders at ground - tricks In,List([0, 15), [16, 69), [69, 75)))	SpatialArgument(Japan,List([3, 8)))	In Japan, he is recognized as one of the best snowboarders at ground-tricks, commonly called "buttering" in the west.
0.45170382506656653		SimpleArgument(he,List([10, 12)))	Relation(is recognized as,List([13, 26), [27, 29)))	SimpleArgument(one of the best snowboarders at ground-tricks,List([30, 75)))	In Japan, he is recognized as one of the best snowboarders at ground-tricks, commonly called "buttering" in the west.
0.15939332484157967		SimpleArgument(He,List([0, 2)))	Relation(acted as a chairperson of Tesuri - Kyōkai until,List([3, 8), [9, 42), [50, 55)))	TemporalArgument(2006,List([56, 60)))	He acted as a chairperson of Tesuri-Kyōkai (手摺狂会) until 2006.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(acted as,List([3, 8), [9, 11)))	SimpleArgument(a chairperson of Tesuri-Kyōkai,List([12, 42)))	He acted as a chairperson of Tesuri-Kyōkai (手摺狂会) until 2006.
0.886695286966665		SimpleArgument(Hirohisa Sato,List([15, 28)))	Relation([is] teammate [of],List([4, 12)))	SimpleArgument(him,List([0, 3)))	He and his teammate, Hirohisa Sato have both made appearances in many books.
0.9266232318014763		SimpleArgument(Hirohisa Sato,List([15, 28)))	Relation(have both made,List([29, 43)))	SimpleArgument(appearances in many books,List([44, 69)))	He and his teammate, Hirohisa Sato have both made appearances in many books.
0.41051436014453063		SimpleArgument(He,List([0, 2)))	Relation(have both made,List([19, 33)))	SimpleArgument(appearances in many books,List([34, 59)))	He and his teammate, Hirohisa Sato have both made appearances in many books.
0.7852633071747096		SimpleArgument(a small Japanese snowboarding brand,List([19, 54)))	Relation(called,List([55, 61)))	SimpleArgument(011 Artistic,List([63, 75)))	Now, he works with a small Japanese snowboarding brand called "011 Artistic".
0.36453221407562825		SimpleArgument(he,List([5, 7)))	Relation(works,List([8, 13)))	TemporalArgument(Now,List([0, 3)))	Now, he works with a small Japanese snowboarding brand called "011 Artistic".
0.45170382506656653		SimpleArgument(he,List([5, 7)))	Relation(works with,List([8, 13), [14, 18)))	SimpleArgument(a small Japanese snowboarding brand,List([19, 54)))	Now, he works with a small Japanese snowboarding brand called "011 Artistic".
