0.9449993708870406		SimpleArgument(May 19, 2011,List([41, 53)))	Relation(was,List([55, 58)))	SimpleArgument(an American casino executive,List([59, 87)))	Don Hamilton Barden (December 20, 1943 – May 19, 2011) was an American casino executive.
0.9481947648689547		SimpleArgument(Barden,List([0, 6)))	Relation(was,List([7, 10)))	SimpleArgument(the Manager,List([11, 22)))	Barden was the Manager, Chairman, President and Chief Executive Officer of The Majestic Star Casino, LLC since its formation, with responsibility for key policy making functions.
0.9237687577443261		SimpleArgument(Barden,List([24, 30)))	Relation(was also Chief Executive Officer of Majestic President of BDI Since,List([0, 34), [35, 88), [89, 92)))	TemporalArgument(their formation,List([6, 21)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9324144673478683		SimpleArgument(Barden,List([24, 30)))	Relation(was also,List([31, 39)))	SimpleArgument(Chief Executive Officer of Majestic President of BDI,List([40, 92)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9237687577443261		SimpleArgument(Barden,List([24, 30)))	Relation(was also Chief Executive Officer of Majestic Chairman of BDI Since,List([0, 34), [35, 87), [88, 91)))	TemporalArgument(their formation,List([6, 21)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9324144673478683		SimpleArgument(Barden,List([24, 30)))	Relation(was also,List([31, 39)))	SimpleArgument(Chief Executive Officer of Majestic Chairman of BDI,List([40, 91)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.38089450366724514		SimpleArgument(Nevada,List([102, 108)))	Relation([is] Chief Executive Officer of,List([40, 66)))	SimpleArgument(Majestic Barden Nevada Las Vegas,List([67, 99)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9237687577443261		SimpleArgument(Barden,List([24, 30)))	Relation(was also Chief Executive Officer of Majestic Barden Nevada Las Vegas , Nevada ; of BDI Since,List([0, 34), [35, 113), [114, 117)))	TemporalArgument(their formation,List([6, 21)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9567562066335041		SimpleArgument(Barden,List([24, 30)))	Relation(was also,List([31, 39)))	SimpleArgument(Chief Executive Officer of Majestic Barden Nevada Las Vegas , Nevada ; of BDI,List([40, 117)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9237687577443261		SimpleArgument(Barden,List([24, 30)))	Relation(was also Chief Executive Officer of Majestic Mississippi of BDI Since,List([0, 34), [35, 90), [91, 94)))	TemporalArgument(their formation,List([6, 21)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9324144673478683		SimpleArgument(Barden,List([24, 30)))	Relation(was also,List([31, 39)))	SimpleArgument(Chief Executive Officer of Majestic Mississippi of BDI,List([40, 94)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
