0.9569065201547587		SimpleArgument(Sachs Electric Company,List([0, 22)))	Relation(is,List([23, 25)))	SimpleArgument(the largest electrical contractor in Missouri,List([26, 71)))	Sachs Electric Company is the largest electrical contractor in Missouri.
0.9379113123569551		SimpleArgument(Sachs,List([14, 19)))	Relation(has,List([20, 23)))	SimpleArgument(four specialized divisions : Sachs Automation , for computer - based process control systems ; Sachs Systems for security systems ; , for in-house support for general trades,List([24, 197)))	In addition, Sachs has four specialized divisions: Sachs Automation, for pneumatic and computer-based process control systems; Sachs Systems for communications and security systems; McGraw Electric (in Livonia, Michigan) for automotive industry and other industrial electrical contracting; and Sachs Civil, for in-house support for trenching, excavating and general trades.
0.9379113123569551		SimpleArgument(Sachs,List([14, 19)))	Relation(has,List([20, 23)))	SimpleArgument(four specialized divisions : Sachs Automation , for computer - based process control systems ; Sachs Systems for communications ; , for in-house support for general trades,List([24, 195)))	In addition, Sachs has four specialized divisions: Sachs Automation, for pneumatic and computer-based process control systems; Sachs Systems for communications and security systems; McGraw Electric (in Livonia, Michigan) for automotive industry and other industrial electrical contracting; and Sachs Civil, for in-house support for trenching, excavating and general trades.
0.9379113123569551		SimpleArgument(Sachs,List([14, 19)))	Relation(has,List([20, 23)))	SimpleArgument(four specialized divisions : Sachs Automation , for computer - based process control systems ; Sachs Systems for security systems ; , for in-house support for excavating,List([24, 193)))	In addition, Sachs has four specialized divisions: Sachs Automation, for pneumatic and computer-based process control systems; Sachs Systems for communications and security systems; McGraw Electric (in Livonia, Michigan) for automotive industry and other industrial electrical contracting; and Sachs Civil, for in-house support for trenching, excavating and general trades.
0.9379113123569551		SimpleArgument(Sachs,List([14, 19)))	Relation(has,List([20, 23)))	SimpleArgument(four specialized divisions : Sachs Automation , for computer - based process control systems ; Sachs Systems for communications ; , for in-house support for excavating,List([24, 191)))	In addition, Sachs has four specialized divisions: Sachs Automation, for pneumatic and computer-based process control systems; Sachs Systems for communications and security systems; McGraw Electric (in Livonia, Michigan) for automotive industry and other industrial electrical contracting; and Sachs Civil, for in-house support for trenching, excavating and general trades.
0.9379113123569551		SimpleArgument(Sachs,List([14, 19)))	Relation(has,List([20, 23)))	SimpleArgument(four specialized divisions : Sachs Automation , for computer - based process control systems ; Sachs Systems for security systems ; , for in-house support for trenching,List([24, 192)))	In addition, Sachs has four specialized divisions: Sachs Automation, for pneumatic and computer-based process control systems; Sachs Systems for communications and security systems; McGraw Electric (in Livonia, Michigan) for automotive industry and other industrial electrical contracting; and Sachs Civil, for in-house support for trenching, excavating and general trades.
0.9379113123569551		SimpleArgument(Sachs,List([14, 19)))	Relation(has,List([20, 23)))	SimpleArgument(four specialized divisions : Sachs Automation , for computer - based process control systems ; Sachs Systems for communications ; , for in-house support for trenching,List([24, 190)))	In addition, Sachs has four specialized divisions: Sachs Automation, for pneumatic and computer-based process control systems; Sachs Systems for communications and security systems; McGraw Electric (in Livonia, Michigan) for automotive industry and other industrial electrical contracting; and Sachs Civil, for in-house support for trenching, excavating and general trades.
0.9379113123569551		SimpleArgument(Sachs,List([14, 19)))	Relation(has,List([20, 23)))	SimpleArgument(four specialized divisions : Sachs Automation , for computer - based process control systems,List([24, 116)))	In addition, Sachs has four specialized divisions: Sachs Automation, for pneumatic and computer-based process control systems; Sachs Systems for communications and security systems; McGraw Electric (in Livonia, Michigan) for automotive industry and other industrial electrical contracting; and Sachs Civil, for in-house support for trenching, excavating and general trades.
0.9040259452709256		SimpleArgument(Sachs,List([14, 19)))	Relation(has,List([20, 23)))	SimpleArgument(four specialized divisions : Sachs Automation , for pneumatic,List([24, 85)))	In addition, Sachs has four specialized divisions: Sachs Automation, for pneumatic and computer-based process control systems; Sachs Systems for communications and security systems; McGraw Electric (in Livonia, Michigan) for automotive industry and other industrial electrical contracting; and Sachs Civil, for in-house support for trenching, excavating and general trades.
0.9180804252893389		SimpleArgument(The company,List([0, 11)))	Relation(is based in,List([12, 20), [21, 23)))	SpatialArgument(Fenton,List([24, 30)))	The company is based in Fenton, Missouri, a suburb of St. Louis.
0.6138676038426771		SimpleArgument(It,List([0, 2)))	Relation(was founded as,List([3, 14), [15, 17)))	SimpleArgument(S&S Electric Company , a one - room company in 1925 , by Samuel Sachs in partnership with fellow Washington University graduate,List([18, 145)))	It was founded as S&S Electric Company, a two man and one-room company in 1925, by Samuel Sachs in partnership with fellow Washington University graduate, Herman Spoehrer.
0.38089450366724514		SimpleArgument(Herman Spoehrer,List([145, 160)))	Relation([is] fellow University graduate [from],List([123, 142)))	SimpleArgument(Washington,List([112, 122)))	It was founded as S&S Electric Company, a two man and one-room company in 1925, by Samuel Sachs in partnership with fellow Washington University graduate, Herman Spoehrer.
0.6138676038426771		SimpleArgument(It,List([0, 2)))	Relation(was founded as,List([3, 14), [15, 17)))	SimpleArgument(S&S Electric Company , a two man company in 1925 , by Samuel Sachs in partnership with fellow Washington University graduate,List([18, 142)))	It was founded as S&S Electric Company, a two man and one-room company in 1925, by Samuel Sachs in partnership with fellow Washington University graduate, Herman Spoehrer.
0.45170382506656653		SimpleArgument(It,List([0, 2)))	Relation(was renamed S. C. Sachs Company in,List([3, 14), [15, 34), [35, 37)))	TemporalArgument(the early 1930s,List([38, 53)))	It was renamed S. C. Sachs Company in the early 1930s.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(was renamed,List([3, 14)))	SimpleArgument(S. C. Sachs Company,List([15, 34)))	It was renamed S. C. Sachs Company in the early 1930s.
0.9180804252893389		SimpleArgument(Early projects,List([0, 14)))	Relation(included,List([15, 23)))	SimpleArgument(building the lighting for Sportsman 's Park,List([24, 67)))	Early projects included designing and building the lighting for Sportsman's Park, home of the St. Louis Browns baseball team.
0.7665350501724939		SimpleArgument(Early projects,List([0, 14)))	Relation(included,List([15, 23)))	SimpleArgument(designing,List([24, 33)))	Early projects included designing and building the lighting for Sportsman's Park, home of the St. Louis Browns baseball team.
0.7809223350826754	Context(Louis Sachs was followed,List([105, 129)))	SimpleArgument(Samuel Sachs,List([0, 12)))	Relation(served as chief executive until,List([13, 19), [20, 38), [39, 44)))	TemporalArgument(1953,List([45, 49)))	Samuel Sachs served as chief executive until 1953, when his son Louis Sachs was promoted to president. Louis Sachs was followed as president by Norman Krause in 1978 and Larry Plunkett in 1983, though the company remained family owned through 1990.
