0.9530554428592474		SimpleArgument(a strong social service network,List([11, 42)))	Relation(will assist in,List([49, 60), [61, 63)))	SimpleArgument(making south central Kansas a top ten location in the nation,List([64, 124)))	We will maintain and build upon a strong social service network which will assist in making south central Kansas a top ten location in the nation to live and raise a family.
0.1948871917044894		SimpleArgument(We,List([0, 2)))	Relation(will maintain,List([3, 16)))		We will maintain and build upon a strong social service network which will assist in making south central Kansas a top ten location in the nation to live and raise a family.
0.919760603584431		SimpleArgument(programs,List([37, 45)))	Relation(get to,List([52, 55), [56, 58)))	SimpleArgument(the root causes of social service problems with emphasis on health issues,List([59, 132)))	We will be the leader in identifying programs which get to the root causes of social service problems with emphasis on education, income and health issues.
0.919760603584431		SimpleArgument(programs,List([37, 45)))	Relation(get to,List([52, 55), [56, 58)))	SimpleArgument(the root causes of social service problems with emphasis on income issues,List([59, 132)))	We will be the leader in identifying programs which get to the root causes of social service problems with emphasis on education, income and health issues.
0.919760603584431		SimpleArgument(programs,List([37, 45)))	Relation(get to,List([52, 55), [56, 58)))	SimpleArgument(the root causes of social service problems with emphasis on education issues,List([59, 135)))	We will be the leader in identifying programs which get to the root causes of social service problems with emphasis on education, income and health issues.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(will be,List([3, 10)))	SimpleArgument(the leader in identifying programs,List([11, 45)))	We will be the leader in identifying programs which get to the root causes of social service problems with emphasis on education, income and health issues.
0.6866340513862939	Context(We recognize,List([0, 12)))	SimpleArgument(a balance,List([18, 27)))	Relation(must be maintained,List([28, 46)))		We recognize that a balance must be maintained between ongoing day-to-day services and new approaches which offer solutions outside the box of past thinking.
0.5140598836732946		SimpleArgument(We,List([0, 2)))	Relation(recognize that,List([3, 12), [13, 17)))	SimpleArgument(a balance must be maintained between ongoing day-to-day services and new approaches,List([18, 101)))	We recognize that a balance must be maintained between ongoing day-to-day services and new approaches which offer solutions outside the box of past thinking.
0.8872966301155124		SimpleArgument(new approaches,List([87, 101)))	Relation(offer,List([108, 113)))	SimpleArgument(solutions outside the box of past thinking,List([114, 156)))	We recognize that a balance must be maintained between ongoing day-to-day services and new approaches which offer solutions outside the box of past thinking.
0.8872966301155124		SimpleArgument(new ideas,List([39, 48)))	Relation(offer,List([55, 60)))	SimpleArgument(promising outcomes in the three key areas,List([61, 102)))	To that end, we will offer and seek special funding opportunities for new ideas which offer promising outcomes in the three key areas.
0.3063652495774268		SimpleArgument(we,List([14, 16)))	Relation(will offer To,List([0, 21), [22, 27)))	TemporalArgument(that end,List([3, 11)))	To that end, we will offer and seek special funding opportunities for new ideas which offer promising outcomes in the three key areas.
0.5691839633287576		SimpleArgument(We,List([0, 2)))	Relation(will also provide,List([3, 20)))	SimpleArgument(a preferred option for giving by gaining financial support by building lasting relationships with businesses,List([21, 129)))	We will also provide a preferred option for giving by gaining financial support by building lasting relationships with individuals and businesses.
0.5691839633287576		SimpleArgument(We,List([0, 2)))	Relation(will also provide,List([3, 20)))	SimpleArgument(a preferred option for giving by gaining financial support by building lasting relationships with individuals,List([21, 130)))	We will also provide a preferred option for giving by gaining financial support by building lasting relationships with individuals and businesses.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(will place emphasis on,List([3, 13), [14, 22), [23, 25)))	SimpleArgument(secure new streams of revenue,List([26, 55)))	We will place emphasis on major leadership gifts and secure new streams of revenue through planned gifts and grants.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(will place emphasis on,List([3, 13), [14, 22), [23, 25)))	SimpleArgument(major leadership gifts,List([26, 48)))	We will place emphasis on major leadership gifts and secure new streams of revenue through planned gifts and grants.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(will place,List([3, 13)))	SimpleArgument(emphasis,List([14, 22)))	We will place emphasis on major leadership gifts and secure new streams of revenue through planned gifts and grants.
0.6814400456876439		SimpleArgument(our statewide 211 system,List([26, 50)))	Relation(increasing,List([51, 61)))	SimpleArgument(the positive experience of the public,List([62, 99)))	We will gain and maintain accreditation to our statewide 211 system increasing the positive experience of the public to obtain health and human service information in a timely manner with compassion and respect for all.
0.7742923597681717		SimpleArgument(our statewide 211 system,List([26, 50)))	Relation(increasing,List([51, 61)))	SimpleArgument(the positive experience of the public to obtain health information in a timely manner with respect for all,List([62, 168)))	We will gain and maintain accreditation to our statewide 211 system increasing the positive experience of the public to obtain health and human service information in a timely manner with compassion and respect for all.
0.7742923597681717		SimpleArgument(our statewide 211 system,List([26, 50)))	Relation(increasing,List([51, 61)))	SimpleArgument(the positive experience of the public to obtain health information in a timely manner with compassion,List([62, 163)))	We will gain and maintain accreditation to our statewide 211 system increasing the positive experience of the public to obtain health and human service information in a timely manner with compassion and respect for all.
0.1948871917044894		SimpleArgument(We,List([0, 2)))	Relation(will gain,List([3, 12)))		We will gain and maintain accreditation to our statewide 211 system increasing the positive experience of the public to obtain health and human service information in a timely manner with compassion and respect for all.
0.8713075742434684	Context(We recognize,List([0, 12)))	SimpleArgument(nonprofits,List([18, 28)))	Relation(need,List([29, 33)))	SimpleArgument(valuable resources,List([34, 52)))	We recognize that nonprofits need valuable resources beyond funds.
0.39746064682094406		SimpleArgument(We,List([0, 2)))	Relation(recognize that,List([3, 12), [13, 17)))	SimpleArgument(nonprofits need valuable resources beyond funds,List([18, 65)))	We recognize that nonprofits need valuable resources beyond funds.
0.9181538107823964		SimpleArgument(Information,List([0, 11)))	Relation(is,List([12, 14)))	SimpleArgument(a resource,List([15, 25)))	Information is a resource.
0.8942434158739456		SimpleArgument(Volunteers,List([0, 10)))	Relation(are,List([11, 14)))	SimpleArgument(a resource,List([15, 25)))	Volunteers are a resource.
0.9005286127300474		SimpleArgument(In-kind products,List([0, 16)))	Relation(are too,List([17, 20), [31, 34)))	SimpleArgument(resources,List([21, 30)))	In-kind products are resources too.
0.9432816123537144		SimpleArgument(Striving to maximize the capacity of each area,List([0, 46)))	Relation(will assist nonprofits in,List([47, 58), [59, 69), [70, 72)))	SimpleArgument(efficiently serving people in need,List([73, 107)))	Striving to maximize the capacity of each area will assist nonprofits in efficiently serving people in need.
0.9432816123537144		SimpleArgument(Striving to maximize the capacity of each area,List([0, 46)))	Relation(will assist,List([47, 58)))	SimpleArgument(nonprofits,List([59, 69)))	Striving to maximize the capacity of each area will assist nonprofits in efficiently serving people in need.
0.896604430840561		SimpleArgument(a communications plan,List([9, 30)))	Relation(speaks to,List([36, 42), [43, 45)))	SimpleArgument(the community,List([46, 59)))	We value a communications plan that both listens and speaks to the community...
0.23131915735944072		SimpleArgument(We,List([0, 2)))	Relation(value,List([3, 8)))	SimpleArgument(a communications plan that speaks to the community,List([9, 59)))	We value a communications plan that both listens and speaks to the community...
0.7181452631261411		SimpleArgument(a communications plan,List([9, 30)))	Relation(listens,List([41, 48)))		We value a communications plan that both listens and speaks to the community...
0.23131915735944072		SimpleArgument(We,List([0, 2)))	Relation(value,List([3, 8)))	SimpleArgument(a communications plan that both listens,List([9, 48)))	We value a communications plan that both listens and speaks to the community...
