0.816575697747956		SimpleArgument(Cosmetic tattooing,List([0, 18)))	Relation(Established in,List([19, 30), [31, 33)))	TemporalArgument(1989,List([34, 38)))	Cosmetic tattooing Established in 1989.
0.29886655727758943		SimpleArgument(I,List({8}))	Relation(had learned In,List([0, 13), [14, 21)))	TemporalArgument(1994,List([3, 7)))	In 1994 I had 5 years experience in a very new industry and learned through experience what worked and what didn't work.
0.24707677063501074		SimpleArgument(I,List({8}))	Relation(had learned what worked In,List([0, 13), [14, 45), [46, 52)))	TemporalArgument(1994,List([3, 7)))	In 1994 I had 5 years experience in a very new industry and learned through experience what worked and what didn't work.
0.1570803716199423		SimpleArgument(I,List({8}))	Relation(had learned,List([10, 21)))	SimpleArgument(what worked,List([41, 52)))	In 1994 I had 5 years experience in a very new industry and learned through experience what worked and what didn't work.
0.29886655727758943		SimpleArgument(I,List({8}))	Relation(had 5 years experience In,List([0, 2), [10, 21), [22, 32)))	TemporalArgument(1994,List([3, 7)))	In 1994 I had 5 years experience in a very new industry and learned through experience what worked and what didn't work.
0.45170382506656653		SimpleArgument(I,List({8}))	Relation(had 5 years experience in,List([10, 13), [14, 32), [33, 35)))	SpatialArgument(a very new industry,List([36, 55)))	In 1994 I had 5 years experience in a very new industry and learned through experience what worked and what didn't work.
0.5222094630377523		SimpleArgument(I,List({8}))	Relation(had,List([10, 13)))	SimpleArgument(5 years experience,List([14, 32)))	In 1994 I had 5 years experience in a very new industry and learned through experience what worked and what didn't work.
0.8817598924294554	Context(I decided to help,List([0, 17)))	SimpleArgument(the industry,List([18, 30)))	Relation(develop,List([31, 38)))	SimpleArgument(better products,List([39, 54)))	I decided to become a trainer and help the industry develop better techniques and better products.
0.39746064682094406	Context(I decided,List([0, 9)))	SimpleArgument(I,List({0}))	Relation(decided to help,List([2, 9), [10, 17)))	SimpleArgument(the industry develop better products,List([18, 54)))	I decided to become a trainer and help the industry develop better techniques and better products.
0.39746064682094406		SimpleArgument(I,List({0}))	Relation(decided to,List([2, 9), [10, 12)))	SimpleArgument(help the industry develop better products,List([13, 54)))	I decided to become a trainer and help the industry develop better techniques and better products.
0.8817598924294554	Context(I decided to help,List([0, 17)))	SimpleArgument(the industry,List([18, 30)))	Relation(develop,List([31, 38)))	SimpleArgument(better techniques,List([39, 56)))	I decided to become a trainer and help the industry develop better techniques and better products.
0.39746064682094406	Context(I decided,List([0, 9)))	SimpleArgument(I,List({0}))	Relation(decided to help,List([2, 9), [10, 17)))	SimpleArgument(the industry develop better techniques,List([18, 56)))	I decided to become a trainer and help the industry develop better techniques and better products.
0.39746064682094406		SimpleArgument(I,List({0}))	Relation(decided to,List([2, 9), [10, 12)))	SimpleArgument(help the industry develop better techniques,List([13, 56)))	I decided to become a trainer and help the industry develop better techniques and better products.
