0.8477538091726738		SimpleArgument(the second single,List([10, 27)))	Relation(released off,List([28, 40)))	SimpleArgument(her eighth studio album,List([41, 64)))	"Love Reign Supreme" is a song by English Pop singer-songwriter Alison Moyet, and is the second single released off her eighth studio album, The Minutes (2013).
0.921571950527468		SimpleArgument(Love,List([2, 6)))	Relation(is,List([7, 9)))	SimpleArgument(the second single released off her eighth studio album , The Minutes ( 2013 ),List([10, 87)))	"Love Reign Supreme" is a song by English Pop singer-songwriter Alison Moyet, and is the second single released off her eighth studio album, The Minutes (2013).
0.9678478279394086		SimpleArgument(Love Reign Supreme,List([2, 20)))	Relation(is,List([23, 25)))	SimpleArgument(a song by English Pop singer - songwriter Alison Moyet,List([26, 80)))	"Love Reign Supreme" is a song by English Pop singer-songwriter Alison Moyet, and is the second single released off her eighth studio album, The Minutes (2013).
0.962995777173059	Context(it received,List([48, 59)))	SimpleArgument(a decent amount of airplay joining BBC Radio 2 ' A ' List on,List([60, 120)))	Relation(been played on,List([126, 137), [138, 140)))	SpatialArgument(regional BBC stations like BBC smaller stations like 106.9 FM WHCR,List([141, 207)))	In her native United Kingdom, during June 2013 it received a decent amount of airplay joining BBC Radio 2 'A' List on also been played on regional BBC stations like BBC Radio Humberside and smaller stations like 106.9FM WHCR.
0.5977550045564624		SimpleArgument(it,List([48, 50)))	Relation(received a decent amount of airplay joining BBC Radio 2 ' A ' List on also been played on regional BBC stations like BBC smaller stations like 106.9 FM WHCR during,List([31, 37), [51, 202), [203, 207)))	TemporalArgument(June 2013,List([38, 47)))	In her native United Kingdom, during June 2013 it received a decent amount of airplay joining BBC Radio 2 'A' List on also been played on regional BBC stations like BBC Radio Humberside and smaller stations like 106.9FM WHCR.
0.44648273881603273		SimpleArgument(it,List([48, 50)))	Relation(received a decent amount of airplay joining BBC Radio 2 ' A ' List on also been played on regional BBC stations like BBC smaller stations like 106.9 FM WHCR In,List([0, 2), [51, 202), [203, 207)))	SpatialArgument(her native United Kingdom,List([3, 28)))	In her native United Kingdom, during June 2013 it received a decent amount of airplay joining BBC Radio 2 'A' List on also been played on regional BBC stations like BBC Radio Humberside and smaller stations like 106.9FM WHCR.
0.5503378535116643		SimpleArgument(it,List([48, 50)))	Relation(received,List([51, 59)))	SimpleArgument(a decent amount of airplay joining BBC Radio 2 ' A ' List on also been played on regional BBC stations like BBC smaller stations like 106.9 FM WHCR,List([60, 207)))	In her native United Kingdom, during June 2013 it received a decent amount of airplay joining BBC Radio 2 'A' List on also been played on regional BBC stations like BBC Radio Humberside and smaller stations like 106.9FM WHCR.
0.9419531760961514	Context(it received,List([48, 59)))	SimpleArgument(a decent amount of airplay joining BBC Radio 2 ' A ' List on,List([60, 120)))	Relation(been played on,List([126, 137), [138, 140)))	SpatialArgument(regional BBC stations like BBC Radio Humberside,List([141, 188)))	In her native United Kingdom, during June 2013 it received a decent amount of airplay joining BBC Radio 2 'A' List on also been played on regional BBC stations like BBC Radio Humberside and smaller stations like 106.9FM WHCR.
0.5977550045564624		SimpleArgument(it,List([48, 50)))	Relation(received a decent amount of airplay joining BBC Radio 2 ' A ' List on also been played on regional BBC stations like BBC Radio Humberside during,List([31, 37), [51, 177), [178, 188)))	TemporalArgument(June 2013,List([38, 47)))	In her native United Kingdom, during June 2013 it received a decent amount of airplay joining BBC Radio 2 'A' List on also been played on regional BBC stations like BBC Radio Humberside and smaller stations like 106.9FM WHCR.
0.44648273881603273		SimpleArgument(it,List([48, 50)))	Relation(received a decent amount of airplay joining BBC Radio 2 ' A ' List on also been played on regional BBC stations like BBC Radio Humberside In,List([0, 2), [51, 177), [178, 188)))	SpatialArgument(her native United Kingdom,List([3, 28)))	In her native United Kingdom, during June 2013 it received a decent amount of airplay joining BBC Radio 2 'A' List on also been played on regional BBC stations like BBC Radio Humberside and smaller stations like 106.9FM WHCR.
0.5503378535116643		SimpleArgument(it,List([48, 50)))	Relation(received,List([51, 59)))	SimpleArgument(a decent amount of airplay joining BBC Radio 2 ' A ' List on also been played on regional BBC stations like BBC Radio Humberside,List([60, 188)))	In her native United Kingdom, during June 2013 it received a decent amount of airplay joining BBC Radio 2 'A' List on also been played on regional BBC stations like BBC Radio Humberside and smaller stations like 106.9FM WHCR.
