0.9527410621066101		SimpleArgument(Marty Stratton,List([0, 14)))	Relation(is,List([15, 17)))	SimpleArgument(the Executive Producer for Id Software,List([18, 56)))	Marty Stratton is the Executive Producer for Id Software.
0.9064683704715875		SimpleArgument(Stratton,List([35, 43)))	Relation(overseeing,List([89, 99)))	SimpleArgument(the company's interests in European markets,List([100, 143)))	After joining Id Software in 1997, Stratton became the Director of Business Development, overseeing the company's interests in European markets.
0.9529384246512104		SimpleArgument(Stratton,List([35, 43)))	Relation(became the Director of Business Development After,List([0, 5), [44, 75), [76, 87)))	TemporalArgument(joining Id Software in 1997,List([6, 33)))	After joining Id Software in 1997, Stratton became the Director of Business Development, overseeing the company's interests in European markets.
0.9324144673478683		SimpleArgument(Stratton,List([35, 43)))	Relation(became,List([44, 50)))	SimpleArgument(the Director of Business Development,List([51, 87)))	After joining Id Software in 1997, Stratton became the Director of Business Development, overseeing the company's interests in European markets.
0.29886655727758943		SimpleArgument(he,List([10, 12)))	Relation(became respectively In,List([0, 2), [13, 19), [96, 108)))	TemporalArgument(2006,List([3, 7)))	In 2006, he became an Executive Producer responsible for the overall development of Quake Live, Rage, and Doom with ZeniMax Media and Bethesda Softworks respectively.
0.8839105602432714		SimpleArgument(Stratton,List([38, 46)))	Relation(worked for Activision on,List([58, 64), [65, 79), [101, 103)))	SimpleArgument(Spycraft,List([104, 112)))	Prior to his arrival at Id Software, Stratton previously worked for Adeline Software International and Activision in Quality Assurance on Time Commando and Spycraft: The Great Game.
0.8592111619294878		SimpleArgument(Stratton,List([38, 46)))	Relation(worked for Activision,List([58, 64), [65, 79)))	TemporalArgument(previously,List([47, 57)))	Prior to his arrival at Id Software, Stratton previously worked for Adeline Software International and Activision in Quality Assurance on Time Commando and Spycraft: The Great Game.
0.904071071166926		SimpleArgument(Stratton,List([38, 46)))	Relation(worked for Activision,List([58, 64), [65, 79)))	TemporalArgument(Prior to his arrival at Id Software,List([0, 35)))	Prior to his arrival at Id Software, Stratton previously worked for Adeline Software International and Activision in Quality Assurance on Time Commando and Spycraft: The Great Game.
0.8839105602432714		SimpleArgument(Stratton,List([38, 46)))	Relation(worked for Activision on,List([58, 64), [65, 79), [101, 103)))	SimpleArgument(Time Commando,List([104, 117)))	Prior to his arrival at Id Software, Stratton previously worked for Adeline Software International and Activision in Quality Assurance on Time Commando and Spycraft: The Great Game.
0.9210233335200773		SimpleArgument(Stratton,List([38, 46)))	Relation(worked for,List([58, 64), [65, 68)))	SimpleArgument(Activision,List([69, 79)))	Prior to his arrival at Id Software, Stratton previously worked for Adeline Software International and Activision in Quality Assurance on Time Commando and Spycraft: The Great Game.
0.8900682858542827		SimpleArgument(Stratton,List([38, 46)))	Relation(worked for Adeline Software International in Quality Assurance on Spycraft,List([58, 64), [65, 132)))	TemporalArgument(previously,List([47, 57)))	Prior to his arrival at Id Software, Stratton previously worked for Adeline Software International and Activision in Quality Assurance on Time Commando and Spycraft: The Great Game.
0.9259435496897287		SimpleArgument(Stratton,List([38, 46)))	Relation(worked for Adeline Software International in Quality Assurance on Spycraft,List([58, 64), [65, 132)))	TemporalArgument(Prior to his arrival at Id Software,List([0, 35)))	Prior to his arrival at Id Software, Stratton previously worked for Adeline Software International and Activision in Quality Assurance on Time Commando and Spycraft: The Great Game.
0.9210233335200773		SimpleArgument(Stratton,List([38, 46)))	Relation(worked for,List([58, 64), [65, 68)))	SimpleArgument(Adeline Software International in Quality Assurance on Spycraft,List([69, 132)))	Prior to his arrival at Id Software, Stratton previously worked for Adeline Software International and Activision in Quality Assurance on Time Commando and Spycraft: The Great Game.
0.8900682858542827		SimpleArgument(Stratton,List([38, 46)))	Relation(worked for Adeline Software International in Quality Assurance on Time Commando,List([58, 64), [65, 137)))	TemporalArgument(previously,List([47, 57)))	Prior to his arrival at Id Software, Stratton previously worked for Adeline Software International and Activision in Quality Assurance on Time Commando and Spycraft: The Great Game.
0.9259435496897287		SimpleArgument(Stratton,List([38, 46)))	Relation(worked for Adeline Software International in Quality Assurance on Time Commando,List([58, 64), [65, 137)))	TemporalArgument(Prior to his arrival at Id Software,List([0, 35)))	Prior to his arrival at Id Software, Stratton previously worked for Adeline Software International and Activision in Quality Assurance on Time Commando and Spycraft: The Great Game.
0.9210233335200773		SimpleArgument(Stratton,List([38, 46)))	Relation(worked for,List([58, 64), [65, 68)))	SimpleArgument(Adeline Software International in Quality Assurance on Time Commando,List([69, 137)))	Prior to his arrival at Id Software, Stratton previously worked for Adeline Software International and Activision in Quality Assurance on Time Commando and Spycraft: The Great Game.
