0.7358870924450138		SimpleArgument(footballer,List([12, 22)))	Relation(born,List([24, 28)))		Tony Kelly (footballer, born 1966)
0.7918942959137041		SimpleArgument(a former English footballer,List([62, 89)))	Relation(played,List([94, 100)))		Nyrere Anthony Okpara "Tony" Kelly (born 14 February 1966) is a former English footballer who played as a winger.
0.9650686322731569		SimpleArgument(Nyrere Anthony Okpara "Tony" Kelly,List([0, 34)))	Relation(is,List([59, 61)))	SimpleArgument(a former English footballer,List([62, 89)))	Nyrere Anthony Okpara "Tony" Kelly (born 14 February 1966) is a former English footballer who played as a winger.
0.45170382506656653		SimpleArgument(he,List([98, 100)))	Relation(entered,List([101, 108)))	SimpleArgument(non-league football,List([109, 128)))	Kelly began his career with Bristol City but after failing to establish himself in the first team he entered non-league football.
0.8402708408862619		SimpleArgument(Kelly,List([0, 5)))	Relation(after failing to,List([45, 58), [59, 61)))	SimpleArgument(establish himself in the first team,List([62, 97)))	Kelly began his career with Bristol City but after failing to establish himself in the first team he entered non-league football.
0.8821938819052391		SimpleArgument(Kelly,List([0, 5)))	Relation(began,List([6, 11)))	SimpleArgument(his career with Bristol City,List([12, 40)))	Kelly began his career with Bristol City but after failing to establish himself in the first team he entered non-league football.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(played for,List([3, 9), [10, 13)))	SimpleArgument(St Albans City,List([14, 28)))	He played for Nuneaton Borough, Stratford Town, Dulwich Hamlet, Corinthian-Casuals, Cheshunt, Enfield Town, Gimonäs CK (Sweden) and St Albans City.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(played for,List([3, 9), [10, 13)))	SimpleArgument(Gimonäs CK,List([14, 24)))	He played for Nuneaton Borough, Stratford Town, Dulwich Hamlet, Corinthian-Casuals, Cheshunt, Enfield Town, Gimonäs CK (Sweden) and St Albans City.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(played for,List([3, 9), [10, 13)))	SimpleArgument(Enfield Town,List([14, 26)))	He played for Nuneaton Borough, Stratford Town, Dulwich Hamlet, Corinthian-Casuals, Cheshunt, Enfield Town, Gimonäs CK (Sweden) and St Albans City.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(played for,List([3, 9), [10, 13)))	SimpleArgument(Cheshunt,List([14, 22)))	He played for Nuneaton Borough, Stratford Town, Dulwich Hamlet, Corinthian-Casuals, Cheshunt, Enfield Town, Gimonäs CK (Sweden) and St Albans City.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(played for,List([3, 9), [10, 13)))	SimpleArgument(Corinthian - Casuals,List([14, 34)))	He played for Nuneaton Borough, Stratford Town, Dulwich Hamlet, Corinthian-Casuals, Cheshunt, Enfield Town, Gimonäs CK (Sweden) and St Albans City.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(played for,List([3, 9), [10, 13)))	SimpleArgument(Dulwich Hamlet,List([14, 28)))	He played for Nuneaton Borough, Stratford Town, Dulwich Hamlet, Corinthian-Casuals, Cheshunt, Enfield Town, Gimonäs CK (Sweden) and St Albans City.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(played for,List([3, 9), [10, 13)))	SimpleArgument(Stratford Town,List([14, 28)))	He played for Nuneaton Borough, Stratford Town, Dulwich Hamlet, Corinthian-Casuals, Cheshunt, Enfield Town, Gimonäs CK (Sweden) and St Albans City.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(played for,List([3, 9), [10, 13)))	SimpleArgument(Nuneaton Borough,List([14, 30)))	He played for Nuneaton Borough, Stratford Town, Dulwich Hamlet, Corinthian-Casuals, Cheshunt, Enfield Town, Gimonäs CK (Sweden) and St Albans City.
0.6138676038426771		SimpleArgument(He,List([0, 2)))	Relation(did play in,List([3, 11), [12, 14)))	SpatialArgument(the 1992 Football League Trophy Final victory over Stockport County,List([15, 82)))	He joined Stoke City in January 1990 and at the Victoria Ground Kelly was never a regular but did play in the 1992 Football League Trophy Final victory over Stockport County.
0.5536698969384805		SimpleArgument(He at the Victoria Ground Kelly,List([0, 31)))	Relation(was never,List([32, 41)))	SimpleArgument(a regular,List([42, 51)))	He joined Stoke City in January 1990 and at the Victoria Ground Kelly was never a regular but did play in the 1992 Football League Trophy Final victory over Stockport County.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(joined Stoke City in,List([3, 9), [10, 20), [21, 23)))	TemporalArgument(January 1990,List([24, 36)))	He joined Stoke City in January 1990 and at the Victoria Ground Kelly was never a regular but did play in the 1992 Football League Trophy Final victory over Stockport County.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(joined,List([3, 9)))	SimpleArgument(Stoke City,List([10, 20)))	He joined Stoke City in January 1990 and at the Victoria Ground Kelly was never a regular but did play in the 1992 Football League Trophy Final victory over Stockport County.
0.5926659981335703		SimpleArgument(he,List([34, 36)))	Relation(signed permanently with Bury After,List([0, 43), [44, 60), [61, 65)))	TemporalArgument(loan spells at Cardiff City,List([6, 33)))	After loan spells at Hull City and Cardiff City he signed permanently with Bury and later played with Leyton Orient, Colchester United, Falkirk and made a return to St Albans City before ending his career at Harlow Town.
0.9105129651916236		SimpleArgument(loan,List([6, 10)))	Relation(spells at,List([11, 17), [18, 20)))	SpatialArgument(Cardiff City,List([21, 33)))	After loan spells at Hull City and Cardiff City he signed permanently with Bury and later played with Leyton Orient, Colchester United, Falkirk and made a return to St Albans City before ending his career at Harlow Town.
0.5926659981335703		SimpleArgument(he,List([31, 33)))	Relation(signed permanently with Bury After,List([0, 40), [41, 57), [58, 62)))	TemporalArgument(loan spells at Hull City,List([6, 30)))	After loan spells at Hull City and Cardiff City he signed permanently with Bury and later played with Leyton Orient, Colchester United, Falkirk and made a return to St Albans City before ending his career at Harlow Town.
0.4978219019954182		SimpleArgument(he,List([31, 33)))	Relation(signed permanently with,List([34, 52), [53, 57)))	SimpleArgument(Bury,List([58, 62)))	After loan spells at Hull City and Cardiff City he signed permanently with Bury and later played with Leyton Orient, Colchester United, Falkirk and made a return to St Albans City before ending his career at Harlow Town.
0.9105129651916236		SimpleArgument(loan,List([6, 10)))	Relation(spells at,List([11, 17), [18, 20)))	SpatialArgument(Hull City,List([21, 30)))	After loan spells at Hull City and Cardiff City he signed permanently with Bury and later played with Leyton Orient, Colchester United, Falkirk and made a return to St Albans City before ending his career at Harlow Town.
0.7828860097233926		SimpleArgument(loan,List([6, 10)))	Relation(made before,List([11, 15), [43, 49)))	TemporalArgument(ending his career at Harlow Town,List([50, 82)))	After loan spells at Hull City and Cardiff City he signed permanently with Bury and later played with Leyton Orient, Colchester United, Falkirk and made a return to St Albans City before ending his career at Harlow Town.
0.9105129651916236		SimpleArgument(loan,List([6, 10)))	Relation(made,List([11, 15)))	SimpleArgument(a return to St Albans City,List([16, 42)))	After loan spells at Hull City and Cardiff City he signed permanently with Bury and later played with Leyton Orient, Colchester United, Falkirk and made a return to St Albans City before ending his career at Harlow Town.
0.8182126187168148		SimpleArgument(loan,List([6, 10)))	Relation(played,List([17, 23)))	TemporalArgument(later,List([11, 16)))	After loan spells at Hull City and Cardiff City he signed permanently with Bury and later played with Leyton Orient, Colchester United, Falkirk and made a return to St Albans City before ending his career at Harlow Town.
0.8958428165666725		SimpleArgument(loan,List([6, 10)))	Relation(played with,List([17, 23), [24, 28)))	SimpleArgument(Leyton Orient , Colchester United,List([29, 62)))	After loan spells at Hull City and Cardiff City he signed permanently with Bury and later played with Leyton Orient, Colchester United, Falkirk and made a return to St Albans City before ending his career at Harlow Town.
0.9013224092947626		SimpleArgument(Kelly,List([22, 27)))	Relation(ran up debts of over £300,000 Throughout,List([0, 31), [32, 48), [49, 57)))	TemporalArgument(his career,List([11, 21)))	Throughout his career Kelly struggled with a gambling addiction and ran up debts of over £300,000.
0.9197759696552441		SimpleArgument(Kelly,List([22, 27)))	Relation(ran up,List([28, 34)))	SimpleArgument(debts of over £300,000,List([35, 57)))	Throughout his career Kelly struggled with a gambling addiction and ran up debts of over £300,000.
