0.9397554176335701		SimpleArgument(Jean Patrick Hennessy,List([0, 21)))	Relation(was,List([56, 59)))	SimpleArgument(a French politician,List([60, 79)))	Jean Patrick Hennessy (26 April 1874 – 4 November 1944) was a French politician.
0.3853208301752743		SimpleArgument(Jeanne,List([87, 93)))	Relation([is] wife [of],List([82, 86)))	SimpleArgument(him,List([78, 81)))	Hennessy was born at Cherves-Richemont in the Charente département, son of Maurice Hennessy and his wife Jeanne, née Foussat.
0.9000738595917936		SimpleArgument(Hennessy,List([0, 8)))	Relation(was born in,List([9, 17), [41, 43)))	SpatialArgument(the Charente département,List([44, 68)))	Hennessy was born at Cherves-Richemont in the Charente département, son of Maurice Hennessy and his wife Jeanne, née Foussat.
0.9324144673478683		SimpleArgument(Hennessy,List([0, 8)))	Relation(was born at,List([9, 17), [18, 20)))	SpatialArgument(Cherves - Richemont,List([21, 40)))	Hennessy was born at Cherves-Richemont in the Charente département, son of Maurice Hennessy and his wife Jeanne, née Foussat.
0.7620504401319312		SimpleArgument(His very wealthy family, of Irish origin,List([0, 40)))	Relation(were,List([42, 46)))	SimpleArgument(the proprietors of the Hennessy cognac business,List([47, 94)))	His very wealthy family, of Irish origin, were the proprietors of the Hennessy cognac business, now part of LVMH.
0.886695286966665		SimpleArgument(James,List([12, 17)))	Relation([is] brother [of],List([4, 11)))	SimpleArgument(him,List([0, 3)))	Jean and his brother James inherited their father's wealth, over one million French Francs, on his death in 1905.
0.44721489764299094		SimpleArgument(his brother,List([0, 11)))	Relation(inherited,List([18, 27)))	SimpleArgument(their father 's wealth,List([28, 50)))	Jean and his brother James inherited their father's wealth, over one million French Francs, on his death in 1905.
0.8615585111461579		SimpleArgument(Jean,List([0, 4)))	Relation(inherited,List([5, 14)))	SimpleArgument(their father 's wealth,List([15, 37)))	Jean and his brother James inherited their father's wealth, over one million French Francs, on his death in 1905.
0.9567562066335041		SimpleArgument(Hennessy,List([0, 8)))	Relation(was elected to,List([9, 20), [21, 23)))	SimpleArgument(the French Chamber of Deputies in the French elections on 1924 for the Cartel des Gauches,List([24, 113)))	Hennessy was elected to the French Chamber of Deputies in the French elections on 1924 for the Cartel des Gauches.
0.8588213959830759		SimpleArgument(the tradition,List([27, 40)))	Relation(begun by,List([41, 46), [47, 49)))	SimpleArgument(his grand - uncle Auguste Hennessy,List([50, 84)))	In doing so, he continued the tradition begun by his great-grandfather Jacques Hennessy, an Orléanist deputy from 1824 to 1842, and his grand-uncle Auguste Hennessy, senator from 1876 to 1879.
0.46321337686369213		SimpleArgument(he,List([14, 16)))	Relation(continued,List([17, 26)))	SimpleArgument(the tradition begun by his grand - uncle Auguste Hennessy , senator from 1876 to 1879,List([27, 112)))	In doing so, he continued the tradition begun by his great-grandfather Jacques Hennessy, an Orléanist deputy from 1824 to 1842, and his grand-uncle Auguste Hennessy, senator from 1876 to 1879.
