0.30899953469486874		SimpleArgument(We,List([0, 2)))	Relation(Work Hard for,List([3, 12), [13, 16)))	SimpleArgument(You,List([17, 20)))	We Work Hard for You.
0.30899953469486874		SimpleArgument(it,List([0, 2)))	Relation(shows in,List([3, 8), [9, 11)))	SpatialArgument(our work,List([12, 20)))	At 7 Stars Auto in Spring Texas, we provide only the best in customer service and it shows in our work.
0.5926659981335703		SimpleArgument(we,List([34, 36)))	Relation(provide only the best At,List([0, 2), [37, 53), [54, 58)))	SpatialArgument(7 Stars Auto in Spring Texas,List([3, 31)))	At 7 Stars Auto in Spring Texas, we provide only the best in customer service and it shows in our work.
0.22506131975927415		SimpleArgument(we,List([34, 36)))	Relation(provide,List([37, 44)))	SimpleArgument(only the best,List([45, 58)))	At 7 Stars Auto in Spring Texas, we provide only the best in customer service and it shows in our work.
0.896604430840561		SimpleArgument(From glass chips,List([0, 16)))	Relation(to window,List([19, 28)))	SimpleArgument(power window repair,List([29, 48)))	From glass chips, to window tint and power window repair, trust 7 Stars Auto Glass in Spring for your auto glass needs.
0.896604430840561		SimpleArgument(From glass chips,List([0, 16)))	Relation(to window,List([19, 28)))	SimpleArgument(tint repair,List([29, 40)))	From glass chips, to window tint and power window repair, trust 7 Stars Auto Glass in Spring for your auto glass needs.
0.9091142028832934		SimpleArgument(7 Stars Auto Glass,List([0, 18)))	Relation(has been in business for,List([19, 27), [28, 39), [57, 60)))	TemporalArgument(over 10 years,List([61, 74)))	7 Stars Auto Glass has been in business in this location for over 10 years.
0.9387281236502384		SimpleArgument(7 Stars Auto Glass,List([0, 18)))	Relation(has been in business in,List([19, 27), [28, 39), [40, 42)))	SpatialArgument(this location,List([43, 56)))	7 Stars Auto Glass has been in business in this location for over 10 years.
0.9387281236502384		SimpleArgument(7 Stars Auto Glass,List([0, 18)))	Relation(has been in,List([19, 27), [28, 30)))	SimpleArgument(business,List([31, 39)))	7 Stars Auto Glass has been in business in this location for over 10 years.
0.6138676038426771		SimpleArgument(it,List([0, 2)))	Relation(grew to,List([3, 7), [8, 10)))	SimpleArgument(the point of opening a second location on Northville Road just this year,List([11, 83)))	Leevr Yalda, the current owner, bought the business in 2013 and it grew to the point of opening a second location on Northville Road just this year.
0.886695286966665		SimpleArgument(Leevr Yalda,List([0, 11)))	Relation([is],List([0, 11)))	SimpleArgument(the current owner,List([14, 31)))	Leevr Yalda, the current owner, bought the business in 2013 and it grew to the point of opening a second location on Northville Road just this year.
0.7900566639584307		SimpleArgument(Leevr Yalda,List([0, 11)))	Relation(bought the business in,List([34, 40), [41, 53), [54, 56)))	TemporalArgument(2013,List([57, 61)))	Leevr Yalda, the current owner, bought the business in 2013 and it grew to the point of opening a second location on Northville Road just this year.
0.9143456855143793		SimpleArgument(Leevr Yalda,List([0, 11)))	Relation(bought,List([34, 40)))	SimpleArgument(the business,List([41, 53)))	Leevr Yalda, the current owner, bought the business in 2013 and it grew to the point of opening a second location on Northville Road just this year.
0.4649296389869295		SimpleArgument(you,List([11, 14)))	Relation(to contact him about,List([15, 25), [26, 29), [30, 35)))	SimpleArgument(his free mobile service,List([36, 59)))	He invites you to visit the most convenient location for you, or to contact him about his free mobile service.
0.4649296389869295		SimpleArgument(you,List([11, 14)))	Relation(to contact,List([15, 25)))	SimpleArgument(him,List([26, 29)))	He invites you to visit the most convenient location for you, or to contact him about his free mobile service.
0.30899953469486874		SimpleArgument(He,List([0, 2)))	Relation(invites you to,List([3, 10), [11, 14), [15, 17)))	SimpleArgument(contact him about his free mobile service,List([18, 59)))	He invites you to visit the most convenient location for you, or to contact him about his free mobile service.
