0.9614799711875458		SimpleArgument(Randi Andersdatter Solem (1775 - 27 February 1859) née Randi Lauvaas,List([0, 68)))	Relation(was,List([69, 72)))	SimpleArgument(a religious organiser,List([73, 94)))	Randi Andersdatter Solem (1775 – 27 February 1859) née Randi Lauvaas was a religious organiser.
0.5680679595514976		SimpleArgument(She,List([0, 3)))	Relation(was,List([4, 7)))	SimpleArgument(married to the fellow Haugean,List([8, 37)))	She was married to the fellow Haugean Arent Bjørnsen Solem.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(was born in,List([4, 12), [13, 15)))	SpatialArgument(Klæbu,List([16, 21)))	She was born in Klæbu, Sør-Trøndelag, to the farmer Anders Halvorsen Løvaas (c.
0.3853208301752743		SimpleArgument(Maren Larsdatter Forsæt,List([19, 42)))	Relation([is] wife [of],List([14, 18)))	SimpleArgument(him,List([10, 13)))	1730) and his wife Maren Larsdatter Forsæt (c.
0.8872966301155124		SimpleArgument(the soldier,List([30, 41)))	Relation(died,List([70, 74)))	TemporalArgument(the following year,List([75, 93)))	On 25 May 1797, Solem married the soldier Haagen Erichsen Nideng, who died the following year.
0.9529384246512104		SimpleArgument(Solem,List([16, 21)))	Relation(married the soldier Haagen Erichsen Nideng , who died the following year On,List([0, 2), [22, 88), [89, 93)))	TemporalArgument(25 May 1797,List([3, 14)))	On 25 May 1797, Solem married the soldier Haagen Erichsen Nideng, who died the following year.
0.9567562066335041		SimpleArgument(Solem,List([16, 21)))	Relation(married,List([22, 29)))	SimpleArgument(the soldier Haagen Erichsen Nideng, who died the following year,List([30, 93)))	On 25 May 1797, Solem married the soldier Haagen Erichsen Nideng, who died the following year.
0.38089450366724514		SimpleArgument(Hans Nielsen Hauge,List([51, 69)))	Relation([is] leader [of],List([44, 50)))	SimpleArgument(Haugean,List([36, 43)))	While she was mourning in 1799, the Haugean leader Hans Nielsen Hauge visited Trondheim.
0.9172283184049977		SimpleArgument(the Haugean leader,List([32, 50)))	Relation(visited Trondheim While,List([0, 5), [70, 77), [78, 87)))	TemporalArgument(she was mourning in 1799,List([6, 30)))	While she was mourning in 1799, the Haugean leader Hans Nielsen Hauge visited Trondheim.
0.9339862216393666		SimpleArgument(the Haugean leader,List([32, 50)))	Relation(visited,List([70, 77)))	SimpleArgument(Trondheim,List([78, 87)))	While she was mourning in 1799, the Haugean leader Hans Nielsen Hauge visited Trondheim.
0.22506131975927415		SimpleArgument(she,List([6, 9)))	Relation(was mourning in,List([10, 22), [23, 25)))	TemporalArgument(1799,List([26, 30)))	While she was mourning in 1799, the Haugean leader Hans Nielsen Hauge visited Trondheim.
