0.7735794665865495		SimpleArgument(Ridgefield,List([65, 75)))	Relation(established in,List([81, 92), [93, 95)))	TemporalArgument(1988,List([96, 100)))	PJ Lynch Associates is a retained executive search firm based in Ridgefield, CT, established in 1988.
0.9374058759955192		SimpleArgument(a retained executive search firm,List([23, 55)))	Relation(based in,List([56, 61), [62, 64)))	SpatialArgument(Ridgefield,List([65, 75)))	PJ Lynch Associates is a retained executive search firm based in Ridgefield, CT, established in 1988.
0.9726855614196764		SimpleArgument(PJ Lynch Associates,List([0, 19)))	Relation(is,List([20, 22)))	SimpleArgument(a retained executive search firm based in Ridgefield, CT,,List([23, 80)))	PJ Lynch Associates is a retained executive search firm based in Ridgefield, CT, established in 1988.
0.7222752489455315		SimpleArgument(Information about the firm,List([0, 26)))	Relation(can be found at,List([27, 39), [55, 57)))	SpatialArgument(www.pjlynch.com.,List([58, 74)))	Information about the firm can be found on our website at www.pjlynch.com.
0.859811354567563		SimpleArgument(Information about the firm,List([0, 26)))	Relation(can be found on,List([27, 39), [40, 42)))	SpatialArgument(our website,List([43, 54)))	Information about the firm can be found on our website at www.pjlynch.com.
0.5691839633287576		SimpleArgument(We,List([0, 2)))	Relation(have conducted,List([3, 17)))	SimpleArgument(extensive high level searches for senior executives in other industries,List([18, 89)))	We have conducted extensive high level searches for senior executives in publishing and other industries, placing all of the CEOs for Thomson Learning (now Cengage Learning) education companies, many senior level executives for Scholastic and Houghton Mifflin Harcourt publishers.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(have conducted,List([3, 17)))	SimpleArgument(extensive high level searches for senior executives,List([18, 69)))	We have conducted extensive high level searches for senior executives in publishing and other industries, placing all of the CEOs for Thomson Learning (now Cengage Learning) education companies, many senior level executives for Scholastic and Houghton Mifflin Harcourt publishers.
0.942698226089624		SimpleArgument(an active practice,List([8, 26)))	Relation(covering,List([27, 35)))	SimpleArgument(industries as diverse as consumer products to integrated mission critical software clients,List([36, 126)))	We have an active practice covering industries as diverse as consumer products to integrated mission critical software clients.
0.5691839633287576		SimpleArgument(We,List([0, 2)))	Relation(have,List([3, 7)))	SimpleArgument(an active practice covering industries as diverse as consumer products to integrated mission critical software clients,List([8, 126)))	We have an active practice covering industries as diverse as consumer products to integrated mission critical software clients.
0.6854099771273475	Context(We believe,List([0, 10)))	SimpleArgument(what differentiates us from others,List([11, 45)))	Relation(is,List([46, 48)))	SimpleArgument(the real world operational experience of determination of our recruiting style,List([49, 127)))	We believe what differentiates us from others is the real world operational experience of our people (www.pjlynchresumes.com), the creativity and determination of our research and recruiting style and our focus on providing excellent service to our clients.
0.364761346574243		SimpleArgument(We,List([0, 2)))	Relation(believe,List([3, 10)))	SimpleArgument(what differentiates us from others is the real world operational experience of determination of our recruiting style,List([11, 127)))	We believe what differentiates us from others is the real world operational experience of our people (www.pjlynchresumes.com), the creativity and determination of our research and recruiting style and our focus on providing excellent service to our clients.
0.6854099771273475	Context(We believe,List([0, 10)))	SimpleArgument(what differentiates us from others,List([11, 45)))	Relation(is,List([46, 48)))	SimpleArgument(the real world operational experience of determination of our research style,List([49, 125)))	We believe what differentiates us from others is the real world operational experience of our people (www.pjlynchresumes.com), the creativity and determination of our research and recruiting style and our focus on providing excellent service to our clients.
0.364761346574243		SimpleArgument(We,List([0, 2)))	Relation(believe,List([3, 10)))	SimpleArgument(what differentiates us from others is the real world operational experience of determination of our research style,List([11, 125)))	We believe what differentiates us from others is the real world operational experience of our people (www.pjlynchresumes.com), the creativity and determination of our research and recruiting style and our focus on providing excellent service to our clients.
0.6854099771273475	Context(We believe,List([0, 10)))	SimpleArgument(what differentiates us from others,List([11, 45)))	Relation(is,List([46, 48)))	SimpleArgument(the real world operational experience of the creativity of our recruiting style,List([49, 128)))	We believe what differentiates us from others is the real world operational experience of our people (www.pjlynchresumes.com), the creativity and determination of our research and recruiting style and our focus on providing excellent service to our clients.
0.364761346574243		SimpleArgument(We,List([0, 2)))	Relation(believe,List([3, 10)))	SimpleArgument(what differentiates us from others is the real world operational experience of the creativity of our recruiting style,List([11, 128)))	We believe what differentiates us from others is the real world operational experience of our people (www.pjlynchresumes.com), the creativity and determination of our research and recruiting style and our focus on providing excellent service to our clients.
0.6854099771273475	Context(We believe,List([0, 10)))	SimpleArgument(what differentiates us from others,List([11, 45)))	Relation(is,List([46, 48)))	SimpleArgument(the real world operational experience of the creativity of our research style,List([49, 126)))	We believe what differentiates us from others is the real world operational experience of our people (www.pjlynchresumes.com), the creativity and determination of our research and recruiting style and our focus on providing excellent service to our clients.
0.364761346574243		SimpleArgument(We,List([0, 2)))	Relation(believe,List([3, 10)))	SimpleArgument(what differentiates us from others is the real world operational experience of the creativity of our research style,List([11, 126)))	We believe what differentiates us from others is the real world operational experience of our people (www.pjlynchresumes.com), the creativity and determination of our research and recruiting style and our focus on providing excellent service to our clients.
0.6854099771273475	Context(We believe,List([0, 10)))	SimpleArgument(what differentiates us from others,List([11, 45)))	Relation(is,List([46, 48)))	SimpleArgument(the real world operational experience of our people ( www.pjlynchresumes.com ) of our recruiting style,List([49, 151)))	We believe what differentiates us from others is the real world operational experience of our people (www.pjlynchresumes.com), the creativity and determination of our research and recruiting style and our focus on providing excellent service to our clients.
0.364761346574243		SimpleArgument(We,List([0, 2)))	Relation(believe,List([3, 10)))	SimpleArgument(what differentiates us from others is the real world operational experience of our people ( www.pjlynchresumes.com ) of our recruiting style,List([11, 151)))	We believe what differentiates us from others is the real world operational experience of our people (www.pjlynchresumes.com), the creativity and determination of our research and recruiting style and our focus on providing excellent service to our clients.
0.6854099771273475	Context(We believe,List([0, 10)))	SimpleArgument(what differentiates us from others,List([11, 45)))	Relation(is,List([46, 48)))	SimpleArgument(the real world operational experience of our people ( www.pjlynchresumes.com ) of our research style,List([49, 149)))	We believe what differentiates us from others is the real world operational experience of our people (www.pjlynchresumes.com), the creativity and determination of our research and recruiting style and our focus on providing excellent service to our clients.
0.364761346574243		SimpleArgument(We,List([0, 2)))	Relation(believe,List([3, 10)))	SimpleArgument(what differentiates us from others is the real world operational experience of our people ( www.pjlynchresumes.com ) of our research style,List([11, 149)))	We believe what differentiates us from others is the real world operational experience of our people (www.pjlynchresumes.com), the creativity and determination of our research and recruiting style and our focus on providing excellent service to our clients.
0.6854099771273475	Context(We believe,List([0, 10)))	SimpleArgument(what differentiates us from others,List([11, 45)))	Relation(is,List([46, 48)))	SimpleArgument(the real world operational experience of determination of our focus on providing excellent service to our clients,List([49, 162)))	We believe what differentiates us from others is the real world operational experience of our people (www.pjlynchresumes.com), the creativity and determination of our research and recruiting style and our focus on providing excellent service to our clients.
0.364761346574243		SimpleArgument(We,List([0, 2)))	Relation(believe,List([3, 10)))	SimpleArgument(what differentiates us from others is the real world operational experience of determination of our focus on providing excellent service to our clients,List([11, 162)))	We believe what differentiates us from others is the real world operational experience of our people (www.pjlynchresumes.com), the creativity and determination of our research and recruiting style and our focus on providing excellent service to our clients.
0.6854099771273475	Context(We believe,List([0, 10)))	SimpleArgument(what differentiates us from others,List([11, 45)))	Relation(is,List([46, 48)))	SimpleArgument(the real world operational experience of the creativity of our focus on providing excellent service to our clients,List([49, 163)))	We believe what differentiates us from others is the real world operational experience of our people (www.pjlynchresumes.com), the creativity and determination of our research and recruiting style and our focus on providing excellent service to our clients.
0.364761346574243		SimpleArgument(We,List([0, 2)))	Relation(believe,List([3, 10)))	SimpleArgument(what differentiates us from others is the real world operational experience of the creativity of our focus on providing excellent service to our clients,List([11, 163)))	We believe what differentiates us from others is the real world operational experience of our people (www.pjlynchresumes.com), the creativity and determination of our research and recruiting style and our focus on providing excellent service to our clients.
0.6854099771273475	Context(We believe,List([0, 10)))	SimpleArgument(what differentiates us from others,List([11, 45)))	Relation(is,List([46, 48)))	SimpleArgument(the real world operational experience of our people ( www.pjlynchresumes.com ) of our focus on providing excellent service to our clients,List([49, 186)))	We believe what differentiates us from others is the real world operational experience of our people (www.pjlynchresumes.com), the creativity and determination of our research and recruiting style and our focus on providing excellent service to our clients.
0.364761346574243		SimpleArgument(We,List([0, 2)))	Relation(believe,List([3, 10)))	SimpleArgument(what differentiates us from others is the real world operational experience of our people ( www.pjlynchresumes.com ) of our focus on providing excellent service to our clients,List([11, 186)))	We believe what differentiates us from others is the real world operational experience of our people (www.pjlynchresumes.com), the creativity and determination of our research and recruiting style and our focus on providing excellent service to our clients.
0.8817598924294554	Context(We believe,List([0, 10)))	SimpleArgument(this service,List([11, 23)))	Relation(also should include,List([24, 43)))	SimpleArgument(treating others in the process with respect,List([44, 87)))	We believe this service also should include treating candidates and others in the process with dignity and respect.
0.5140598836732946		SimpleArgument(We,List([0, 2)))	Relation(believe,List([3, 10)))	SimpleArgument(this service also should include treating others in the process with respect,List([11, 87)))	We believe this service also should include treating candidates and others in the process with dignity and respect.
0.8817598924294554	Context(We believe,List([0, 10)))	SimpleArgument(this service,List([11, 23)))	Relation(also should include,List([24, 43)))	SimpleArgument(treating others in the process with dignity,List([44, 87)))	We believe this service also should include treating candidates and others in the process with dignity and respect.
0.5140598836732946		SimpleArgument(We,List([0, 2)))	Relation(believe,List([3, 10)))	SimpleArgument(this service also should include treating others in the process with dignity,List([11, 87)))	We believe this service also should include treating candidates and others in the process with dignity and respect.
0.8817598924294554	Context(We believe,List([0, 10)))	SimpleArgument(this service,List([11, 23)))	Relation(also should include,List([24, 43)))	SimpleArgument(treating candidates in the process with respect,List([44, 91)))	We believe this service also should include treating candidates and others in the process with dignity and respect.
0.5140598836732946		SimpleArgument(We,List([0, 2)))	Relation(believe,List([3, 10)))	SimpleArgument(this service also should include treating candidates in the process with respect,List([11, 91)))	We believe this service also should include treating candidates and others in the process with dignity and respect.
0.8817598924294554	Context(We believe,List([0, 10)))	SimpleArgument(this service,List([11, 23)))	Relation(also should include,List([24, 43)))	SimpleArgument(treating candidates in the process with dignity,List([44, 91)))	We believe this service also should include treating candidates and others in the process with dignity and respect.
0.5140598836732946		SimpleArgument(We,List([0, 2)))	Relation(believe,List([3, 10)))	SimpleArgument(this service also should include treating candidates in the process with dignity,List([11, 91)))	We believe this service also should include treating candidates and others in the process with dignity and respect.
0.859811354567563		SimpleArgument(Information about the process,List([0, 29)))	Relation(is found on,List([30, 38), [39, 41)))	SpatialArgument(our website,List([42, 53)))	Information about the process is found on our website.  .
