0.8550806581371961		SimpleArgument(UNESCO,List([106, 112)))	Relation(designated,List([113, 123)))	SimpleArgument(biosphere reserves,List([124, 142)))	Monica is the National Coordinator of the Canadian Biosphere Reserves Association (CBRA), a network of 18 UNESCO designated biosphere reserves.
0.9481947648689547		SimpleArgument(Monica,List([0, 6)))	Relation(is,List([7, 9)))	SimpleArgument(the National Coordinator of the Canadian Biosphere Reserves Association,List([10, 81)))	Monica is the National Coordinator of the Canadian Biosphere Reserves Association (CBRA), a network of 18 UNESCO designated biosphere reserves.
0.9306053039335008		SimpleArgument(Coordinator,List([3, 14)))	Relation(promotes internationally,List([15, 23), [65, 80)))	SimpleArgument(the work of Canada 's biosphere reserves,List([24, 64)))	As Coordinator, she manages the organization's day-to-day operations, organizes national gatherings and conferences, builds the network's capacity through fundraising, communications, and partnership development, and promotes the work of Canada's biosphere reserves both nationally and internationally.
0.9306053039335008		SimpleArgument(Coordinator,List([3, 14)))	Relation(promotes nationally,List([15, 23), [70, 80)))	SimpleArgument(the work of Canada 's biosphere reserves,List([24, 64)))	As Coordinator, she manages the organization's day-to-day operations, organizes national gatherings and conferences, builds the network's capacity through fundraising, communications, and partnership development, and promotes the work of Canada's biosphere reserves both nationally and internationally.
0.9197759696552441		SimpleArgument(Coordinator,List([3, 14)))	Relation(builds,List([15, 21)))	SimpleArgument(the network 's capacity,List([22, 45)))	As Coordinator, she manages the organization's day-to-day operations, organizes national gatherings and conferences, builds the network's capacity through fundraising, communications, and partnership development, and promotes the work of Canada's biosphere reserves both nationally and internationally.
0.9197759696552441		SimpleArgument(Coordinator,List([3, 14)))	Relation(organizes,List([15, 24)))	SimpleArgument(conferences,List([25, 36)))	As Coordinator, she manages the organization's day-to-day operations, organizes national gatherings and conferences, builds the network's capacity through fundraising, communications, and partnership development, and promotes the work of Canada's biosphere reserves both nationally and internationally.
0.9197759696552441		SimpleArgument(Coordinator,List([3, 14)))	Relation(organizes,List([15, 24)))	SimpleArgument(national gatherings,List([25, 44)))	As Coordinator, she manages the organization's day-to-day operations, organizes national gatherings and conferences, builds the network's capacity through fundraising, communications, and partnership development, and promotes the work of Canada's biosphere reserves both nationally and internationally.
0.45170382506656653		SimpleArgument(she,List([17, 20)))	Relation(manages,List([21, 28)))	SimpleArgument(the organization 's day - to - day operations,List([29, 74)))	As Coordinator, she manages the organization's day-to-day operations, organizes national gatherings and conferences, builds the network's capacity through fundraising, communications, and partnership development, and promotes the work of Canada's biosphere reserves both nationally and internationally.
0.9384239005297041	Context(CBRA 's project with Climate Change Canada assesses,List([20, 77)))	SimpleArgument(how biosphere reserves,List([78, 100)))	Relation(can help to,List([101, 109), [110, 112)))	SimpleArgument(meet Canada Biodiversity Target 1 ( Aichi Target 11 ) by 2020 through the reporting of Other Effective Area - Based Conservation Measures,List([113, 250)))	Monica also manages CBRA's project with Environment and Climate Change Canada which assesses how biosphere reserves can help to meet Canada Biodiversity Target 1 (Aichi Target 11) by 2020 through the recognition and reporting of Other Effective Area-Based Conservation Measures (OECMs).
0.9297325645539299		SimpleArgument(CBRA 's project with Climate Change Canada,List([20, 62)))	Relation(assesses,List([69, 77)))	SimpleArgument(how biosphere reserves can help to meet Canada Biodiversity Target 1 ( Aichi Target 11 ) by 2020 through the reporting of Other Effective Area - Based Conservation Measures,List([78, 250)))	Monica also manages CBRA's project with Environment and Climate Change Canada which assesses how biosphere reserves can help to meet Canada Biodiversity Target 1 (Aichi Target 11) by 2020 through the recognition and reporting of Other Effective Area-Based Conservation Measures (OECMs).
0.6451024584324914	Context(CBRA 's project with Climate Change Canada assesses how biosphere reserves can help,List([20, 109)))	SimpleArgument(how biosphere reserves,List([78, 100)))	Relation(can help to meet Canada Biodiversity Target 1 by,List([101, 109), [110, 117), [118, 146), [167, 169)))	TemporalArgument(2020,List([170, 174)))	Monica also manages CBRA's project with Environment and Climate Change Canada which assesses how biosphere reserves can help to meet Canada Biodiversity Target 1 (Aichi Target 11) by 2020 through the recognition and reporting of Other Effective Area-Based Conservation Measures (OECMs).
