0.9607199668152148		SimpleArgument(The Ditchling Village Fair,List([0, 26)))	Relation(is,List([27, 29)))	SimpleArgument(a fundraising day for the Ditchling Village Association,List([30, 85)))	The Ditchling Village Fair is a fundraising day for the Ditchling Village Association.
0.9699974998635915		SimpleArgument(The DVA,List([0, 7)))	Relation(is,List([8, 10)))	SimpleArgument(a central point of contact for organisation ... s in the village of Ditchling,List([11, 88)))	The DVA is a central point of contact for all societies and organisation...s in the village of Ditchling.
0.9436740204769645		SimpleArgument(The DVA,List([0, 7)))	Relation(is,List([8, 10)))	SimpleArgument(a central point of contact for all societies,List([11, 55)))	The DVA is a central point of contact for all societies and organisation...s in the village of Ditchling.
0.8726869446304376		SimpleArgument(each Club,List([62, 71)))	Relation(to fulfill,List([72, 82)))	SimpleArgument(its particular aims,List([83, 102)))	It's aims are to promote the welfare and well being of all who live in Ditchling and to help, support and encourage each Council, Society and Club to fulfill its particular aims.
0.22007209367186958		SimpleArgument(all,List([44, 47)))	Relation(encourage each Club to,List([52, 61), [62, 71), [72, 74)))	SimpleArgument(fulfill its particular aims,List([75, 102)))	It's aims are to promote the welfare and well being of all who live in Ditchling and to help, support and encourage each Council, Society and Club to fulfill its particular aims.
0.38481554892903685		SimpleArgument(all,List([44, 47)))	Relation(encourage,List([52, 61)))	SimpleArgument(each Club,List([62, 71)))	It's aims are to promote the welfare and well being of all who live in Ditchling and to help, support and encourage each Council, Society and Club to fulfill its particular aims.
0.8726869446304376		SimpleArgument(each Society,List([62, 74)))	Relation(to fulfill,List([75, 85)))	SimpleArgument(its particular aims,List([86, 105)))	It's aims are to promote the welfare and well being of all who live in Ditchling and to help, support and encourage each Council, Society and Club to fulfill its particular aims.
0.22007209367186958		SimpleArgument(all,List([44, 47)))	Relation(encourage each Society to,List([52, 61), [62, 74), [75, 77)))	SimpleArgument(fulfill its particular aims,List([78, 105)))	It's aims are to promote the welfare and well being of all who live in Ditchling and to help, support and encourage each Council, Society and Club to fulfill its particular aims.
0.38481554892903685		SimpleArgument(all,List([44, 47)))	Relation(encourage,List([52, 61)))	SimpleArgument(each Society,List([62, 74)))	It's aims are to promote the welfare and well being of all who live in Ditchling and to help, support and encourage each Council, Society and Club to fulfill its particular aims.
0.8726869446304376		SimpleArgument(each Council,List([62, 74)))	Relation(to fulfill,List([75, 85)))	SimpleArgument(its particular aims,List([86, 105)))	It's aims are to promote the welfare and well being of all who live in Ditchling and to help, support and encourage each Council, Society and Club to fulfill its particular aims.
0.22007209367186958		SimpleArgument(all,List([44, 47)))	Relation(encourage each Council to,List([52, 61), [62, 74), [75, 77)))	SimpleArgument(fulfill its particular aims,List([78, 105)))	It's aims are to promote the welfare and well being of all who live in Ditchling and to help, support and encourage each Council, Society and Club to fulfill its particular aims.
0.38481554892903685		SimpleArgument(all,List([44, 47)))	Relation(encourage,List([52, 61)))	SimpleArgument(each Council,List([62, 74)))	It's aims are to promote the welfare and well being of all who live in Ditchling and to help, support and encourage each Council, Society and Club to fulfill its particular aims.
0.13250296339239587		SimpleArgument(all,List([44, 47)))	Relation(support,List([52, 59)))		It's aims are to promote the welfare and well being of all who live in Ditchling and to help, support and encourage each Council, Society and Club to fulfill its particular aims.
0.15487626026508727		SimpleArgument(all,List([44, 47)))	Relation(live to,List([52, 56), [57, 59)))	SimpleArgument(help,List([60, 64)))	It's aims are to promote the welfare and well being of all who live in Ditchling and to help, support and encourage each Council, Society and Club to fulfill its particular aims.
0.7047348091086675	Context(It 's,List([0, 5)))	SimpleArgument(aims,List([6, 10)))	Relation(are to,List([11, 14), [15, 17)))	SimpleArgument(promote the well being of all,List([18, 47)))	It's aims are to promote the welfare and well being of all who live in Ditchling and to help, support and encourage each Council, Society and Club to fulfill its particular aims.
0.4667063855863067		SimpleArgument(It,List([0, 2)))	Relation('s,List([3, 5)))	SimpleArgument(aims are to promote the well being of all,List([6, 47)))	It's aims are to promote the welfare and well being of all who live in Ditchling and to help, support and encourage each Council, Society and Club to fulfill its particular aims.
0.38481554892903685		SimpleArgument(all,List([44, 47)))	Relation(live in,List([52, 56), [57, 59)))	SpatialArgument(Ditchling,List([60, 69)))	It's aims are to promote the welfare and well being of all who live in Ditchling and to help, support and encourage each Council, Society and Club to fulfill its particular aims.
0.8713075742434684	Context(It 's,List([0, 5)))	SimpleArgument(aims,List([6, 10)))	Relation(are to,List([11, 14), [15, 17)))	SimpleArgument(promote the welfare,List([18, 37)))	It's aims are to promote the welfare and well being of all who live in Ditchling and to help, support and encourage each Council, Society and Club to fulfill its particular aims.
0.4667063855863067		SimpleArgument(It,List([0, 2)))	Relation('s,List([3, 5)))	SimpleArgument(aims are to promote the welfare,List([6, 37)))	It's aims are to promote the welfare and well being of all who live in Ditchling and to help, support and encourage each Council, Society and Club to fulfill its particular aims.
0.9436221120476838		SimpleArgument(All Ditchling residents,List([0, 23)))	Relation(are automatically,List([24, 41)))	SimpleArgument(members of DVA,List([42, 56)))	All Ditchling residents are automatically members of DVA.
0.896604430840561		SimpleArgument(an elected council,List([20, 38)))	Relation(meets,List([45, 50)))	TemporalArgument(approximately 4 times a year,List([51, 79)))	DVA is organised by an elected council which meets approximately 4 times a year.
0.8550806581371961		SimpleArgument(DVA,List([0, 3)))	Relation(is organised by,List([4, 16), [17, 19)))	SimpleArgument(an elected council,List([20, 38)))	DVA is organised by an elected council which meets approximately 4 times a year.
